Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-07-05,530715,6,600965,R,451192,L,51,Single,4,1,180706_015132,a58d26c5-2d6e-4c58-ba6b-e068439eea61,0,0,1,S,Called Strike,FF,2,2.0,3.19,1.42,95.1,87.4,43.95,-1.04,50.0,6.48,-0.23,2.63,-5.44,5.88,4.15,-138.33,-6.74,-10.58,29.82,-20.74,24.0,4.8,24.0,2134,223,400121,,,451192,400121,,0,0,3,bottom
2018-07-05,530715,6,600965,R,451192,L,51,Single,4,2,180706_015151,6d64d84e-b15e-4769-8846-eb102290e638,0,1,1,B,Ball,FF,11,2.0,3.5,1.64,95.5,87.8,53.8,-1.1,50.0,6.53,-1.05,3.17,-6.97,6.92,2.61,-138.99,-5.85,-13.68,29.94,-18.59,33.6,4.8,24.0,2057,226,400121,,,451192,400121,,0,0,3,bottom
2018-07-05,530715,6,600965,R,451192,L,51,Single,4,3,180706_015215,38439eb0-1108-4bd7-bffa-e570832b6da9,1,1,1,S,Foul,SL,12,2.0,3.68,1.42,85.7,79.0,36.79,-1.38,50.0,6.41,0.35,3.69,3.41,2.2,3.17,-124.76,-0.9,5.4,23.81,-28.69,12.0,7.2,24.0,2349,120,400121,,,451192,400121,,0,0,3,bottom
2018-07-05,530715,6,600965,R,451192,L,51,Single,4,4,180706_015246,93d5acce-3af4-4532-8b98-88b3c29e3ab3,1,2,1,X,In play- no out,SL,5,2.0,3.68,1.42,84.1,78.2,13.79,-1.38,50.0,6.36,0.11,2.35,3.64,-1.15,2.47,-122.48,-2.74,5.58,22.23,-33.94,9.6,9.6,24.0,2212,71,400121,,,451192,400121,,0,0,3,bottom
2018-07-05,530715,6,600965,R,500135,R,52,Strikeout,4,1,180706_015323,4c6cf087-ccf6-43d5-bfac-d693a2072a9a,0,0,1,S,Swinging Strike,SL,6,2.0,3.58,1.36,85.0,78.8,57.67,-1.23,50.0,6.31,0.39,2.15,3.02,-2.81,3.01,-123.68,-2.72,4.7,23.56,-36.54,8.4,9.6,24.0,,48,451192,400121,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,500135,R,52,Strikeout,4,2,180706_015342,519eb275-e6d2-485e-bae5-864e248a7372,0,1,1,B,Ball,SL,14,2.0,3.4,1.5,86.6,80.4,46.83,-1.04,50.0,6.33,1.22,1.79,2.35,-0.99,4.88,-125.94,-4.54,3.81,23.77,-33.77,7.2,8.4,24.0,,65,451192,400121,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,500135,R,52,Strikeout,4,3,180706_015405,e86a5489-89ea-4546-bc04-c35642abdc67,1,1,1,S,Swinging Strike,SL,14,2.0,3.58,1.36,83.8,77.5,27.08,-1.11,50.0,6.34,1.34,1.19,2.4,-1.32,5.13,-121.8,-5.27,3.6,23.91,-34.16,7.2,9.6,24.0,,59,451192,400121,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,500135,R,52,Strikeout,4,4,180706_015428,cfdea9dd-e7ce-4427-956c-203d9bc0bd42,1,2,1,S,Swinging Strike,SL,8,2.0,3.58,1.36,82.5,76.5,22.69,-1.24,50.0,6.29,-0.05,1.59,3.94,-2.61,1.61,-120.12,-3.6,5.78,22.56,-36.0,9.6,10.8,24.0,2417,55,451192,400121,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,578428,R,53,Groundout,5,1,180706_015503,de2ec635-47bb-4b49-8152-76d4448dafa5,0,0,2,S,Called Strike,SL,12,2.0,2.93,1.26,84.7,78.7,78.91,-1.18,50.0,6.33,0.82,2.67,3.16,-0.85,3.89,-123.27,-2.07,4.91,22.33,-33.5,9.6,8.4,24.0,,75,,,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,578428,R,53,Groundout,5,2,180706_015541,24d23c43-be75-4df8-b953-ac06c94ee41e,0,1,2,S,Foul,FF,2,2.0,2.98,1.22,96.0,88.3,25.11,-0.55,50.0,6.6,-0.01,2.78,-4.42,9.09,3.07,-139.63,-8.0,-8.78,29.68,-14.13,27.6,3.6,24.0,2360,206,,,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,578428,R,53,Groundout,5,3,180706_015607,cad47085-5b38-4fcc-b523-411e5edc1a8e,0,1,2,S,Foul,FF,3,2.0,2.98,1.22,96.8,88.3,46.72,-0.45,50.0,6.72,0.5,2.92,-1.71,10.21,3.24,-140.69,-8.41,-3.41,32.78,-11.77,10.8,2.4,24.0,2189,188,,,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,578428,R,53,Groundout,5,4,180706_015630,ea7e575b-1d34-4519-83c3-062fd1d1f838,0,2,2,B,Ball,SL,12,2.0,2.97,1.35,85.0,78.8,20.85,-0.91,50.0,6.37,1.82,2.83,1.83,-0.89,6.11,-123.66,-1.84,2.86,22.96,-33.56,6.0,8.4,24.0,2313,69,,,,,,,0,1,3,bottom
2018-07-05,530715,6,600965,R,578428,R,53,Groundout,5,5,180706_015658,61152950-31fa-4768-acf7-6e3ec57f5811,1,2,2,X,In play- out(s),SL,3,2.0,2.98,1.22,84.1,78.1,24.67,-0.99,50.0,6.41,0.31,2.46,1.87,-1.99,2.57,-122.38,-2.31,2.85,22.27,-35.21,4.8,9.6,24.0,2216,46,,,,,,,0,1,3,bottom
2018-07-05,530715,7,600965,R,622682,L,57,Groundout,2,1,180706_020623,19ea4afb-05fc-4548-a9c1-65e57614a631,0,0,0,S,Called Strike,CU,11,2.0,3.43,1.72,76.3,69.7,83.86,-1.16,50.0,6.6,-1.01,2.79,2.55,-6.65,-0.4,-110.93,0.96,3.14,22.28,-40.35,4.8,13.2,24.0,2209,21,,,,,,,0,1,3,bottom
