Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-31,529430,1,519144,R,452655,L,3,Groundout,4,1,180331_221718,2e385263-6410-40bf-8079-81c643fb1d13,0,0,0,S,Called Strike,FT,7,2.0,3.35,1.71,88.9,80.7,46.37,-1.69,50.0,5.74,-0.28,1.83,-9.38,9.55,6.68,-129.02,-6.75,-15.68,28.86,-16.2,38.4,6.0,24.0,2205,223,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,452655,L,3,Groundout,4,2,180331_221732,210d50ca-2ba6-47af-8478-c737c972d3c2,0,1,0,B,Ball,SL,14,2.0,3.42,1.73,85.0,78.0,45.3,-1.94,50.0,5.86,0.48,1.72,-0.65,4.65,6.11,-123.44,-4.96,-1.0,24.88,-25.01,0.0,7.2,24.0,2460,177,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,452655,L,3,Groundout,4,3,180331_221747,d44e5556-065a-4b51-a967-c0cc85bb5eeb,1,1,0,B,Ball,SL,14,2.0,3.42,1.71,86.3,79.3,23.36,-1.66,50.0,5.81,1.48,1.73,-0.36,4.15,7.88,-125.29,-4.91,-0.57,25.41,-25.58,2.4,7.2,24.0,2368,170,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,452655,L,3,Groundout,4,4,180331_221805,15fadef3-b2bf-4fd6-8cff-081ad384f029,2,1,0,X,In play- out(s),CH,7,2.0,3.2,1.5,81.1,74.6,44.97,-1.55,50.0,5.9,-0.57,1.53,-8.29,4.71,4.78,-117.89,-4.69,-11.67,22.47,-25.55,22.8,8.4,24.0,1378,240,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,595281,L,4,Lineout,4,1,180331_221846,fd8397f3-734a-49cd-b189-84f9c7c01384,0,0,1,B,Ball,FT,13,2.0,3.43,1.62,89.7,81.8,68.95,-1.69,50.0,5.82,-0.79,1.32,-9.98,5.38,5.62,-130.24,-7.06,-17.04,28.94,-22.99,32.4,7.2,24.0,2171,243,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,595281,L,4,Lineout,4,2,180331_221859,b7e0c887-0d0c-40ea-99f9-02f3708359e1,1,0,1,S,Called Strike,SL,1,2.0,3.3,1.58,87.0,79.5,37.13,-1.97,50.0,5.94,-0.57,2.74,0.32,4.87,3.39,-126.53,-3.11,0.52,26.63,-24.31,2.4,6.0,24.0,2428,170,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,595281,L,4,Lineout,4,3,180331_221913,abbb6dc4-cfcc-4755-a9bc-8c5fe7609820,1,1,1,B,Ball,FF,14,2.0,3.47,1.64,90.7,82.6,41.44,-1.47,50.0,5.84,1.23,2.45,-4.65,9.92,8.58,-131.68,-5.93,-8.12,29.23,-14.83,21.6,3.6,24.0,2336,200,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,595281,L,4,Lineout,4,4,180331_221934,d2ce6fe2-aa22-422b-a911-2187b93139d3,2,1,1,X,In play- out(s),FF,9,2.0,3.4,1.52,90.8,82.5,32.19,-1.63,50.0,5.83,0.33,2.08,-3.72,11.09,6.34,-131.91,-7.27,-6.5,30.19,-12.79,19.2,3.6,24.0,2370,195,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,460576,R,5,Groundout,2,1,180331_222005,50d1bd60-79bf-43c6-9e3a-e365f80d122d,0,0,2,S,Called Strike,FT,13,2.0,3.44,1.5,90.8,82.4,58.16,-1.85,50.0,5.86,-1.01,2.11,-10.75,5.43,5.81,-131.95,-5.35,-18.76,30.81,-22.69,36.0,7.2,24.0,2240,243,,,,,,,0,1,0,bottom
2018-03-31,529430,1,519144,R,460576,R,5,Groundout,2,2,180331_222017,dc533875-81a1-45d5-af49-e7e0d5784b1e,0,1,2,X,In play- out(s),FT,7,2.0,3.52,1.53,90.4,82.0,48.46,-1.7,50.0,5.87,-0.54,2.06,-11.0,4.58,6.68,-131.28,-5.13,-18.99,30.58,-24.26,34.8,7.2,24.0,2182,248,,,,,,,0,1,0,bottom
2018-03-31,529430,2,519144,R,543543,L,10,Strikeout,6,1,180331_223053,64643314-7af9-4694-99a5-9a62037178de,0,0,0,B,Ball,FT,13,2.0,3.36,1.56,88.2,80.2,70.75,-1.76,50.0,5.8,-0.84,1.32,-8.42,8.15,5.08,-128.06,-7.56,-13.86,28.58,-18.75,32.4,6.0,24.0,2148,226,,,,,,,0,1,1,bottom
2018-03-31,529430,2,519144,R,543543,L,10,Strikeout,6,2,180331_223107,1d28e942-1c47-430e-903f-d1f53bd8a5bf,1,0,0,B,Ball,CH,13,2.0,3.32,1.57,79.6,73.2,37.55,-1.47,50.0,5.81,-0.24,1.18,-9.32,2.68,5.57,-115.73,-4.31,-12.6,22.28,-28.55,21.6,9.6,24.0,1352,255,,,,,,,0,1,1,bottom
2018-03-31,529430,2,519144,R,543543,L,10,Strikeout,6,3,180331_223123,5770de27-1005-47be-bce3-539e2363bcb4,2,0,0,S,Foul,FF,6,2.0,3.28,1.43,90.1,82.0,30.27,-1.62,50.0,5.82,0.31,2.15,-4.57,9.59,6.53,-130.97,-6.44,-7.89,29.24,-15.63,20.4,4.8,24.0,2220,202,,,,,,,0,1,1,bottom
2018-03-31,529430,2,519144,R,543543,L,10,Strikeout,6,4,180331_223145,7b6a7030-3b35-42aa-98fc-e8de560182a8,2,1,0,S,Called Strike,SL,3,2.0,3.34,1.53,85.7,78.4,42.47,-1.72,50.0,5.99,0.61,3.19,1.63,3.1,5.22,-124.68,-1.3,2.56,25.99,-27.32,7.2,7.2,24.0,2290,143,,,,,,,0,1,1,bottom
2018-03-31,529430,2,519144,R,543543,L,10,Strikeout,6,5,180331_223209,ee294f56-7982-4114-8adf-04e4f9e3e4a2,2,1,0,S,Foul,CH,13,2.0,3.28,1.43,81.2,75.1,32.93,-1.52,50.0,5.86,-0.12,1.23,-6.37,0.95,5.21,-118.21,-4.21,-9.04,22.07,-30.83,14.4,9.6,24.0,1198,264,,,,,,,0,1,1,bottom
2018-03-31,529430,2,519144,R,543543,L,10,Strikeout,6,6,180331_223232,a0463f5c-daf1-478b-a531-1c0f49607542,2,2,0,S,Called Strike,CH,2,2.0,3.18,1.45,78.6,71.8,27.22,-1.34,50.0,5.99,0.17,2.86,-9.37,0.35,6.14,-114.39,-0.01,-12.32,22.7,-31.72,19.2,10.8,24.0,1310,266,,,,,,,0,1,1,bottom
2018-03-31,529430,2,519144,R,622110,R,11,Flyout,7,1,180331_223301,034e1d68-241b-4985-be2b-d10a2f9bd5b7,0,0,1,S,Called Strike,FT,9,2.0,3.53,1.65,89.5,81.3,48.59,-1.67,50.0,5.81,0.41,1.92,-9.75,6.39,8.54,-129.95,-5.76,-16.51,29.62,-21.35,32.4,6.0,24.0,2232,236,,,,,,,0,1,1,bottom
