Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-05,490537,4,543746,R,605137,L,24,Double,1,1,170506_023432,f8e128fd-7508-4bbf-a6bc-d6be3c27a92a,0,0,0,D,In play- no out,FT,1,2.0,3.5,1.68,94.5,86.9,43.89,-1.53,50.0,5.33,-0.26,2.96,-10.1,2.92,7.03,-137.31,-1.56,-19.44,28.01,-26.56,33.6,7.2,24.0,2366,256,,,,,605137,,0,0,0,bottom
2017-05-05,490537,4,543746,R,457705,R,25,Strikeout,6,1,170506_023520,32d1ecc2-128d-451a-a54c-26b9a09b8d20,0,0,0,B,Ball,FT,8,2.0,3.55,1.83,94.1,87.2,48.8,-1.4,50.0,5.38,0.18,1.79,-9.44,6.17,7.63,-136.6,-6.0,-18.13,25.39,-20.32,38.4,6.0,24.0,2143,239,,605137,,,605137,,0,1,0,bottom
2017-05-05,490537,4,543746,R,457705,R,25,Strikeout,6,2,170506_023540,fe0b56f4-78e6-4056-8208-b9c289cb5602,1,1,0,F,Foul,FT,13,2.0,3.53,1.61,93.7,86.5,55.6,-1.54,50.0,5.57,-1.19,2.56,-9.71,5.5,4.37,-136.19,-4.09,-18.45,26.77,-21.72,38.4,6.0,24.0,2293,243,,605137,,,605137,,0,1,0,bottom
2017-05-05,490537,4,543746,R,457705,R,25,Strikeout,6,3,170506_023613,129960b1-8e4d-4848-b3b6-542f36531337,1,1,0,B,Ball,FT,14,2.0,3.47,1.66,93.8,86.7,45.14,-1.35,50.0,5.28,0.51,0.79,-11.6,5.02,9.1,-136.04,-7.9,-21.96,26.9,-22.68,39.6,7.2,24.0,2234,251,,605137,,,605137,,0,1,0,bottom
2017-05-05,490537,4,543746,R,457705,R,25,Strikeout,6,4,170506_023638,4e68e1ac-cb31-4dd9-8f79-1c82f2874239,2,1,0,B,Ball,SL,14,2.0,3.47,1.66,89.4,82.8,31.69,-1.49,50.0,5.3,0.41,0.93,-1.09,5.73,5.26,-129.76,-6.91,-1.88,24.18,-22.29,2.4,6.0,24.0,2665,186,,605137,,,605137,,0,1,0,bottom
2017-05-05,490537,4,543746,R,457705,R,25,Strikeout,6,5,170506_023700,12f44aff-254d-4fcd-a240-01e746696d04,3,2,0,C,Called Strike,FT,13,2.0,3.47,1.66,93.2,87.2,69.44,-1.6,50.0,5.31,-0.96,1.66,-9.1,3.74,4.95,-135.61,-5.23,-17.35,23.15,-25.05,32.4,6.0,24.0,2230,252,,605137,,,605137,,0,1,0,bottom
2017-05-05,490537,4,543746,R,457705,R,25,Strikeout,6,6,170506_023730,412f46e4-b0b3-4458-8794-253a4df4d74b,3,2,0,S,Swinging Strike,FT,7,2.0,3.47,1.66,94.4,86.8,49.77,-1.47,50.0,5.4,-0.47,2.23,-10.38,4.72,6.37,-137.05,-4.34,-19.88,28.29,-23.13,37.2,6.0,24.0,2326,249,,605137,,,605137,,0,1,0,bottom
2017-05-05,490537,4,543746,R,570256,L,26,Single,10,1,170506_023817,5d13fea8-2196-47b5-abbe-7c75be94910e,0,1,1,C,Called Strike,FT,9,2.0,3.83,1.85,95.0,87.1,59.93,-1.15,50.0,5.53,0.64,2.27,-10.26,5.53,8.5,-137.8,-4.95,-19.83,29.23,-21.49,38.4,6.0,24.0,2394,245,,605137,,570256,,,1,0,0,bottom
2017-05-05,490537,4,543746,R,570256,L,26,Single,10,2,170506_023840,5fbf5dbc-3838-46ea-ae2a-6d28749cc270,1,1,1,*B,Ball In Dirt,CU,14,2.0,3.83,1.85,82.2,76.0,11.29,-1.44,50.0,5.49,1.71,0.34,4.17,-1.44,6.14,-119.31,-4.86,6.0,23.37,-34.24,10.8,9.6,24.0,3015,60,,605137,,570256,,,1,0,0,bottom
2017-05-05,490537,4,543746,R,570256,L,26,Single,10,3,170506_023911,359dc52a-0dca-4648-8b1a-6e5bb3e660c5,1,2,1,C,Called Strike,FT,6,2.0,3.83,1.85,95.0,87.7,38.8,-1.22,50.0,5.54,0.49,2.75,-8.99,7.12,7.88,-137.89,-4.29,-17.54,26.87,-18.29,39.6,4.8,24.0,2266,233,,605137,,570256,,,1,0,0,bottom
2017-05-05,490537,4,543746,R,570256,L,26,Single,10,4,170506_023954,676c0194-f68d-4c57-a9bd-fd9d94ec890c,1,2,1,B,Ball,FT,14,2.0,3.83,1.85,96.1,88.1,42.2,-0.86,50.0,5.53,1.46,1.99,-12.04,6.8,10.72,-139.25,-6.34,-23.77,29.68,-18.75,46.8,6.0,24.0,2259,243,,605137,,570256,,,1,0,0,bottom
2017-05-05,490537,4,543746,R,570256,L,26,Single,10,5,170506_024020,76b9f848-1a1a-4871-9a9e-9974fe5ffa59,2,2,1,B,Ball,FT,14,2.0,3.83,1.85,95.6,87.5,35.1,-1.03,50.0,5.46,1.57,2.4,-10.11,7.08,10.74,-138.5,-5.03,-19.73,29.44,-18.35,42.0,6.0,24.0,2277,236,,605137,,570256,,,1,0,0,bottom
