Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,1,170905_022508,13d107ac-ce3b-4376-a904-0c2f9ceda65a,0,0,2,S,Foul,FF,5,2.0,3.1,1.24,92.7,84.9,43.27,1.62,50.0,5.57,-0.08,1.89,7.61,10.63,-7.14,-134.31,-7.41,13.98,27.57,-12.65,42.0,3.6,24.0,2257,143,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,2,170905_022529,50be4023-31e0-4800-bbde-3b03e142d1a0,0,1,2,S,Called Strike,FF,6,2.0,3.51,1.56,90.9,83.2,42.42,2.54,50.0,4.66,0.66,2.57,6.73,6.53,-7.2,-131.83,-1.5,11.91,26.5,-20.61,26.4,4.8,24.0,2239,133,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,3,170905_022550,8908059c-8aad-4a52-afc8-99d7ae734ead,0,1,2,S,Foul,CU,5,2.0,3.1,1.24,76.8,70.4,16.66,2.58,50.0,5.05,-0.11,2.4,-8.01,0.91,-3.62,-111.32,1.25,-10.03,20.31,-31.03,19.2,10.8,24.0,2295,268,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,4,170905_022619,e7d57370-4cc5-4c00-9205-ab77b9bf70f8,0,2,2,B,Ball,CU,13,2.0,3.54,1.46,76.2,70.5,26.88,2.14,50.0,5.02,-3.7,1.4,-7.17,0.78,-10.69,-110.2,-0.71,-8.82,19.51,-31.22,18.0,10.8,24.0,2291,271,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,5,170905_022646,806d6a9d-0d3f-4086-9d83-ef03bfa3842f,1,2,2,B,Ball,FF,13,2.0,3.54,1.56,92.7,85.6,19.86,1.8,50.0,5.2,-2.93,2.32,6.88,6.76,-14.96,-133.88,-3.94,12.69,24.71,-19.72,26.4,4.8,24.0,2288,136,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,6,170905_022709,eb7c374d-b6ad-49b9-9a97-33b5ad2a0c66,2,2,2,B,Ball,CH,13,2.0,3.43,1.51,85.0,78.6,36.21,1.84,50.0,5.36,-1.65,1.28,10.23,4.55,-11.77,-122.96,-4.82,15.87,21.38,-25.12,28.8,7.2,24.0,1900,110,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,572365,L,80,Walk,7,7,170905_022734,8dd86eee-d1b2-4eda-ba44-9760d616c420,3,2,2,B,Ball,FF,13,2.0,3.33,1.41,90.4,83.7,30.53,1.91,50.0,4.91,-1.49,1.84,5.38,6.51,-10.69,-131.02,-4.02,9.5,23.37,-20.67,19.2,4.8,24.0,2341,142,607680,,,572365,607680,,0,0,-6,top
2017-09-04,492161,9,606273,L,446381,R,81,Strikeout,4,1,170905_022814,142ec6bc-ab63-4af5-9f6a-5356e5c04fd6,0,0,2,B,Ball,CH,13,2.0,3.3,1.53,85.0,78.2,80.79,1.29,50.0,5.37,-0.65,1.3,12.56,5.09,-8.71,-123.16,-4.93,19.41,23.13,-24.31,34.8,8.4,24.0,1968,107,572365,607680,,,,,0,1,-6,top
2017-09-04,492161,9,606273,L,446381,R,81,Strikeout,4,2,170905_022840,92ba76e3-b1b9-42f7-9c5b-33b1f259fd0d,1,0,2,S,Called Strike,FF,6,2.0,3.24,1.48,92.5,85.4,45.92,1.13,50.0,5.67,0.6,2.57,4.43,6.91,-2.93,-134.39,-4.64,8.19,25.85,-19.39,20.4,4.8,24.0,2407,144,572365,607680,,,,,0,1,-6,top
2017-09-04,492161,9,606273,L,446381,R,81,Strikeout,4,3,170905_022904,1780f406-0bcf-4e10-b82e-43d90ad8d7ba,1,1,2,S,Swinging Strike,FF,11,2.0,3.14,1.22,93.6,85.9,35.88,0.87,50.0,5.75,-0.48,3.62,3.82,6.7,-4.99,-135.93,-2.11,7.2,27.88,-19.55,16.8,4.8,24.0,2386,150,572365,607680,,,,,0,1,-6,top
2017-09-04,492161,9,606273,L,446381,R,81,Strikeout,4,4,170905_022932,2f4f9211-c5cb-4038-aa7c-2bc04913fade,1,2,2,S,Swinging Strike,CH,7,2.0,3.14,1.22,85.4,78.7,45.23,1.25,50.0,5.37,-0.42,1.38,10.68,5.28,-7.49,-123.8,-4.92,16.71,22.71,-23.91,32.4,7.2,24.0,2060,112,572365,607680,,,,,0,1,-6,top
