Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-06-01,530266,12,606273,L,543543,L,89,Flyout,5,1,180602_055557,e72a9447-741e-4f7c-b114-d109aa37f5d4,0,1,0,F,Foul,FF,11,2.0,3.16,1.31,92.1,84.3,67.48,0.8,50.0,5.79,-0.83,2.72,4.09,8.29,-5.72,-133.7,-4.86,7.43,28.11,-17.13,19.2,4.8,24.0,2338,156,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,543543,L,89,Flyout,5,2,180602_055618,f703e022-b37b-4aae-9545-6565909d3c8d,0,1,0,B,Ball,FF,12,2.0,3.49,1.57,94.3,86.1,27.38,0.89,50.0,5.93,0.39,4.45,1.79,7.66,-1.96,-137.16,-0.78,3.41,30.02,-17.56,9.6,3.6,24.0,2243,168,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,543543,L,89,Flyout,5,3,180602_055634,9f515663-ba36-4290-a2da-c39a1cc69166,1,2,0,F,Foul,FF,13,2.0,3.16,1.31,94.1,85.8,41.14,0.72,50.0,5.61,-0.72,2.09,1.58,10.59,-4.42,-136.7,-7.23,2.97,30.97,-12.19,8.4,3.6,24.0,2297,173,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,543543,L,89,Flyout,5,4,180602_055659,cf519011-9013-47e4-89f0-3c7129e90d5e,1,2,0,B,Ball,CU,12,2.0,3.55,1.57,74.2,67.8,3.73,1.92,50.0,5.47,1.95,3.98,-10.2,-2.68,2.9,-107.5,5.16,-11.94,18.68,-35.31,18.0,12.0,24.0,2255,279,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,543543,L,89,Flyout,5,5,180602_055724,59b4eca2-c42c-4fec-a90b-c94280ac48ae,2,2,0,X,In play- out(s),CH,5,2.0,3.16,1.31,84.5,77.5,16.83,1.0,50.0,5.56,0.11,2.01,9.65,5.46,-5.2,-122.77,-3.69,14.75,24.06,-23.83,28.8,7.2,24.0,1907,119,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,460576,R,90,Flyout,4,1,180602_055800,4a6645f2-ec32-40a6-82bb-a50960630df7,0,1,1,F,Foul,FF,2,2.0,3.4,1.41,94.1,85.4,47.76,0.72,50.0,5.78,-0.21,3.01,4.65,8.61,-4.15,-136.79,-4.49,8.74,32.08,-15.96,25.2,3.6,24.0,2368,153,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,460576,R,90,Flyout,4,2,180602_055823,ab44b64e-21e3-4d7c-9884-ea8dbdab3e84,0,1,1,S,Swinging Strike,CH,12,2.0,3.4,1.41,86.0,78.3,19.44,1.22,50.0,5.58,1.46,2.9,9.38,7.49,-2.4,-125.06,-2.47,14.76,26.69,-20.39,34.8,6.0,24.0,1924,129,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,460576,R,90,Flyout,4,3,180602_055839,5b0422f3-5230-42a1-9ae1-8efb7878a945,0,2,1,B,Ball,CH,14,2.0,3.48,1.67,84.7,77.2,13.47,1.31,50.0,5.54,2.16,2.43,9.12,6.34,-0.79,-123.06,-2.89,13.91,25.63,-22.5,31.2,7.2,24.0,1900,124,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,460576,R,90,Flyout,4,4,180602_055855,40b4033e-c544-407b-8efb-82ca56443f3c,1,2,1,X,In play- out(s),FF,3,2.0,3.4,1.41,95.2,87.0,41.26,0.77,50.0,5.79,0.38,3.12,3.26,8.2,-2.22,-138.39,-4.31,6.32,30.73,-16.27,19.2,3.6,24.0,2338,159,,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,608654,R,91,Single,4,1,180602_055935,fc5e24fa-9783-444c-8114-173699001344,0,0,2,B,Ball,CH,14,2.0,3.35,1.57,86.3,79.1,51.97,1.16,50.0,5.41,0.01,1.17,11.73,5.33,-6.61,-125.32,-5.71,18.65,25.45,-23.7,34.8,7.2,24.0,1962,113,,,,608654,,,0,0,0,top
2018-06-01,530266,12,606273,L,608654,R,91,Single,4,2,180602_055952,8fa2b865-2a1c-4057-a157-eb315e27d28a,1,1,2,F,Foul,FF,3,2.0,3.46,1.28,94.3,85.8,42.64,0.73,50.0,5.75,0.48,3.02,4.32,9.66,-2.18,-137.01,-4.81,8.18,31.37,-13.89,27.6,3.6,24.0,2305,156,,,,608654,,,0,0,0,top
2018-06-01,530266,12,606273,L,608654,R,91,Single,4,3,180602_060020,1b77459f-aeb6-460f-914d-711e7753a1f5,1,1,2,B,Ball,CU,12,2.0,3.28,1.53,75.0,68.1,32.97,0.88,50.0,6.28,0.9,4.03,-7.75,-8.58,2.18,-108.61,5.1,-9.15,21.02,-42.3,12.0,14.4,24.0,2310,315,,,,608654,,,0,0,0,top
2018-06-01,530266,12,606273,L,608654,R,91,Single,4,4,180602_060038,63b928b5-d65d-42d1-bc8b-d048d1284f54,2,1,2,D,In play- no out,CH,3,2.0,3.46,1.28,84.9,77.8,41.3,1.11,50.0,5.68,0.55,3.22,10.32,4.68,-4.63,-123.51,-0.89,15.97,24.15,-24.94,31.2,7.2,24.0,1677,115,,,,608654,,,0,0,0,top
2018-06-01,530266,12,606273,L,605480,L,92,Strikeout,7,1,180602_060121,90da9d02-a56b-4475-b915-1a72f5f6445b,0,0,2,B,Ball,FF,11,2.0,3.37,1.51,94.3,86.1,59.02,0.6,50.0,5.65,-1.14,2.48,3.81,10.17,-6.05,-136.98,-6.2,7.24,30.3,-12.86,22.8,3.6,24.0,2324,162,608654,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,605480,L,92,Strikeout,7,2,180602_060142,bc88ae9d-14fb-4759-b942-e655ecf260f3,1,0,2,B,Ball,FF,13,2.0,3.42,1.5,93.3,84.9,30.51,0.34,50.0,5.51,-1.71,1.52,3.26,9.84,-6.62,-135.34,-8.01,6.03,30.83,-14.02,15.6,3.6,24.0,2317,164,608654,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,605480,L,92,Strikeout,7,3,180602_060230,28751faa-c7fe-4be7-8fb2-10c2b7733829,2,1,2,F,Foul,FF,3,2.0,3.12,1.28,92.8,84.3,32.91,0.93,50.0,5.6,0.31,2.64,3.08,10.69,-2.71,-134.89,-5.46,5.63,31.18,-12.61,20.4,3.6,24.0,2374,164,608654,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,605480,L,92,Strikeout,7,4,180602_060303,36a6d4a3-e91f-4907-b478-ed6b78701845,2,1,2,B,Ball,FF,12,2.0,3.37,1.49,93.0,83.5,40.4,0.7,50.0,6.04,0.77,6.08,2.33,8.07,-0.61,-134.99,3.42,4.24,33.28,-17.49,13.2,3.6,24.0,2174,165,608654,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,605480,L,92,Strikeout,7,5,180602_060339,07d50094-57be-4dc6-ae44-4914bacb5998,3,1,2,S,Swinging Strike,FF,7,2.0,3.12,1.28,93.4,84.8,29.97,0.68,50.0,5.52,-0.25,1.8,4.33,12.19,-3.98,-135.51,-8.14,8.02,31.09,-9.63,32.4,2.4,24.0,2357,161,608654,,,,,,0,1,0,top
2018-06-01,530266,12,606273,L,605480,L,92,Strikeout,7,6,180602_060407,d5a235ae-4034-4ee2-8447-5781f0aca5db,3,2,2,S,Swinging Strike,FF,1,2.0,3.12,1.28,94.0,85.2,37.72,0.63,50.0,5.65,-0.34,2.87,3.66,11.22,-3.87,-136.58,-5.4,6.86,32.07,-11.13,25.2,2.4,24.0,2309,163,608654,,,,,,0,1,0,top
2018-06-01,530266,13,606273,L,543068,R,96,Groundout,3,1,180602_061550,dd4fd6a2-cc31-4138-9f63-7ea1d685b681,0,0,0,B,Ball,FF,11,2.0,3.56,1.58,93.9,85.8,66.62,0.67,50.0,5.81,-0.54,3.62,3.69,10.53,-4.57,-136.55,-3.64,6.97,29.49,-12.26,25.2,3.6,24.0,2390,162,,,,,,,0,1,0,top
2018-06-01,530266,13,606273,L,543068,R,96,Groundout,3,2,180602_061602,2c95315a-7097-43b6-922f-7ed9732b64c9,1,0,0,S,Swinging Strike,FF,2,2.0,3.31,1.33,93.1,85.0,35.04,0.67,50.0,5.76,-0.16,3.22,2.83,9.85,-3.21,-135.34,-4.19,5.26,29.42,-13.89,16.8,3.6,24.0,2339,165,,,,,,,0,1,0,top
2018-06-01,530266,13,606273,L,543068,R,96,Groundout,3,3,180602_061616,a017c41c-77cb-4b50-828a-a516bf8bbb8f,1,1,0,X,In play- out(s),CH,5,2.0,3.31,1.33,89.7,81.8,22.65,0.72,50.0,5.6,-0.08,2.31,11.11,4.84,-5.77,-130.3,-3.78,19.02,28.46,-23.89,36.0,7.2,24.0,1888,113,,,,,,,0,1,0,top
2018-06-01,530266,13,606273,L,621563,L,97,Single,5,1,180602_061653,3e30c13f-3b3e-4e15-8ba7-f297dafd5340,0,0,1,B,Ball,FF,11,2.0,3.43,1.56,94.7,85.7,31.81,0.65,50.0,5.78,-0.06,4.04,4.05,12.0,-3.33,-137.62,-3.0,7.7,32.72,-9.33,34.8,2.4,24.0,2416,162,,,,621563,,,0,0,0,top
2018-06-01,530266,13,606273,L,621563,L,97,Single,5,2,180602_061709,b550ac35-0320-4ec4-853b-006ee40e598d,1,0,1,B,Ball,FF,13,2.0,3.52,1.54,93.3,85.2,44.41,0.69,50.0,5.61,-1.08,2.43,4.48,10.88,-6.3,-135.46,-6.26,8.33,29.38,-11.95,27.6,3.6,24.0,2374,160,,,,621563,,,0,0,0,top
2018-06-01,530266,13,606273,L,621563,L,97,Single,5,3,180602_061725,5d8d2c0f-8c4f-4528-85f1-87136b632c50,2,1,1,C,Called Strike,FF,7,2.0,3.58,1.69,93.2,85.0,42.61,0.71,50.0,5.6,-0.47,1.94,4.79,10.68,-4.82,-135.32,-7.44,8.86,29.95,-12.4,28.8,3.6,24.0,2341,157,,,,621563,,,0,0,0,top
2018-06-01,530266,13,606273,L,621563,L,97,Single,5,4,180602_061743,3f0eadd5-a153-49c0-a8d2-57fbc3f85a8e,2,2,1,C,Called Strike,FT,13,2.0,3.36,1.64,91.4,83.5,59.64,1.3,50.0,4.83,-1.03,1.94,7.67,7.22,-8.72,-132.55,-3.89,13.66,27.84,-19.31,30.0,4.8,24.0,2265,136,,,,621563,,,0,0,0,top
2018-06-01,530266,13,606273,L,621563,L,97,Single,5,5,180602_061803,e197b607-57e1-4f18-aa19-20d94ff0877b,2,2,1,D,In play- no out,FF,4,2.0,3.04,1.3,95.1,87.0,34.47,0.58,50.0,5.57,-0.42,1.94,5.1,10.62,-4.52,-138.12,-7.78,9.87,30.08,-11.61,33.6,3.6,24.0,2390,155,,,,621563,,,0,0,0,top
2018-06-01,530266,13,606273,L,467092,R,98,Double Play,9,1,180602_061904,712dbfcf-2f4d-4847-bc87-f93154c5cc80,0,1,1,F,Foul,FF,14,2.0,3.21,1.26,94.3,85.9,67.41,0.59,50.0,5.58,0.93,1.79,5.12,11.37,-0.88,-137.03,-8.26,9.71,31.3,-10.63,37.2,3.6,24.0,2440,154,621563,,,,,,0,2,0,top
2018-06-01,530266,13,606273,L,467092,R,98,Double Play,9,2,180602_061933,83f239df-d912-4c68-b501-75b57d6f8445,0,1,1,B,Ball,FT,12,2.0,3.48,1.49,94.6,86.3,32.7,1.09,50.0,5.65,2.32,3.25,8.28,7.81,0.43,-137.57,-3.33,15.83,31.34,-17.26,42.0,4.8,24.0,2406,132,621563,,,,,,0,2,0,top
2018-06-01,530266,13,606273,L,467092,R,98,Double Play,9,3,180602_062039,5a56c377-5099-44e4-9fd3-128f866aee78,1,2,1,F,Foul,CH,14,2.0,3.21,1.26,86.3,78.8,20.14,1.0,50.0,5.56,1.59,1.71,9.3,3.89,-1.52,-125.46,-4.26,14.73,26.93,-26.01,27.6,8.4,24.0,1850,111,621563,,,,,,0,2,0,top
2018-06-01,530266,13,606273,L,467092,R,98,Double Play,9,4,180602_062115,ea755015-5438-4025-9340-130d140efacc,1,2,1,B,Ball,CH,12,2.0,3.48,1.5,85.8,78.3,17.65,1.04,50.0,5.63,2.42,2.89,8.74,5.15,0.6,-124.8,-1.84,13.71,26.27,-24.09,30.0,7.2,24.0,1836,120,621563,,,,,,0,2,0,top
2018-06-01,530266,13,606273,L,467092,R,98,Double Play,9,5,180602_062159,01171da2-70fa-4b4b-9ef4-78d2c242dba3,2,2,1,X,In play- out(s),FF,12,2.0,3.21,1.26,94.3,85.9,31.29,0.68,50.0,5.86,0.45,4.04,3.25,9.15,-1.77,-137.13,-2.2,6.18,30.74,-14.77,20.4,3.6,24.0,2364,161,621563,,,,,,0,2,0,top
2018-06-09,530371,4,606273,L,491696,R,36,Pop Out,6,1,180609_212845,84495cf7-a489-4b82-95a0-5a3e9a901dd4,0,1,0,C,Called Strike,FF,12,2.0,3.2,1.47,92.5,84.1,59.01,1.16,50.0,5.9,0.78,2.46,4.7,8.49,-2.63,-134.38,-5.93,8.54,30.97,-16.75,24.0,4.8,24.0,2217,151,,,,,,,0,1,-5,bottom
