Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-03,567106,8,596451,R,592626,L,75,Flyout,6,1,190716_020806,e4cac29d-2b1c-4271-b7ed-22bd9fe4186c,0,0,2,B,Ball,FF,11,2.0,3.54,1.73,84.1,77.0,,-2.18,50.0,6.15,-1.75,4.23,-4.41,8.39,2.44,-122.16,-0.62,-6.7,22.92,-19.43,18.0,6.0,24.0,2006,205,607461,571771,,,,,0,1,-13,top
2019-09-03,567106,8,596451,R,592626,L,75,Flyout,6,2,190716_020818,37bc4f30-243e-4b56-b67b-f708967b93f9,1,0,2,S,Called Strike,FF,11,2.0,3.44,1.72,81.9,75.4,,-2.37,50.0,6.01,-1.05,3.48,-4.65,8.61,4.53,-118.99,-1.78,-6.72,21.04,-19.73,16.8,6.0,24.0,1955,205,607461,571771,,,,,0,1,-13,top
2019-09-03,567106,8,596451,R,592626,L,75,Flyout,6,3,190716_020830,d8b87f54-e53f-4114-aa03-1c90ac075971,1,1,2,S,Foul,FF,14,2.0,3.46,1.64,82.7,76.4,,-2.21,50.0,5.74,0.72,1.85,-4.2,8.98,8.26,-119.96,-5.26,-6.19,21.14,-18.97,13.2,6.0,24.0,2105,200,607461,571771,,,,,0,1,-13,top
2019-09-03,567106,8,596451,R,592626,L,75,Flyout,6,4,190716_020848,008b0480-56e8-486f-acb0-70b97ed68e35,1,2,2,B,Ball,FF,12,2.0,3.53,1.73,86.6,79.3,,-1.95,50.0,5.98,1.23,2.97,-4.72,9.82,9.4,-125.47,-4.16,-7.55,24.31,-16.45,18.0,4.8,24.0,2109,200,607461,571771,,,,,0,1,-13,top
2019-09-03,567106,8,596451,R,592626,L,75,Flyout,6,5,190716_020903,9bde13b2-bd10-4114-b58d-a082e92223f1,2,2,2,B,Ball,FF,11,2.0,3.45,1.71,85.6,78.6,,-2.38,50.0,5.96,-1.76,3.83,-3.72,8.83,2.73,-124.49,-1.54,-5.87,23.58,-18.23,15.6,4.8,24.0,2078,201,607461,571771,,,,,0,1,-13,top
2019-09-03,567106,8,596451,R,592626,L,75,Flyout,6,6,190716_020924,80cba026-e79a-4163-af57-6a6b239219bf,3,2,2,X,In play- out(s),FF,11,2.0,3.49,1.59,85.4,78.6,,-2.31,50.0,5.92,-1.05,3.9,-3.5,7.78,4.2,-124.19,-0.93,-5.51,22.92,-19.92,13.2,4.8,24.0,1963,200,607461,571771,,,,,0,1,-13,top
2019-09-03,567106,9,596451,R,657077,L,81,Single,4,1,190716_022022,948ddf73-6566-4450-b722-1e4d843143b8,0,0,0,B,Ball,FF,12,2.0,3.77,1.75,78.3,72.3,,-2.15,50.0,6.17,0.9,3.1,-2.72,7.44,7.67,-113.5,-1.94,-3.58,18.64,-22.36,6.0,7.2,24.0,1950,193,,,,657077,,,0,0,-12,top
2019-09-03,567106,9,596451,R,657077,L,81,Single,4,2,190716_022031,9c550e5d-901e-4749-a6b2-61217f71fd5d,1,0,0,B,Ball,FF,13,2.0,3.66,1.61,79.3,73.3,,-2.62,50.0,6.0,-1.23,2.01,-3.91,8.84,4.32,-115.15,-4.68,-5.3,19.54,-20.2,12.0,6.0,24.0,1825,201,,,,657077,,,0,0,-12,top
2019-09-03,567106,9,596451,R,657077,L,81,Single,4,3,190716_022042,9296f201-4b9f-4e2e-a3c1-09aa6bebed49,2,0,0,S,Foul,FF,12,2.0,3.49,1.59,81.2,75.1,,-1.78,50.0,6.16,0.82,2.55,-3.47,8.44,7.12,-117.89,-4.13,-4.93,20.1,-20.16,10.8,6.0,24.0,1977,197,,,,657077,,,0,0,-12,top
2019-09-03,567106,9,596451,R,657077,L,81,Single,4,4,190716_022101,1baa272e-d78d-4be1-abf9-d16c5d7ae447,2,1,0,X,In play- no out,FF,11,2.0,3.49,1.59,80.6,73.6,,-1.84,50.0,6.27,-0.1,3.89,-3.67,8.54,5.11,-117.04,-1.11,-5.09,22.05,-20.32,12.0,6.0,24.0,2094,199,,,,657077,,,0,0,-12,top
2019-09-03,567106,9,596451,R,457759,R,82,Pop Out,4,1,190716_022132,06f0b2e4-25bc-493e-9b9d-6e7de46652b4,0,0,0,B,Ball,FF,14,2.0,3.7,1.78,81.1,74.2,,-1.69,50.0,5.97,1.31,1.07,-3.96,10.53,8.14,-117.36,-7.55,-5.52,22.39,-17.51,12.0,6.0,24.0,2071,196,657077,,,,,,0,1,-12,top
