Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-13,564900,1,671790,R,606466,L,3,Triple,5,1,190904_014720,5ac1703f-5b93-420b-b2c4-1505692f7d2b,0,0,0,S,Called Strike,FF,5,2.0,3.61,1.78,94.5,87.0,,-2.26,50.0,5.95,-0.15,2.56,-6.32,7.82,7.97,-137.44,-6.08,-12.16,28.62,-17.12,30.0,4.8,24.0,2175,216,,,,,,606466,0,0,0,bottom
2019-09-13,564900,1,671790,R,606466,L,3,Triple,5,2,190904_014735,590295f7-f7bc-4380-b9b3-eeebed707e85,0,1,0,B,Ball,FF,12,2.0,3.53,1.73,96.3,88.5,,-1.84,50.0,6.05,2.0,2.69,-5.74,8.65,12.67,-139.56,-6.6,-11.41,29.12,-14.98,28.8,3.6,24.0,2364,208,,,,,,606466,0,0,0,bottom
2019-09-13,564900,1,671790,R,606466,L,3,Triple,5,3,190904_014752,08d87298-96ab-4520-9830-2b9c2e323d98,1,1,0,B,Ball,SL,12,2.0,3.57,1.72,83.6,77.8,,-2.01,50.0,6.01,0.84,3.02,0.7,3.75,6.66,-121.62,-1.75,1.07,20.49,-26.47,4.8,7.2,24.0,2553,158,,,,,,606466,0,0,0,bottom
2019-09-13,564900,1,671790,R,606466,L,3,Triple,5,4,190904_014810,0469c485-f93c-444d-99c7-b528f476681f,2,1,0,S,Called Strike,FF,11,2.0,3.58,1.73,95.8,87.8,,-2.23,50.0,5.94,-1.02,3.21,-6.33,8.08,5.59,-139.44,-4.59,-12.49,30.71,-16.23,33.6,4.8,24.0,2304,216,,,,,,606466,0,0,0,bottom
2019-09-13,564900,1,671790,R,606466,L,3,Triple,5,5,190904_014835,9f3ebd4b-0568-4d71-b9bd-d424bbec3773,2,2,0,X,In play- no out,SL,14,2.0,3.6,1.8,85.7,79.2,,-1.97,50.0,5.97,0.74,2.28,1.35,2.5,6.26,-124.65,-3.38,2.14,23.74,-28.22,6.0,7.2,24.0,2708,136,,,,,,606466,0,0,0,bottom
2019-09-13,564900,1,671790,R,668942,L,4,Single,3,1,190904_014927,a0f5d7a1-02f2-455c-b360-a0fbe3765965,0,0,0,S,Called Strike,FF,11,2.0,3.45,1.65,97.0,88.4,,-2.2,50.0,6.07,-0.73,3.3,-4.02,9.79,5.56,-141.09,-5.46,-8.08,33.0,-12.5,26.4,3.6,24.0,2332,199,,,606466,668942,,,1,0,0,bottom
2019-09-13,564900,1,671790,R,668942,L,4,Single,3,2,190904_014945,bbd21e4b-2923-4f4f-9f9e-d8e0e4f1631b,0,1,0,S,Swinging Strike,FF,11,2.0,3.48,1.65,98.1,89.5,,-2.13,50.0,5.98,-0.73,3.45,-4.92,10.1,5.76,-142.58,-5.1,-10.14,32.59,-11.37,34.8,3.6,24.0,2308,203,,,606466,668942,,,1,0,0,bottom
2019-09-13,564900,1,671790,R,668942,L,4,Single,3,3,190904_015008,adc7a2df-e2c5-48f3-9203-9f0332f1e718,0,2,0,X,In play- run(s),FF,6,2.0,3.48,1.64,98.5,90.2,,-2.06,50.0,5.95,0.58,2.28,-5.38,10.44,9.43,-142.98,-8.49,-11.16,32.32,-10.52,36.0,3.6,24.0,2385,204,,,606466,668942,,,1,0,0,bottom
2019-09-13,564900,1,671790,R,500871,L,5,Walk,5,1,190904_015053,7bbce2c8-d428-4379-8b3a-652b8ba64059,0,0,0,B,Ball,FF,11,2.0,2.97,1.41,93.1,85.7,,-1.96,50.0,6.24,-1.65,3.96,-4.76,8.0,2.5,-135.66,-2.92,-8.93,27.75,-17.16,25.2,4.8,24.0,2145,209,668942,,,500871,668942,,0,0,-1,bottom
2019-09-13,564900,1,671790,R,500871,L,5,Walk,5,2,190904_015111,8cc853c9-0c7f-4848-bb08-eaecc91099f1,1,0,0,B,Ball,FT,11,2.0,2.98,1.39,91.9,84.9,,-1.98,50.0,6.19,-1.44,3.35,-6.64,7.37,3.75,-133.9,-4.04,-12.17,26.26,-18.67,30.0,4.8,24.0,2108,221,668942,,,500871,668942,,0,0,-1,bottom
