Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-17,567301,1,446321,L,593871,R,0,Groundout,2,1,190629_001054,d8db3a08-4923-427d-8c7a-710c41b0952b,0,0,0,S,Called Strike,SI,2,2.0,3.44,1.67,90.7,84.3,,1.9,50.0,6.18,0.17,2.93,8.08,4.74,-7.28,-131.83,-4.0,14.48,23.22,-23.69,28.8,6.0,24.0,2075,121,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,593871,R,0,Groundout,2,2,190629_001111,7bcedaff-8cd0-49f7-9807-ff286427e702,0,1,0,X,In play- out(s),CH,9,2.0,3.4,1.64,84.4,79.4,,1.82,50.0,6.17,0.62,1.66,5.62,3.9,-4.72,-122.84,-5.72,8.8,18.6,-26.07,16.8,7.2,24.0,1617,124,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,596146,L,1,Strikeout,5,1,190629_001146,acc7b0e3-5df4-4f38-8237-cc79d66bd66f,0,0,1,B,Ball,FF,11,2.0,3.4,1.63,91.0,83.8,,1.7,50.0,6.28,-0.38,3.47,6.83,8.14,-7.77,-132.21,-3.99,12.21,25.55,-17.62,30.0,4.8,24.0,2195,142,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,596146,L,1,Strikeout,5,2,190629_001200,c0fd95e4-8125-42fe-81f5-6185eb877655,1,0,1,S,Foul,SI,9,2.0,3.42,1.62,90.2,84.1,,1.69,50.0,6.09,0.32,1.67,10.2,5.21,-7.03,-131.06,-7.12,18.06,22.97,-22.95,34.8,7.2,24.0,2101,116,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,596146,L,1,Strikeout,5,3,190629_001219,c1a402b6-6226-42ce-9786-26cbc9bc2824,1,1,1,B,Ball,SI,12,2.0,3.45,1.49,90.7,83.8,,1.95,50.0,6.24,1.06,3.77,9.24,3.99,-5.48,-131.85,-1.67,16.49,24.57,-25.06,31.2,7.2,24.0,1993,114,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,596146,L,1,Strikeout,5,4,190629_001241,1b2153d5-b025-4c8e-85be-a5cdd50308ad,2,1,1,S,Foul,CU,9,2.0,3.4,1.64,78.0,72.8,,1.78,50.0,6.37,0.41,2.07,-1.18,-3.97,-2.73,-113.38,-1.34,-1.55,18.49,-37.41,2.4,12.0,24.0,1982,338,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,596146,L,1,Strikeout,5,5,190629_001302,09377b8f-7f68-4a18-b681-e6ca2a2fca5a,2,2,1,S,Swinging Strike,FC,11,2.0,3.65,1.71,88.0,82.1,,1.59,50.0,6.31,-1.41,2.85,1.28,3.43,-8.06,-127.91,-3.63,2.16,21.71,-26.39,2.4,6.0,24.0,2180,171,,,,,,,0,1,0,top
2019-08-17,567301,1,446321,L,543068,R,2,Single,5,1,190629_001332,fdc55819-42e1-4166-97e6-ef5a008133ce,0,0,2,B,Ball,CU,14,2.0,3.65,1.7,77.0,71.7,,1.85,50.0,6.4,0.99,1.62,0.6,-2.9,-2.08,-111.95,-2.51,0.76,18.75,-35.89,1.2,12.0,24.0,1866,6,,,,543068,,,0,0,0,top
2019-08-17,567301,1,446321,L,543068,R,2,Single,5,2,190629_001345,2d6a1f18-8b89-46b1-9ad1-4e51830e774c,1,0,2,S,Foul,FF,7,2.0,3.65,1.71,91.7,84.8,,1.59,50.0,6.14,-0.39,2.02,6.78,8.5,-7.57,-133.06,-7.72,12.31,24.97,-16.72,31.2,4.8,24.0,2275,142,,,,543068,,,0,0,0,top
2019-08-17,567301,1,446321,L,543068,R,2,Single,5,3,190629_001405,e63488ac-b6d8-4335-9b7f-9abfa093a81c,1,1,2,B,Ball,FC,11,2.0,3.77,1.72,87.3,81.1,,1.58,50.0,6.28,-1.18,2.78,3.31,2.96,-8.04,-126.85,-3.4,5.47,22.4,-27.29,8.4,7.2,24.0,2046,138,,,,543068,,,0,0,0,top
