Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-14,566912,1,621366,L,596019,R,0,Groundout,2,1,190722_230952,86192a19-8c92-4272-b743-42e01cdf08a1,0,0,0,S,Called Strike,SI,12,,3.44,1.63,92.4,84.6,,2.3,50.0,5.85,0.82,3.13,9.61,6.54,-7.23,-134.33,-3.4,17.6,28.42,-20.19,37.2,6.0,24.0,2275,125,,,,,,,0,1,0,top
2019-09-14,566912,1,621366,L,596019,R,0,Groundout,2,2,190722_231011,704edb24-f56d-4056-88d7-4183a6b34ee0,0,1,0,X,In play- out(s),SI,2,,3.24,1.54,93.0,85.2,,2.4,50.0,5.74,0.17,2.98,10.36,6.13,-9.56,-135.1,-3.47,19.21,28.44,-20.81,38.4,6.0,24.0,2272,122,,,,,,,0,1,0,top
2019-09-14,566912,1,621366,L,640458,R,1,Strikeout,3,1,190722_231046,dc89f942-0e21-4907-afa1-b307c9633ffc,0,0,1,S,Called Strike,SI,12,,3.52,1.63,93.0,85.0,,2.21,50.0,5.83,0.94,2.6,10.35,6.53,-6.97,-135.16,-4.85,19.13,29.74,-20.1,39.6,6.0,24.0,2381,122,,,,,,,0,1,0,top
2019-09-14,566912,1,621366,L,640458,R,1,Strikeout,3,2,190722_231059,bbb626a9-6fe2-4d02-ab6b-0513003e9d4c,0,1,1,S,Called Strike,SL,14,,3.53,1.61,84.9,78.1,,2.47,50.0,5.77,0.99,1.87,-0.67,2.25,-3.39,-123.55,-3.63,-1.03,24.64,-28.69,3.6,7.2,24.0,2352,209,,,,,,,0,1,0,top
2019-09-14,566912,1,621366,L,640458,R,1,Strikeout,3,3,190722_231114,6a1ce247-c060-4f3f-a04c-d76629ab5b30,0,2,1,S,Called Strike,SL,8,,3.43,1.6,84.7,78.4,,2.13,50.0,5.83,-0.17,1.89,-0.32,-0.05,-5.53,-123.34,-3.0,-0.49,23.68,-32.24,2.4,8.4,24.0,2304,284,,,,,,,0,1,0,top
2019-09-14,566912,1,621366,L,467793,R,2,Double,4,1,190722_231150,d9ec0ef1-3d6d-483d-918d-ba1816443c9f,0,0,2,S,Called Strike,SI,9,,3.5,1.67,93.7,85.8,,2.07,50.0,5.7,0.42,2.01,9.0,8.66,-7.58,-136.17,-6.98,16.93,29.56,-15.89,42.0,4.8,24.0,2274,134,,,,,467793,,0,0,0,top
2019-09-14,566912,1,621366,L,467793,R,2,Double,4,2,190722_231204,25968759-4b2f-4f81-b90e-55e6fd7b5b99,0,1,2,B,Ball,CH,12,,3.53,1.58,84.8,77.4,,2.21,50.0,5.81,1.83,3.47,7.09,7.81,-3.16,-123.47,-1.55,10.92,25.14,-20.15,26.4,6.0,24.0,1964,139,,,,,467793,,0,0,0,top
2019-09-14,566912,1,621366,L,467793,R,2,Double,4,3,190722_231219,ae94ec7a-2c18-4937-8e28-47f8dc856e69,1,1,2,B,Ball,SI,14,,3.49,1.58,92.7,85.3,,2.13,50.0,5.69,0.8,1.27,8.17,8.16,-6.38,-134.63,-8.56,15.07,27.76,-17.12,36.0,4.8,24.0,2171,134,,,,,467793,,0,0,0,top
2019-09-14,566912,1,621366,L,467793,R,2,Double,4,4,190722_231239,41b53c0d-400b-41b2-ac05-5f209462c222,2,1,2,X,In play- no out,SI,6,,3.43,1.63,93.0,85.2,,2.14,50.0,5.76,0.29,2.29,10.32,6.4,-8.54,-135.1,-5.46,19.11,28.79,-20.31,38.4,6.0,24.0,2279,122,,,,,467793,,0,0,0,top
2019-09-14,566912,1,621366,L,656669,R,3,Walk,6,1,190722_231321,c0cd79cd-fce0-4f5f-8586-f237651c7f44,0,0,2,B,Ball,SI,14,,3.27,1.52,91.9,84.6,,2.22,50.0,5.62,0.68,1.31,9.32,8.5,-7.27,-133.51,-8.22,16.92,27.33,-16.76,39.6,4.8,24.0,2220,132,,467793,,656669,,,0,0,0,top
