Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-30,529420,8,425492,R,608385,L,60,Strikeout,4,1,180330_224825,1fde5f2a-6080-4b66-959f-8e8f727238d7,0,0,0,B,Ball,CU,11,2.0,3.41,1.51,80.9,74.3,65.21,-1.81,50.0,6.64,-0.43,4.34,0.76,-4.73,2.98,-117.61,3.01,1.07,22.07,-38.81,2.4,10.8,24.0,2322,15,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,608385,L,60,Strikeout,4,2,180330_224851,64ae91ee-9f85-4328-b494-317e1c512624,1,1,0,F,Foul,FT,5,2.0,3.19,1.38,93.5,86.1,21.4,-1.69,50.0,6.27,0.16,2.33,-9.06,6.28,8.15,-135.73,-6.8,-17.03,27.69,-20.37,36.0,6.0,24.0,2042,235,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,608385,L,60,Strikeout,4,3,180330_224913,f823dd37-b705-4b1c-b7da-89e34c86df1c,1,2,0,F,Foul,FF,9,2.0,3.39,1.42,94.5,86.1,39.44,-1.39,50.0,6.18,0.45,1.93,-9.86,8.83,8.43,-137.03,-8.62,-18.67,31.33,-15.44,44.4,4.8,24.0,2376,228,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,608385,L,60,Strikeout,4,4,180330_224939,d07f0688-28ff-4ae0-b7b8-e5f37ae30f28,1,2,0,S,Swinging Strike,CH,9,2.0,3.35,1.44,82.5,76.0,50.57,-1.66,50.0,6.16,0.67,1.46,-8.55,6.26,8.14,-119.69,-6.26,-12.45,22.3,-23.06,24.0,7.2,24.0,1884,233,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,553993,R,61,Groundout,3,1,180330_225015,e4ce8507-677e-4d81-ba42-a1993496c366,0,1,1,F,Foul,FF,6,2.0,3.43,1.56,94.3,86.4,48.73,-1.42,50.0,6.2,0.42,2.27,-8.64,8.45,8.03,-136.87,-7.69,-16.44,29.33,-16.09,39.6,4.8,24.0,2104,225,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,553993,R,61,Groundout,3,2,180330_225033,a15835bc-7f85-405a-8d62-174bd8724cde,0,2,1,C,Called Strike,FF,12,2.0,3.45,1.56,95.4,86.4,47.24,-1.3,50.0,6.26,0.83,2.78,-7.76,10.11,8.54,-138.52,-7.13,-14.91,33.91,-12.73,42.0,3.6,24.0,2412,215,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,553993,R,61,Groundout,3,3,180330_225054,b5af13c1-7be2-4de0-9daf-fb829d849e21,0,2,1,X,In play- out(s),CH,9,2.0,3.32,1.51,84.2,76.6,40.83,-1.56,50.0,6.24,0.49,1.71,-9.17,6.74,7.76,-122.02,-6.28,-13.7,26.0,-22.11,27.6,7.2,24.0,1999,233,,,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,458015,L,62,Single,1,1,180330_225143,f5e5843a-f6a9-4643-b942-6f5cfacda37c,0,0,2,D,In play- no out,FT,8,2.0,3.22,1.48,95.4,86.9,35.14,-1.45,50.0,6.21,-0.11,1.89,-9.53,7.01,7.04,-138.47,-8.37,-18.39,32.62,-18.64,39.6,6.0,24.0,2252,234,,,,458015,,,0,0,1,bottom
2018-03-30,529420,8,425492,R,571697,L,63,Single,8,1,180330_225227,4f73eff8-7a10-4847-ac51-dc7f4ae99ed7,1,0,2,*B,Ball In Dirt,CU,14,2.0,3.18,1.39,82.2,75.3,60.65,-1.55,50.0,6.24,1.32,0.58,-1.98,-8.0,7.32,-119.3,-3.95,-2.8,26.73,-43.49,2.4,13.2,24.0,2439,354,458015,,,571697,458015,,0,0,1,bottom
2018-03-30,529420,8,425492,R,571697,L,63,Single,8,2,180330_225319,0a3d1981-03b0-471a-8043-d986132ad038,1,1,2,F,Foul,FT,8,2.0,3.15,1.38,94.5,86.1,27.13,-1.56,50.0,6.21,0.01,1.64,-10.89,7.38,8.06,-137.12,-8.97,-20.63,31.81,-18.19,43.2,6.0,24.0,2119,237,458015,,,571697,458015,,0,0,1,bottom
2018-03-30,529420,8,425492,R,571697,L,63,Single,8,3,180330_225346,ca4ab9b3-fea6-4227-8413-6aafed2eb419,1,1,2,S,Swinging Strike,FF,11,2.0,3.07,1.34,93.9,84.8,46.62,-1.43,50.0,6.31,-0.33,3.22,-9.16,8.5,6.13,-136.49,-5.21,-17.04,33.89,-16.36,40.8,4.8,24.0,2313,226,458015,,,571697,458015,,0,0,1,bottom
2018-03-30,529420,8,425492,R,571697,L,63,Single,8,4,180330_225441,365470b1-57b8-4cf7-94be-2b9030e3c6a4,1,2,2,F,Foul,FF,11,2.0,3.14,1.35,95.7,86.2,42.01,-1.46,50.0,6.29,-0.29,3.21,-8.41,10.6,6.18,-138.98,-6.25,-16.21,35.25,-11.74,48.0,3.6,24.0,2298,217,458015,,,571697,458015,,0,0,1,bottom
2018-03-30,529420,8,425492,R,571697,L,63,Single,8,5,180330_225506,c577e1d8-efff-43a5-a75d-82cb272ad07e,1,2,2,F,Foul,FF,11,2.0,3.09,1.34,95.4,85.1,43.92,-1.62,50.0,6.12,-0.84,2.28,-8.09,10.86,4.94,-138.27,-8.21,-15.28,37.9,-11.67,45.6,4.8,24.0,2384,216,458015,,,571697,458015,,0,0,1,bottom
2018-03-30,529420,8,425492,R,571697,L,63,Single,8,6,180330_225536,48bc0339-7564-4c2a-9e08-a58f1e2a4233,1,2,2,D,In play- no out,FF,5,2.0,3.09,1.34,95.7,86.7,23.24,-1.49,50.0,6.11,0.23,2.3,-8.39,9.73,7.67,-138.88,-7.97,-16.24,33.66,-13.33,43.2,4.8,24.0,2325,219,458015,,,571697,458015,,0,0,1,bottom
2018-03-30,529420,8,425492,R,594988,L,64,Groundout,5,1,180330_225642,68573df7-c300-4f49-a27d-b5373c807708,1,0,2,*B,Ball In Dirt,CH,14,2.0,3.25,1.44,85.4,77.5,46.95,-1.64,50.0,6.2,0.4,0.86,-10.35,5.75,8.22,-123.72,-8.17,-15.83,27.71,-23.39,28.8,7.2,24.0,1974,242,571697,458015,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,594988,L,64,Groundout,5,2,180330_225708,05512713-1705-4533-aa90-6f9143a1a942,1,0,2,S,Swinging Strike,CH,11,2.0,3.19,1.37,84.0,76.6,36.42,-1.8,50.0,6.42,-0.72,2.32,-9.73,5.49,5.61,-122.04,-4.85,-14.58,25.54,-23.95,28.8,7.2,24.0,1958,240,571697,458015,,,,,0,1,1,bottom
2018-03-30,529420,8,425492,R,594988,L,64,Groundout,5,3,180330_225734,5a2362cc-e966-4914-be4c-6eee737a11db,1,2,2,T,Foul Tip,CH,7,2.0,3.31,1.56,84.2,77.0,40.92,-1.71,50.0,6.25,-0.45,1.66,-9.43,6.34,6.0,-122.2,-6.35,-14.2,25.01,-22.62,28.8,7.2,24.0,2067,236,571697,458015,,,,,0,1,1,bottom
