Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-07,566003,8,594951,L,458015,L,54,Strikeout,4,1,190502_012210,12d68cff-43ee-40be-91a5-b6d2bfc97071,0,0,0,B,Ball,SL,11,2.0,3.44,1.57,80.0,73.4,,0.88,50.0,6.25,-0.94,3.17,-1.99,6.21,-3.57,-116.34,-1.93,-2.73,21.82,-23.67,8.4,7.2,24.0,2359,201,,,,,,,0,1,0,top
2019-09-07,566003,8,594951,L,458015,L,54,Strikeout,4,2,190502_012222,2e7e41e2-ffb6-48a1-af48-b73d5fc6eb91,1,0,0,S,Called Strike,SL,3,2.0,3.4,1.73,80.8,73.5,,0.95,50.0,6.22,0.25,2.98,0.08,6.93,-1.64,-117.45,-2.6,0.11,24.04,-22.58,0.0,7.2,24.0,2340,181,,,,,,,0,1,0,top
2019-09-07,566003,8,594951,L,458015,L,54,Strikeout,4,3,190502_012236,453c46dd-5a49-4cbd-96c7-01527a870416,1,1,0,S,Foul,SL,1,2.0,3.28,1.64,78.6,72.5,,0.78,50.0,6.31,-0.48,2.96,-6.26,-0.12,-0.99,-114.35,-0.41,-8.3,20.77,-32.33,14.4,10.8,24.0,,269,,,,,,,0,1,0,top
2019-09-07,566003,8,594951,L,458015,L,54,Strikeout,4,4,190502_012304,8f7d8685-479f-4994-af50-1bd457f5544e,1,2,0,S,Called Strike,SL,11,2.0,3.32,1.59,81.6,75.6,,0.54,50.0,6.17,-0.93,2.79,-1.93,6.34,-2.87,-118.78,-3.07,-2.78,20.51,-23.02,8.4,7.2,24.0,2393,200,,,,,,,0,1,0,top
2019-09-07,566003,8,594951,L,553993,R,55,Pop Out,2,1,190502_012341,804eb09a-fd3c-4902-a542-3a7a6ebbc11f,0,0,1,S,Called Strike,FT,14,2.0,3.49,1.56,91.0,83.8,,0.77,50.0,6.06,0.95,2.25,7.79,8.21,-2.17,-132.3,-6.64,13.88,26.74,-17.53,36.0,4.8,24.0,2203,135,,,,,,,0,1,0,top
2019-09-07,566003,8,594951,L,553993,R,55,Pop Out,2,2,190502_012405,3332de68-6233-49cf-a3f4-a9fa40a35b5f,0,1,1,X,In play- out(s),SL,1,2.0,3.4,1.61,81.6,75.3,,0.69,50.0,6.3,-0.57,3.11,-2.5,6.5,-2.2,-118.7,-2.65,-3.58,21.35,-22.84,9.6,7.2,24.0,2382,203,,,,,,,0,1,0,top
2019-09-07,566003,8,594951,L,608385,L,56,Walk,4,1,190502_012444,5fc9dbd8-10c7-45fc-9ac0-c90774fb6941,0,0,2,B,Ball,SL,13,2.0,3.62,1.73,79.9,74.5,,0.78,50.0,6.1,-0.66,1.09,-5.59,2.81,-1.64,-116.3,-5.42,-7.73,19.69,-28.28,15.6,8.4,24.0,2451,248,,,,608385,,,0,0,0,top
2019-09-07,566003,8,594951,L,608385,L,56,Walk,4,2,190502_012500,ae528548-b36d-474a-b3b0-56d19b7be064,1,0,2,B,Ball,SL,13,2.0,3.4,1.61,81.2,75.4,,0.97,50.0,5.95,-0.66,1.43,-0.27,7.66,-3.73,-118.12,-6.04,-0.38,20.25,-21.24,2.4,6.0,24.0,2423,185,,,,608385,,,0,0,0,top
2019-09-07,566003,8,594951,L,608385,L,56,Walk,4,3,190502_012516,4305a763-669c-49e2-921e-6304011dc976,2,0,2,B,Ball,SL,11,2.0,3.3,1.47,80.6,74.2,,0.83,50.0,6.28,-0.59,4.6,-2.82,5.46,-2.45,-117.3,1.37,-3.96,20.79,-24.51,9.6,7.2,24.0,2356,208,,,,608385,,,0,0,0,top
2019-09-07,566003,8,594951,L,608385,L,56,Walk,4,4,190502_012535,002bf2f2-8364-44e9-b5c9-cf200fb9f1d9,3,0,2,B,Ball,FF,11,2.0,3.34,1.63,91.5,83.3,,0.67,50.0,6.1,-0.55,3.89,4.73,10.83,-4.83,-132.94,-3.35,8.45,29.0,-12.83,28.8,3.6,24.0,2443,158,,,,608385,,,0,0,0,top
