Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-31,529438,7,519151,R,458675,L,55,Lineout,1,1,180401_011304,cc1f5d5b-b6c3-40d5-b72e-cb30cae6c8d8,0,0,0,X,In play- out(s),FF,6,2.0,3.39,1.46,92.3,85.4,42.9,-0.35,50.0,5.88,0.27,2.21,-1.61,9.97,2.21,-134.29,-7.2,-2.98,25.89,-13.75,9.6,3.6,24.0,2650,188,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,542921,R,56,Strikeout,4,1,180401_011341,f6dfc037-47f3-487c-9ad3-fb6dadddb204,0,0,1,B,Ball,FF,12,2.0,3.67,1.66,93.4,85.9,40.53,-0.4,50.0,6.13,0.31,4.43,1.63,9.43,1.34,-135.99,-1.92,3.08,27.61,-14.37,13.2,3.6,24.0,2628,169,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,542921,R,56,Strikeout,4,2,180401_011401,51ea297a-6333-415b-b8c0-b272158acb50,1,1,1,F,Foul,FF,6,2.0,3.39,1.38,93.1,85.8,35.34,-0.39,50.0,5.89,0.47,2.7,-0.32,10.4,2.43,-135.44,-6.2,-0.6,27.07,-12.68,0.0,3.6,24.0,2593,180,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,542921,R,56,Strikeout,4,3,180401_011432,895fd173-61c1-4270-a68e-6d295e57d5fa,1,2,1,F,Foul,FF,3,2.0,3.39,1.38,94.4,86.5,38.87,-0.47,50.0,5.79,0.49,2.88,0.58,10.67,2.39,-137.37,-5.75,1.1,29.72,-11.74,7.2,2.4,24.0,2604,175,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,542921,R,56,Strikeout,4,4,180401_011503,706a3478-fec7-4302-a488-3e1b5142226d,1,3,1,W,Swinging Strike (Blocked),CU,14,2.0,3.39,1.38,85.5,78.3,3.73,-0.32,50.0,5.9,1.77,-0.82,11.98,-4.18,1.32,-123.99,-8.38,18.29,29.25,-38.55,24.0,12.0,24.0,3292,66,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,623993,L,57,Groundout,3,1,180401_011559,44a3502a-93a8-4c75-845d-d587f7182b12,0,0,2,B,Ball,FF,14,2.0,3.38,1.57,93.4,85.8,49.14,-0.39,50.0,5.66,1.53,1.29,-3.28,8.36,6.29,-135.76,-8.64,-6.14,28.94,-16.53,14.4,3.6,24.0,2511,198,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,623993,L,57,Groundout,3,2,180401_011623,93eedb79-48fc-46ae-ac7f-8d755bdf7d56,1,0,2,S,Swinging Strike,SL,14,2.0,3.67,1.4,88.7,82.3,51.29,-0.69,50.0,5.77,0.7,1.22,3.45,-0.51,2.42,-129.03,-5.17,5.86,25.17,-33.03,10.8,8.4,24.0,2868,75,,,,,,,0,1,6,bottom
2018-03-31,529438,7,519151,R,623993,L,57,Groundout,3,3,180401_011650,548273b2-04f1-42d0-9acf-8d6fdbd34ae3,1,1,2,X,In play- out(s),FT,5,2.0,3.67,1.4,92.8,84.5,22.01,-0.55,50.0,5.81,0.09,2.64,-6.95,6.43,4.09,-135.02,-4.6,-12.76,30.95,-20.38,28.8,6.0,24.0,2481,227,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,642082,L,61,Strikeout,4,1,180401_012708,c69aa874-ba46-42ca-98d0-2cab3da04ce1,0,1,0,C,Called Strike,CU,1,2.0,3.67,1.57,78.2,71.1,73.84,-0.77,50.0,6.44,-0.4,3.2,11.55,-7.33,-2.5,-113.43,2.13,14.82,23.65,-41.58,19.2,14.4,24.0,3047,58,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,642082,L,61,Strikeout,4,2,180401_012729,b71bf390-5f5a-422f-93ab-c131ebba6ae4,0,1,0,S,Swinging Strike,SL,6,2.0,3.67,1.4,87.5,81.7,24.06,-0.67,50.0,5.94,0.45,2.35,3.94,0.45,1.53,-127.5,-2.89,6.6,22.04,-31.42,12.0,8.4,24.0,2553,94,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,642082,L,61,Strikeout,4,3,180401_012751,bebe352f-c612-4613-89a2-3c7717fc16eb,0,2,0,B,Ball,CU,14,2.0,3.67,1.69,81.5,74.8,40.94,-0.42,50.0,6.2,0.59,1.61,9.72,-8.28,-0.57,-118.47,-1.27,13.66,25.01,-43.81,16.8,13.2,24.0,3109,49,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,642082,L,61,Strikeout,4,4,180401_013322,3fec7be2-d361-47e2-8d77-86b6e7151a54,1,2,0,S,Swinging Strike,CU,6,2.0,3.67,1.4,80.5,73.1,22.92,-0.4,50.0,6.19,0.55,2.59,9.67,-6.29,-0.68,-116.93,0.64,13.14,25.75,-40.72,18.0,13.2,24.0,3072,58,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,1,180401_012851,8185b130-75d9-4483-a980-1bf1105d99c2,0,0,1,B,Ball,FT,11,2.0,3.75,1.74,93.3,85.7,62.47,-0.7,50.0,5.93,-1.16,3.42,-5.2,4.97,0.58,-135.88,-2.49,-9.76,28.82,-22.86,22.8,6.0,24.0,2416,226,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,2,180401_012911,e79c97d2-e3b4-4966-b97c-3c933398e580,1,1,1,F,Foul,FF,11,2.0,3.55,1.5,93.1,85.7,58.67,-0.62,50.0,5.86,-0.67,3.73,0.27,8.98,-0.22,-135.66,-2.89,0.5,27.4,-15.31,1.2,3.6,24.0,2562,178,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,3,180401_012938,4513f8b5-659a-4b87-bfae-5073976a3557,1,1,1,S,Swinging Strike,SL,9,2.0,3.55,1.5,87.6,80.5,41.01,-0.64,50.0,5.83,0.57,1.68,3.73,0.14,1.83,-127.37,-4.07,6.12,26.64,-31.95,10.8,8.4,24.0,,87,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,4,180401_012959,da0403d5-54b6-4885-b065-06acfb4586a6,1,2,1,F,Foul,CU,5,2.0,3.55,1.5,80.8,73.1,12.85,-0.47,50.0,6.16,0.23,2.37,10.24,-8.04,-1.42,-117.28,0.72,13.94,26.74,-43.12,18.0,13.2,24.0,3167,52,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,5,180401_013028,6e3d4753-1e82-44b3-924d-854ba4bd8756,1,2,1,B,Ball,CU,14,2.0,3.57,1.69,83.4,76.4,3.82,-0.3,50.0,5.95,1.74,0.63,8.96,-6.29,2.1,-121.18,-3.93,13.11,27.13,-41.38,18.0,12.0,24.0,3170,54,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,6,180401_013106,a3d21bef-41d6-44c5-9199-b29407aa3869,2,2,1,F,Foul,SL,6,2.0,3.55,1.5,88.0,81.3,28.06,-0.55,50.0,5.85,0.49,2.22,2.24,0.88,1.91,-128.09,-3.16,3.74,25.11,-30.71,7.2,7.2,24.0,2796,105,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,448801,L,62,Pop Out,7,7,180401_013147,eeacc532-251d-4f44-805b-2f024b07f556,2,2,1,X,In play- out(s),SL,9,2.0,3.55,1.5,88.9,81.7,40.51,-0.6,50.0,5.82,0.68,1.93,3.91,2.63,1.97,-129.27,-4.5,6.62,26.83,-27.73,13.2,7.2,24.0,,118,,,,,,,0,1,6,bottom
2018-03-31,529438,8,519151,R,592518,R,63,Walk,6,1,180401_013229,751552fe-f875-44b0-85e2-9dbdf16a3568,0,0,2,B,Ball,FF,3,2.0,3.77,1.76,94.1,86.2,52.99,-0.46,50.0,5.84,0.25,3.6,-0.79,9.8,2.21,-137.03,-3.55,-1.51,29.33,-13.48,4.8,3.6,24.0,2598,183,,,,592518,,,0,0,6,bottom
2018-03-31,529438,8,519151,R,592518,R,63,Walk,6,2,180401_013248,14d03154-9ac7-4e76-aea0-a8cf42360142,1,1,2,C,Called Strike,FF,4,2.0,3.95,1.85,93.2,85.4,26.33,-0.37,50.0,5.77,-0.3,2.77,-2.03,9.86,0.88,-135.64,-5.46,-3.79,29.2,-13.77,13.2,3.6,24.0,2496,191,,,,592518,,,0,0,6,bottom
2018-03-31,529438,8,519151,R,592518,R,63,Walk,6,3,180401_013311,d210b6fd-243b-4f0d-8156-597bb3fe08a0,1,1,2,B,Ball,FF,12,2.0,3.88,1.89,93.4,84.9,19.77,-0.28,50.0,5.91,0.17,4.67,-1.1,11.48,1.6,-135.86,-1.28,-2.04,30.76,-10.79,8.4,2.4,24.0,2619,184,,,,592518,,,0,0,6,bottom
2018-03-31,529438,8,519151,R,592518,R,63,Walk,6,4,180401_013336,b0714478-8716-45fa-8355-22b802332d10,2,1,2,B,Ball,SL,14,2.0,3.76,1.84,88.1,82.5,36.27,-0.55,50.0,5.58,1.05,-0.55,-1.14,3.09,4.43,-127.95,-10.28,-1.91,22.48,-26.98,2.4,7.2,24.0,,197,,,,592518,,,0,0,6,bottom
