Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-10,529572,9,543901,R,641313,R,81,Double,5,1,180410_213400,d5cd07f4-3c68-46f4-b69a-13c187adcdbd,0,1,0,C,Called Strike,SI,5,2.0,3.28,1.39,88.6,80.0,29.25,-1.54,50.0,5.19,0.04,2.41,-12.55,1.55,8.1,-128.49,-1.15,-20.69,30.06,-29.62,32.4,8.4,24.0,1888,262,,,,,641313,,0,0,5,bottom
2018-04-10,529572,9,543901,R,641313,R,81,Double,5,2,180410_213413,d0fd07c2-a83e-4f1e-9c5a-0373d2b73604,0,1,0,B,Ball,CU,14,2.0,3.29,1.39,76.0,69.2,50.87,-1.56,50.0,5.22,1.29,1.17,9.17,-4.48,3.59,-110.43,-0.06,11.1,23.28,-37.6,16.8,13.2,24.0,2192,66,,,,,641313,,0,0,5,bottom
2018-04-10,529572,9,543901,R,641313,R,81,Double,5,3,180410_213433,734b6992-68af-4092-b067-ec7972ba2989,1,2,0,F,Foul,CU,6,2.0,2.96,1.2,75.0,67.8,15.18,-1.76,50.0,5.46,0.28,2.21,10.39,-8.54,1.47,-108.73,3.01,12.13,23.46,-42.14,16.8,15.6,24.0,2370,54,,,,,641313,,0,0,5,bottom
2018-04-10,529572,9,543901,R,641313,R,81,Double,5,4,180410_213451,bb801c85-842e-4b7c-9c1c-65c363312d31,1,2,0,B,Ball,CU,14,2.0,3.24,1.38,77.7,71.2,3.82,-1.28,50.0,5.19,2.52,0.63,9.7,-6.76,5.64,-112.74,-0.88,12.28,23.65,-40.74,18.0,13.2,24.0,2675,58,,,,,641313,,0,0,5,bottom
2018-04-10,529572,9,543901,R,641313,R,81,Double,5,5,180410_213514,69cca94e-f4ff-4a16-981a-0e932be35af9,2,2,0,D,In play- no out,SI,8,2.0,2.96,1.2,88.9,81.7,16.77,-1.5,50.0,5.07,-0.05,1.61,-10.75,0.19,7.27,-129.13,-2.58,-18.19,26.27,-31.86,27.6,8.4,24.0,1970,269,,,,,641313,,0,0,5,bottom
2018-04-10,529572,9,543901,R,570560,L,82,Sac Fly,4,1,180410_213621,846d71b5-8014-4cb4-b59f-067127c57215,0,0,0,B,Ball,CU,11,2.0,3.49,1.69,73.4,66.9,51.31,-2.05,50.0,5.57,-1.64,2.63,9.43,-7.83,-1.69,-106.42,3.67,10.68,20.37,-41.05,14.4,14.4,24.0,2046,52,,641313,,,,,1,1,5,bottom
2018-04-10,529572,9,543901,R,570560,L,82,Sac Fly,4,2,180410_213657,7c190dca-9113-449c-b2c4-c51897d34775,1,0,0,B,Ball,SI,11,2.0,3.59,1.63,89.5,81.8,11.86,-1.79,50.0,5.21,-1.5,2.94,-11.14,-0.5,4.48,-130.09,0.6,-19.08,27.5,-33.02,28.8,8.4,24.0,1885,271,,641313,,,,,1,1,5,bottom
2018-04-10,529572,9,543901,R,570560,L,82,Sac Fly,4,3,180410_213739,4e626c3a-e1cc-4bbb-8fd1-3a9b1c274f3c,2,0,0,S,Swinging Strike,SI,11,2.0,3.1,1.35,89.4,82.1,54.45,-1.81,50.0,5.15,-0.87,2.51,-11.2,0.94,6.17,-129.92,-0.83,-19.22,26.15,-30.56,30.0,8.4,24.0,1861,264,,641313,,,,,1,1,5,bottom
2018-04-10,529572,9,543901,R,570560,L,82,Sac Fly,4,4,180410_213809,192bcf4e-d1ae-4dfa-aafc-73c5c951d5b6,2,1,0,E,In play- run(s),CU,11,2.0,3.1,1.35,76.3,70.1,39.08,-2.0,50.0,5.42,-0.91,2.51,9.46,-7.23,-0.31,-110.74,3.07,11.71,20.32,-41.12,15.6,14.4,24.0,2165,55,,641313,,,,,1,1,5,bottom
2018-04-10,529572,9,543901,R,544725,L,83,Field Error,1,1,180410_213849,1e05b378-5092-4bb1-9088-34d7ba775738,0,0,1,D,In play- no out,SI,7,2.0,3.12,1.33,89.0,81.4,57.07,-1.62,50.0,5.07,-0.54,1.6,-11.66,1.62,6.61,-129.16,-3.09,-19.67,27.24,-29.44,31.2,8.4,24.0,1959,262,,,,544725,,,0,0,4,bottom
2018-04-10,529572,9,543901,R,660162,L,84,Walk,6,1,180410_213930,a503a2f8-fbbb-46a6-aaf7-f351fbaa445b,0,1,1,C,Called Strike,SI,4,2.0,3.48,1.59,89.9,82.0,44.27,-1.8,50.0,5.09,-0.44,2.68,-10.82,1.42,7.12,-130.45,-0.45,-18.62,27.72,-29.73,30.0,8.4,24.0,1864,261,544725,,,660162,544725,,0,0,4,bottom
2018-04-10,529572,9,543901,R,660162,L,84,Walk,6,2,180410_213948,bdd1c28b-ac59-4ddf-a043-7b90920da1f4,0,1,1,B,Ball,SI,13,2.0,3.44,1.59,89.8,82.2,26.23,-2.03,50.0,5.05,-1.74,2.14,-11.07,2.96,4.45,-130.48,-2.25,-19.09,27.39,-27.07,33.6,7.2,24.0,1851,254,544725,,,660162,544725,,0,0,4,bottom
2018-04-10,529572,9,543901,R,660162,L,84,Walk,6,3,180410_214009,ef869445-cd68-4db6-8e96-8d223457ad00,1,1,1,B,Ball,CU,11,2.0,3.4,1.58,77.1,69.8,51.17,-2.09,50.0,5.43,-1.25,3.55,10.26,-5.28,-1.09,-111.74,4.71,12.8,22.69,-38.75,18.0,13.2,24.0,2154,67,544725,,,660162,544725,,0,0,4,bottom
2018-04-10,529572,9,543901,R,660162,L,84,Walk,6,4,180410_214027,4e9fabc4-ae15-46d1-b6f6-9124540b4f61,2,1,1,B,Ball,SI,13,2.0,3.45,1.58,88.8,80.8,15.24,-1.93,50.0,5.09,-1.69,2.01,-11.71,1.12,4.47,-129.06,-1.85,-19.59,28.94,-30.3,31.2,8.4,24.0,1951,264,544725,,,660162,544725,,0,0,4,bottom
2018-04-10,529572,9,543901,R,660162,L,84,Walk,6,5,180410_214048,fc7a2b61-929b-42dc-ba6a-2df877cc3a53,3,2,1,F,Foul,SI,4,2.0,3.5,1.41,89.8,81.7,33.23,-1.75,50.0,5.07,-0.31,2.26,-12.23,1.75,7.75,-130.26,-1.53,-20.93,28.4,-29.18,33.6,8.4,24.0,1842,261,544725,,,660162,544725,,0,0,4,bottom
2018-04-10,529572,9,543901,R,660162,L,84,Walk,6,6,180410_214114,8f3d16b9-1531-40fe-91ec-e13e76786825,3,2,1,B,Ball,SI,11,2.0,3.36,1.58,90.3,82.5,25.27,-1.96,50.0,5.15,-1.55,2.79,-10.84,-0.64,4.71,-131.14,0.32,-18.85,28.14,-33.3,28.8,8.4,24.0,1970,272,544725,,,660162,544725,,0,0,4,bottom
2018-07-04,530707,3,543901,R,518618,L,20,Flyout,2,1,180704_180223,d9752650-ea8f-4095-893c-6a4ab39502f2,0,0,0,B,Ball,SI,13,2.0,3.42,1.68,88.2,80.5,46.32,-1.75,50.0,5.09,-0.57,1.0,-11.7,0.7,6.78,-128.01,-4.16,-19.27,28.13,-31.02,28.8,9.6,24.0,1995,268,,,,,,,0,1,0,bottom
2018-07-04,530707,3,543901,R,518618,L,20,Flyout,2,2,180704_180245,1b29c13c-6fa8-460b-a032-af6f785c40c0,1,0,0,X,In play- out(s),SI,4,2.0,3.19,1.37,88.2,80.2,36.89,-1.7,50.0,5.3,-0.41,2.47,-11.42,0.93,6.98,-128.06,-1.05,-18.83,28.22,-30.64,28.8,8.4,24.0,1997,264,,,,,,,0,1,0,bottom
2018-07-04,530707,3,543901,R,605119,R,21,Strikeout,3,1,180704_180315,5f3dfc3a-3000-4565-b099-1c0a39923e1e,0,1,1,C,Called Strike,SI,4,2.0,3.38,1.6,88.8,80.6,37.61,-1.75,50.0,5.22,-0.28,2.42,-11.07,-1.07,7.37,-128.86,-0.38,-18.45,29.13,-33.96,26.4,9.6,24.0,1980,275,,,,,,,0,1,0,bottom
2018-07-04,530707,3,543901,R,605119,R,21,Strikeout,3,2,180704_180328,cb8e55f9-9215-4028-8074-94dee0d9a1e4,0,2,1,C,Called Strike,SI,8,2.0,3.32,1.62,89.8,81.5,30.92,-1.79,50.0,5.14,-0.03,1.93,-11.72,0.87,8.4,-130.23,-2.24,-19.96,29.42,-30.69,30.0,8.4,24.0,1995,265,,,,,,,0,1,0,bottom
2018-07-04,530707,3,543901,R,605119,R,21,Strikeout,3,3,180704_180342,aae58312-b48f-48c9-8b15-9f1df95f43cf,0,3,1,C,Called Strike,SI,6,2.0,3.36,1.7,89.9,81.7,42.17,-1.57,50.0,5.17,0.58,2.38,-11.65,0.45,9.38,-130.34,-1.04,-19.91,29.04,-31.41,30.0,8.4,24.0,1933,267,,,,,,,0,1,0,bottom
2018-07-04,530707,3,543901,R,571506,L,22,Walk,5,1,180704_180417,ddd270e2-cc85-4078-a0dd-3e2ca705d48e,0,0,2,B,Ball,SI,13,2.0,3.7,1.81,90.1,81.9,70.93,-1.81,50.0,5.15,-1.1,1.89,-11.63,1.45,5.7,-130.83,-2.61,-19.97,29.95,-29.69,31.2,8.4,24.0,2042,263,,,,571506,,,0,0,0,bottom
2018-07-04,530707,3,543901,R,571506,L,22,Walk,5,2,180704_180435,5b23b479-3001-4793-a3d0-55a9816f0002,1,1,2,F,Foul,SI,13,2.0,3.54,1.55,89.8,81.5,49.59,-1.96,50.0,5.26,-1.12,2.44,-11.11,0.87,5.87,-130.27,-1.25,-18.94,29.43,-30.68,30.0,8.4,24.0,1985,265,,,,571506,,,0,0,0,bottom
2018-07-04,530707,3,543901,R,571506,L,22,Walk,5,3,180704_180449,dfe4442c-29df-456a-a3a3-67cb2c878878,1,1,2,B,Ball,SI,13,2.0,3.66,1.88,89.6,82.0,28.86,-1.98,50.0,5.21,-1.88,2.26,-10.45,0.13,3.74,-130.22,-1.36,-17.91,27.76,-31.96,27.6,8.4,24.0,2036,269,,,,571506,,,0,0,0,bottom
2018-07-04,530707,3,543901,R,571506,L,22,Walk,5,4,180704_180503,021bc773-f5f9-436b-865b-7894c42b8d02,2,1,2,B,Ball,SI,1,2.0,3.83,1.76,89.5,81.7,54.89,-1.71,50.0,5.33,-0.58,3.75,-10.58,-0.57,6.43,-129.98,2.42,-18.1,27.16,-33.15,27.6,8.4,24.0,1990,270,,,,571506,,,0,0,0,bottom
2018-07-04,530707,3,543901,R,571506,L,22,Walk,5,5,180704_180522,0ab196a9-497f-4f65-ba38-4707d0ef1c63,3,1,2,B,Ball,SI,11,2.0,3.67,1.86,88.5,80.7,20.35,-1.97,50.0,5.24,-1.64,2.83,-10.15,0.77,4.19,-128.58,-0.02,-16.94,27.49,-30.89,27.6,8.4,24.0,1949,264,,,,571506,,,0,0,0,bottom
2018-07-04,530707,3,543901,R,516770,R,23,Single,3,1,180704_180604,0190c5f4-151b-4e19-9fe8-09e4baae25ea,0,0,2,B,Ball,SI,11,2.0,3.6,1.66,89.2,81.3,61.31,-1.91,50.0,5.25,-1.27,3.03,-10.59,0.51,5.15,-129.58,0.47,-17.93,28.11,-31.31,28.8,8.4,24.0,1982,265,571506,,,516770,571506,,0,0,0,bottom
2018-07-04,530707,3,543901,R,516770,R,23,Single,3,2,180704_180624,e07efbaa-f179-4ff2-a98f-f7ea7e230ecf,1,1,2,C,Called Strike,SI,7,2.0,3.59,1.66,89.1,81.4,45.04,-1.82,50.0,5.13,-0.32,1.79,-10.87,0.73,7.41,-129.3,-2.44,-18.35,27.63,-30.94,27.6,8.4,24.0,1985,266,571506,,,516770,571506,,0,0,0,bottom
2018-07-04,530707,3,543901,R,516770,R,23,Single,3,3,180704_180651,f38e3175-c777-4085-b7bc-ed9304045400,1,1,2,D,In play- no out,SI,5,2.0,3.5,1.49,89.7,81.9,25.16,-1.85,50.0,5.2,-0.05,2.24,-10.94,0.93,8.26,-130.12,-1.64,-18.73,27.55,-30.58,28.8,8.4,24.0,2000,264,571506,,,516770,571506,,0,0,0,bottom
2018-07-04,530707,3,543901,R,595375,L,24,Groundout,2,1,180704_180727,b213ae08-402e-449e-a477-a49e57676b0c,0,1,2,C,Called Strike,SI,9,2.0,3.47,1.73,89.3,81.5,46.94,-1.63,50.0,5.17,0.35,2.17,-12.2,0.79,9.1,-129.46,-1.63,-20.67,27.54,-30.84,31.2,8.4,24.0,1977,266,516770,571506,,,,,0,1,0,bottom
2018-07-04,530707,3,543901,R,595375,L,24,Groundout,2,2,180704_180752,717d3765-3561-4a15-82f6-f3fa7fd04912,0,1,2,X,In play- out(s),SI,7,2.0,3.67,1.44,88.9,81.1,52.72,-1.93,50.0,5.1,-0.66,1.87,-11.64,0.55,7.06,-128.97,-2.07,-19.54,27.72,-31.25,30.0,8.4,24.0,1982,267,516770,571506,,,,,0,1,0,bottom
2018-07-04,530707,4,543901,R,543776,L,28,Groundout,2,1,180704_181647,64a5d2c6-3765-4b0e-a4ea-a51c599aa4d6,0,1,0,C,Called Strike,SI,13,2.0,3.15,1.54,88.6,80.8,59.34,-1.76,50.0,5.24,-0.93,2.2,-11.33,0.97,5.84,-128.54,-1.69,-18.9,27.5,-30.55,30.0,8.4,24.0,2060,264,,,,,,,0,1,0,bottom
2018-07-04,530707,4,543901,R,543776,L,28,Groundout,2,2,180704_181706,6bc18543-a585-486d-936d-17911508ae2f,0,1,0,X,In play- out(s),CU,8,2.0,3.11,1.31,75.8,69.0,22.16,-2.0,50.0,5.4,-0.06,1.34,9.63,-7.91,1.51,-109.99,0.93,11.58,23.01,-41.68,15.6,14.4,24.0,2440,53,,,,,,,0,1,0,bottom
2018-07-04,530707,4,543901,R,592680,R,29,Lineout,1,1,180704_181741,762c4f2f-8684-490a-adad-91e63e713e90,0,0,1,X,In play- out(s),SI,11,2.0,3.52,1.52,88.5,80.6,57.23,-1.84,50.0,5.17,-1.03,2.61,-11.04,1.0,5.68,-128.43,-0.47,-18.35,27.68,-30.51,28.8,8.4,24.0,2081,263,,,,,,,0,1,0,bottom
2018-07-04,530707,4,543901,R,592407,R,30,Flyout,2,1,180704_181818,cf2765f9-68e5-42da-a39e-7bdc7243bffd,0,0,2,B,Ball,SI,11,2.0,3.14,1.48,88.4,80.8,37.13,-1.81,50.0,5.2,-1.29,2.84,-9.67,0.33,4.49,-128.48,0.24,-16.16,26.83,-31.63,25.2,8.4,24.0,2126,266,,,,,,,0,1,0,bottom
2018-07-04,530707,4,543901,R,592407,R,30,Flyout,2,2,180704_181837,1532dea4-03fb-4efa-8e2e-82390bc98552,1,0,2,X,In play- out(s),SI,5,2.0,3.16,1.36,89.1,81.4,28.04,-1.64,50.0,5.16,0.21,2.35,-10.34,1.08,8.13,-129.27,-1.23,-17.49,27.06,-30.35,27.6,8.4,24.0,2135,263,,,,,,,0,1,0,bottom
2018-07-04,530707,5,543901,R,500743,R,36,Flyout,2,1,180704_183018,dad70c30-bb19-4a76-b50e-762d97e78d83,0,1,0,C,Called Strike,SI,1,2.0,3.47,1.74,88.1,80.7,47.18,-1.84,50.0,5.34,-0.35,3.04,-9.57,-1.57,6.89,-127.92,1.06,-15.89,25.86,-34.79,22.8,9.6,24.0,1878,278,,,,,,,0,1,0,bottom
