Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-14,490668,8,592773,R,455759,R,69,Lineout,5,1,170514_212209,31007687-9d37-407c-a39b-55bc5e2ec680,0,0,1,B,Ball,FF,12,2.0,3.86,1.88,99.6,90.1,62.62,-1.05,50.0,6.51,0.79,4.15,-5.25,11.95,7.16,-144.53,-5.47,-11.02,36.13,-7.09,48.0,2.4,24.0,2289,202,434670,,,434670,,,0,1,2,bottom
2017-05-14,490668,8,592773,R,455759,R,69,Lineout,5,2,170514_212228,52226a75-e81e-4646-a628-f04bece4bf53,1,0,1,B,Ball,FF,14,2.0,3.72,1.84,99.4,90.4,55.98,-0.93,50.0,6.41,0.51,1.49,-5.87,12.49,6.26,-143.84,-12.87,-12.26,34.43,-6.09,49.2,2.4,24.0,2443,206,434670,,,434670,,,0,1,2,bottom
2017-05-14,490668,8,592773,R,455759,R,69,Lineout,5,3,170514_212251,519473c7-7546-41f8-bac6-dcace33a7e2e,2,0,1,B,Ball,FF,11,2.0,3.73,1.91,99.7,90.8,25.16,-1.2,50.0,6.66,-1.39,4.11,-5.71,12.6,1.57,-144.75,-6.33,-12.11,34.04,-5.47,58.8,2.4,24.0,2383,206,434670,,,434670,,,0,1,2,bottom
2017-05-14,490668,8,592773,R,455759,R,69,Lineout,5,4,170514_212318,04be86ca-3aac-45be-858b-4258f40fbf88,3,1,1,C,Called Strike,FF,13,2.0,3.9,1.87,98.1,90.2,58.5,-1.17,50.0,6.31,-0.81,1.92,-8.38,10.21,4.09,-142.42,-10.38,-17.31,30.83,-11.09,51.6,3.6,24.0,2299,223,434670,,,434670,,,0,1,2,bottom
2017-05-14,490668,8,592773,R,455759,R,69,Lineout,5,5,170514_212348,cd75a94e-dc35-4823-97cd-4b90fffd0f8c,3,1,1,X,In play- out(s),FF,6,2.0,3.84,1.59,99.3,90.6,46.02,-1.11,50.0,6.42,0.65,2.78,-4.85,11.31,6.8,-144.1,-8.87,-10.2,33.59,-8.4,39.6,2.4,24.0,2304,202,434670,,,434670,,,0,1,2,bottom
2017-05-14,490668,8,592773,R,543877,R,70,Single,4,1,170514_212431,f22cecf6-4d03-4ef0-b70e-0e7e1bc43a50,0,0,2,B,Ball,FF,11,2.0,3.38,1.66,99.4,89.5,53.06,-1.15,50.0,6.48,-1.39,3.24,-5.71,11.09,1.42,-144.13,-7.54,-11.86,37.61,-9.16,45.6,3.6,24.0,2386,210,434670,,,543877,434670,,0,0,2,bottom
2017-05-14,490668,8,592773,R,543877,R,70,Single,4,2,170514_212454,7c266825-f588-4e2f-aa88-77706d8a096c,1,1,2,C,Called Strike,FF,5,2.0,3.33,1.65,99.2,88.8,27.28,-1.06,50.0,6.39,-0.13,2.17,-7.76,11.55,5.44,-143.54,-10.32,-15.86,39.48,-8.56,51.6,3.6,24.0,2329,216,434670,,,543877,434670,,0,0,2,bottom
2017-05-14,490668,8,592773,R,543877,R,70,Single,4,3,170514_212522,253b58d7-0b71-4b6f-99c2-55b74e462489,1,1,2,B,Ball,FF,13,2.0,3.5,1.89,99.3,90.1,46.44,-0.91,50.0,6.4,-0.22,1.24,-5.26,11.85,3.87,-143.73,-13.28,-10.94,35.35,-7.54,43.2,2.4,24.0,2368,206,434670,,,543877,434670,,0,0,2,bottom
2017-05-14,490668,8,592773,R,543877,R,70,Single,4,4,170514_212551,d76e0cfb-245e-49fd-a39b-ea6d382c7cb3,2,1,2,D,In play- no out,FF,7,2.0,3.44,1.57,99.9,91.5,43.16,-0.98,50.0,6.38,-0.29,1.64,-6.87,12.23,4.54,-144.71,-12.49,-14.64,32.49,-6.13,56.4,3.6,24.0,2219,211,434670,,,543877,434670,,0,0,2,bottom
2017-05-17,490704,8,592773,R,429665,R,66,Walk,7,1,170517_190559,cf5c76be-1ba1-4fad-b81f-8a76666baaf9,0,0,2,B,Ball,FF,14,2.0,3.54,1.75,99.7,90.7,54.61,-0.53,50.0,6.14,1.86,1.48,-5.48,11.97,8.82,-144.08,-12.01,-11.49,33.95,-7.06,44.4,2.4,24.0,2621,204,,,,429665,,,0,0,3,bottom
