Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490105,8,519301,L,543829,L,55,Groundout,4,1,170403_192137,5fd2b5a0-8d8c-4673-b421-bf1a5ad35ec7,0,1,0,C,Called Strike,SI,13,2.0,3.67,1.61,94.3,86.1,68.31,1.54,50.0,6.06,-0.73,1.85,10.13,11.09,-9.68,-136.84,-9.28,19.19,30.37,-11.17,52.8,4.8,24.0,2445,138,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,543829,L,55,Groundout,4,2,170403_192149,2db9b184-91f7-43d2-9bf2-23ffae3068e2,0,1,0,B,Ball,KC,13,2.0,3.65,1.73,79.7,73.9,32.6,1.74,50.0,6.14,-1.65,1.08,-2.74,-3.88,-6.95,-115.91,-3.37,-3.72,22.29,-37.44,7.2,12.0,24.0,2645,318,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,543829,L,55,Groundout,4,3,170403_192202,06decefd-bd7f-4539-9ff9-d3af95958c5c,1,2,0,F,Foul,SI,2,2.0,3.67,1.4,94.7,86.9,36.19,1.52,50.0,6.14,-0.06,3.15,8.95,6.41,-7.5,-137.89,-4.5,17.27,29.99,-19.81,37.2,6.0,24.0,2445,126,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,543829,L,55,Groundout,4,4,170403_192220,714d815c-072d-4c12-b2c9-83dafc21659e,1,2,0,X,In play- out(s),KC,13,2.0,3.67,1.4,80.9,75.0,61.3,1.82,50.0,6.05,-0.84,2.08,-3.35,-3.01,-5.18,-117.73,-1.41,-4.71,21.79,-36.41,8.4,10.8,24.0,2600,306,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,592663,R,56,Lineout,2,1,170403_192302,90f790d8-734b-4dcf-9096-348e59b57f1e,0,1,1,C,Called Strike,SI,8,2.0,4.03,1.86,95.0,86.2,53.91,1.99,50.0,5.92,0.18,1.9,7.09,11.83,-7.41,-137.89,-9.15,13.55,32.79,-9.57,45.6,3.6,24.0,2436,150,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,592663,R,56,Lineout,2,2,170403_192316,ec88b999-dfe4-4ac6-9c1f-426adcc1f0ab,0,1,1,X,In play- out(s),CH,14,2.0,3.67,1.4,87.2,80.2,50.23,2.0,50.0,6.01,0.87,2.48,8.36,5.71,-5.56,-126.94,-4.31,13.68,25.31,-22.84,27.6,7.2,24.0,1719,124,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,592885,L,57,Groundout,2,1,170403_192351,ca807d8f-2102-4361-a0b6-8026de1b8da2,0,1,2,C,Called Strike,SI,2,2.0,3.69,1.88,94.4,85.8,46.97,1.54,50.0,6.21,-0.17,3.17,10.01,7.72,-8.13,-137.18,-4.98,18.95,32.19,-17.55,42.0,6.0,24.0,2418,128,,,,,,,0,1,1,top
2017-04-03,490105,8,519301,L,592885,L,57,Groundout,2,2,170403_192408,49f50793-c8d5-4e95-8ca2-64761c5c4b60,0,1,2,X,In play- out(s),SI,6,2.0,4.0,1.61,94.0,85.3,38.68,1.57,50.0,6.12,0.31,2.53,6.58,12.29,-5.69,-136.68,-7.96,12.34,32.66,-9.14,44.4,3.6,24.0,2382,152,,,,,,,0,1,1,top
2017-04-06,490141,9,519301,L,588751,R,67,Walk,6,1,170407_010548,5d36b90e-db0b-49f7-bca0-1c69dd6637fc,0,0,0,B,Ball,SI,11,2.0,3.96,1.97,95.7,87.5,81.36,1.58,50.0,6.21,-0.96,3.4,7.93,11.65,-9.81,-139.03,-6.0,15.55,30.5,-9.32,51.6,3.6,24.0,2311,148,,,,588751,,,0,0,1,top
2017-04-06,490141,9,519301,L,588751,R,67,Walk,6,2,170407_010600,c2abc1d9-d84c-4857-8271-d02da915cc99,1,1,0,C,Called Strike,SI,11,2.0,3.73,1.79,96.2,88.2,57.18,1.5,50.0,6.17,-0.86,2.51,9.56,11.39,-9.93,-139.62,-8.35,18.96,30.06,-9.58,56.4,3.6,24.0,2375,141,,,,588751,,,0,0,1,top
