Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,1,190330_040643,3a02c0c3-186b-401f-a287-67fe17c92e59,0,0,1,S,Called Strike,SI,12,2.0,3.32,1.57,92.3,85.4,,1.15,50.0,5.69,0.45,3.5,7.88,3.27,-4.61,-134.44,-0.94,14.6,25.83,-26.13,27.6,6.0,24.0,2255,114,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,2,190330_040701,6dfea11f-50b3-4065-ba06-9f04f771dc26,0,1,1,B,Ball,SI,13,2.0,3.51,1.78,92.7,86.1,,1.02,50.0,5.43,-0.18,1.04,8.24,2.13,-6.07,-134.79,-6.49,15.35,25.73,-28.21,26.4,7.2,24.0,2110,101,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,3,190330_040729,1c4a3f1f-af7f-4072-b358-7297723e0c3b,1,1,1,S,Foul,SI,9,2.0,3.51,1.66,93.2,86.1,,1.1,50.0,5.56,0.32,1.88,9.6,3.93,-5.44,-135.62,-5.28,18.02,27.51,-24.8,33.6,7.2,24.0,2316,111,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,4,190330_040758,64dcd1e2-8fd0-476a-903b-3cded82940f1,1,2,1,B,Ball,SL,13,2.0,3.41,1.63,84.5,78.8,,0.97,50.0,5.6,-1.61,1.15,-0.85,-1.05,-6.03,-122.95,-3.94,-1.32,21.82,-33.8,3.6,9.6,24.0,2173,311,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,5,190330_040818,78be3426-cbae-4dfb-b6e5-cff53a1a385e,2,1,1,S,Foul,SI,6,2.0,3.41,1.72,93.5,86.5,,1.06,50.0,5.64,0.3,2.36,8.64,4.18,-5.1,-136.12,-4.37,16.39,26.85,-24.24,31.2,6.0,24.0,2293,115,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,6,190330_040850,50cb9ced-4b09-4365-93b1-be9ca94d76b2,2,2,1,B,Ball,SI,13,2.0,3.41,1.73,93.4,86.7,,0.94,50.0,5.42,-1.61,1.7,9.69,2.73,-10.28,-135.65,-5.02,18.33,25.48,-27.01,31.2,7.2,24.0,2172,105,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,7,190330_040911,131f5192-8e6c-4ce5-bd95-3be145e3b109,3,1,1,S,Foul,SI,8,2.0,3.5,1.56,93.1,86.2,,0.9,50.0,5.54,-0.21,2.12,8.21,3.82,-5.85,-135.41,-4.56,15.42,26.26,-24.99,28.8,6.0,24.0,2113,114,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,8,190330_040939,e3f62afa-254f-470c-9aa4-7f224a910904,3,1,1,S,Foul,SI,13,2.0,3.41,1.57,93.0,85.8,,1.0,50.0,5.49,-0.08,1.43,9.46,2.35,-6.19,-135.34,-5.65,17.64,28.27,-27.8,30.0,7.2,24.0,2285,101,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,444482,L,43,Strikeout,9,9,190330_041010,6b70fbf2-45e4-47e6-897a-8167816543bb,3,2,1,S,Called Strike,SI,7,2.0,3.45,1.73,93.1,86.5,,0.98,50.0,5.48,-0.44,1.65,8.59,3.74,-6.84,-135.44,-5.63,16.19,25.52,-25.13,30.0,6.0,24.0,2254,112,,,,,,,0,1,3,top
2019-08-14,565800,6,518397,L,430945,R,44,Groundout,3,1,190330_041049,d344a544-f1e3-4fe1-a18e-c245f8b82b54,0,0,2,S,Called Strike,SI,5,2.0,3.65,1.91,93.6,86.2,,0.87,50.0,5.65,-0.11,2.26,8.55,4.09,-5.64,-136.13,-4.6,16.13,28.21,-24.45,31.2,6.0,24.0,2330,115,,,,,,,0,1,3,top
