Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-02,567527,1,640455,L,518934,R,3,Flyout,6,1,190901_171756,1bdc5d8c-c5b2-4656-aa53-09bfbb948f31,0,0,0,B,Ball,FF,12,,3.48,1.67,91.7,83.4,,4.13,50.0,5.1,1.47,2.94,8.54,8.17,-9.89,-133.18,-2.33,15.3,29.45,-17.55,36.0,4.8,24.0,2099,137,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,518934,R,3,Flyout,6,2,190901_171810,329e0516-da16-4516-91b8-2faeea413d17,1,0,0,S,Foul,FF,3,,3.35,1.62,91.2,83.7,,4.11,50.0,5.1,0.47,3.1,8.71,7.86,-12.51,-132.31,-1.79,15.56,26.32,-18.13,34.8,4.8,24.0,1990,136,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,518934,R,3,Flyout,6,3,190901_171837,b214740b-2a2d-4e90-9871-0a8eabb91337,1,1,0,S,Foul,CH,12,,3.35,1.62,82.1,76.0,,3.65,50.0,5.69,0.79,2.97,8.63,2.03,-9.42,-119.23,-0.26,12.58,20.19,-29.21,20.4,8.4,24.0,1563,105,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,518934,R,3,Flyout,6,4,190901_171858,edfd2584-7c4e-4820-9ae5-67c90e4eb217,1,2,0,B,Ball,FF,12,,3.43,1.61,94.4,86.2,,4.01,50.0,5.22,2.05,4.09,7.94,5.52,-8.11,-137.3,0.92,15.17,30.2,-21.63,32.4,4.8,24.0,1950,129,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,518934,R,3,Flyout,6,5,190901_171915,70bc6307-3e0c-4994-bbb5-4fe761cafb7d,2,2,0,B,Ball,FF,14,,3.41,1.76,92.4,84.8,,4.01,50.0,4.97,0.14,1.53,8.98,6.47,-13.34,-133.83,-5.26,16.37,27.4,-20.38,32.4,6.0,24.0,1951,128,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,518934,R,3,Flyout,6,6,190901_171940,bacda9ef-74cb-4cd5-aab4-ab9831ceef76,3,2,0,X,In play- out(s),FF,2,,3.35,1.62,91.9,84.2,,3.99,50.0,5.11,-0.18,2.8,7.99,6.14,-13.72,-133.19,-2.07,14.41,27.44,-21.1,28.8,6.0,24.0,1904,133,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,592450,R,4,Flyout,4,1,190901_172014,fc2de20e-21ad-4f46-a0fe-6e514871178b,0,0,1,S,Swinging Strike,FF,12,,3.95,1.9,91.9,83.2,,4.01,50.0,5.2,1.24,3.24,8.26,8.18,-10.09,-133.47,-1.8,14.77,31.05,-17.54,34.8,4.8,24.0,2048,139,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,592450,R,4,Flyout,4,2,190901_172030,16d04eaf-7d62-4369-80e9-f71bed2c84c4,0,1,1,S,Called Strike,FF,6,,4.03,2.03,92.6,84.2,,3.99,50.0,5.11,0.69,2.78,8.04,7.45,-11.52,-134.45,-2.66,14.64,30.44,-18.6,32.4,4.8,24.0,2038,137,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,592450,R,4,Flyout,4,3,190901_172045,6e2e8484-a6e3-44c3-901c-59731808b641,0,2,1,B,Ball,FF,12,,4.03,1.9,93.3,84.2,,3.99,50.0,5.2,1.25,3.79,9.16,6.17,-10.45,-135.54,0.15,16.84,32.87,-20.84,34.8,6.0,24.0,2070,129,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,592450,R,4,Flyout,4,4,190901_172108,e2963fe4-8f71-4e1b-b7fa-1e525cd8345a,1,2,1,X,In play- out(s),CH,8,,3.95,1.9,83.7,76.7,,3.8,50.0,5.56,0.12,2.29,10.27,2.04,-12.02,-121.3,-1.74,15.32,23.48,-29.13,24.0,8.4,24.0,1525,102,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,650402,R,5,Pop Out,2,1,190901_172139,7ab0a68f-d61d-4d6e-a8b2-d47f097ee4fd,0,0,2,B,Ball,FF,12,,3.28,1.63,93.0,84.6,,4.04,50.0,5.09,1.78,3.57,8.28,7.64,-8.89,-135.22,-0.67,15.28,30.35,-18.08,36.0,4.8,24.0,2007,136,,,,,,,0,1,0,bottom
2019-09-02,567527,1,640455,L,650402,R,5,Pop Out,2,2,190901_172153,d147feaf-a1dd-492f-86bb-2c811c8adaef,1,0,2,X,In play- out(s),SL,2,,3.21,1.52,81.5,74.7,,3.91,50.0,5.39,0.23,2.71,1.15,1.63,-8.94,-118.27,0.15,1.62,22.82,-29.87,0.0,8.4,24.0,1994,182,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,596142,R,10,Strikeout,5,1,190901_173505,015a28ea-4635-4053-a908-c2aa49732f1f,0,0,0,S,Called Strike,FF,9,,3.2,1.5,90.8,82.4,,3.9,50.0,5.13,0.43,1.95,10.1,7.34,-12.38,-131.67,-4.49,17.59,29.89,-19.38,36.0,6.0,24.0,2039,129,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,596142,R,10,Strikeout,5,2,190901_173520,c67accc5-1f1e-4eb3-b80d-602db712f827,0,1,0,B,Ball,FF,11,,3.3,1.64,90.7,82.1,,3.87,50.0,5.17,-0.75,2.55,10.51,6.37,-15.43,-131.26,-2.68,18.19,29.86,-21.15,33.6,6.0,24.0,2024,125,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,596142,R,10,Strikeout,5,3,190901_173537,7d7df5be-2ba9-4742-8575-e41c05224bfd,1,1,0,B,Ball,FF,12,,3.3,1.58,91.6,83.1,,3.97,50.0,5.23,1.17,3.61,6.35,7.53,-9.5,-133.1,-0.69,11.31,30.38,-18.75,26.4,4.8,24.0,2017,145,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,596142,R,10,Strikeout,5,4,190901_173552,b0f981de-0b3c-4de0-a91f-0ea7b0d4aafe,2,1,0,S,Called Strike,FF,12,,3.38,1.63,92.5,84.2,,3.95,50.0,5.17,0.89,3.21,8.23,7.83,-10.93,-134.26,-1.81,14.99,29.78,-17.91,34.8,4.8,24.0,2008,138,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,596142,R,10,Strikeout,5,5,190901_173630,88d6d12e-6a31-4702-a076-67d9ce63daae,2,2,0,S,Called Strike,FF,9,,3.3,1.61,92.4,83.9,,3.83,50.0,5.01,0.36,1.65,9.37,6.79,-12.35,-134.03,-5.11,16.93,30.9,-19.91,33.6,6.0,24.0,2077,128,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,544369,L,11,Strikeout,6,1,190901_173702,3ecb77eb-7491-4dc5-a66d-2bd07399e268,0,0,1,S,Called Strike,FF,5,,3.22,1.65,92.2,83.8,,3.94,50.0,5.11,0.09,2.28,7.55,7.46,-12.72,-133.64,-3.89,13.58,30.25,-18.76,28.8,4.8,24.0,2098,140,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,544369,L,11,Strikeout,6,2,190901_173719,d9d36786-f23e-42b7-9630-593d627de4e7,0,1,1,B,Ball,SL,13,,3.36,1.65,81.8,73.5,,3.8,50.0,5.17,-1.36,0.33,2.39,1.04,-12.61,-118.13,-4.49,3.28,28.6,-30.75,1.2,9.6,24.0,,160,,,,,,,0,1,0,bottom
2019-09-02,567527,2,640455,L,544369,L,11,Strikeout,6,3,190901_173738,25b1b59d-7315-48fd-9369-a26972e1611f,1,1,1,S,Swinging Strike,FF,11,,3.36,1.65,91.2,83.1,,3.8,50.0,5.26,-0.29,3.6,8.62,8.1,-13.58,-132.16,-0.92,15.26,27.98,-17.85,34.8,4.8,24.0,1943,139,,,,,,,0,1,0,bottom
