Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529415,8,493200,R,543305,L,56,Single,2,1,180329_222834,78190da5-1d9f-48e8-9d1d-7ae9b5ee8dc1,0,0,0,S,Called Strike,FF,13,2.0,3.28,1.54,90.8,83.0,64.23,-2.69,50.0,5.27,-1.22,2.08,-5.14,9.84,5.55,-131.94,-5.48,-9.07,27.83,-14.82,26.4,3.6,24.0,2104,205,,,,543305,,,0,0,-5,top
2018-03-29,529415,8,493200,R,543305,L,56,Single,2,2,180329_222850,987d3b3a-835e-47e2-8e01-9e6445f7cd1c,0,1,0,X,In play- no out,CU,8,2.0,3.27,1.39,74.0,68.1,12.0,-2.47,50.0,5.78,-0.03,1.9,3.94,-7.22,4.07,-107.37,1.38,4.58,19.68,-40.55,7.2,14.4,24.0,2617,34,,,,543305,,,0,0,-5,top
2018-03-29,529415,8,493200,R,544369,L,57,Flyout,2,1,180329_222942,695eed00-0370-4565-994c-7318aa158b3a,0,0,0,S,Swinging Strike,CH,13,2.0,3.18,1.38,82.0,74.9,67.15,-2.21,50.0,5.37,-0.43,1.12,-11.33,6.46,7.62,-118.99,-5.08,-16.17,23.83,-22.96,31.2,8.4,24.0,1757,239,543305,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,544369,L,57,Flyout,2,2,180329_223013,467b6029-4f0f-43bf-a751-81368a3df6c6,0,1,0,X,In play- out(s),FF,9,2.0,3.18,1.38,89.8,81.7,36.85,-2.12,50.0,5.37,0.37,1.84,-5.23,11.09,8.15,-130.25,-6.49,-8.95,28.4,-13.2,26.4,3.6,24.0,2045,201,543305,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,592273,R,58,Strikeout,5,1,180329_223052,54885abf-84ff-4ee3-8f3d-9a99182f13f7,0,0,1,B,Ball,CU,12,2.0,3.49,1.71,75.0,69.2,89.01,-2.09,50.0,5.9,0.55,3.71,1.15,-4.88,5.37,-108.78,4.11,1.38,17.92,-38.06,3.6,12.0,24.0,2433,24,,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,592273,R,58,Strikeout,5,2,180329_223114,473ba70f-85de-4362-8734-6a175a9a5c05,1,0,1,S,Foul Tip,FF,2,2.0,3.49,1.47,90.7,83.2,18.94,-2.38,50.0,5.3,0.01,2.95,-4.11,10.97,7.63,-131.79,-3.69,-7.27,26.38,-12.76,22.8,3.6,24.0,2212,196,,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,592273,R,58,Strikeout,5,3,180329_223140,3a2841b9-2efc-48cc-bf8b-bd8c5b98a7b2,1,1,1,B,Ball,FF,12,2.0,3.7,1.68,91.8,84.0,30.07,-1.97,50.0,5.59,1.35,3.64,-3.0,10.78,9.75,-133.2,-2.73,-5.4,27.75,-12.74,14.4,3.6,24.0,2231,189,,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,592273,R,58,Strikeout,5,4,180329_223202,503b6498-a7a0-4f09-a54f-95fb6e9690c3,2,1,1,S,Swinging Strike,FC,14,2.0,3.49,1.47,84.2,78.1,61.38,-2.43,50.0,5.18,1.04,1.53,0.51,3.42,8.25,-122.27,-3.28,0.78,21.82,-26.95,4.8,7.2,24.0,2198,155,,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,592273,R,58,Strikeout,5,5,180329_223228,a1f6c6b7-bc25-4949-afda-f1d90b5055df,2,2,1,S,Swinging Strike,FC,14,2.0,3.49,1.47,82.1,76.2,28.23,-2.44,50.0,5.14,1.55,1.45,0.58,3.9,9.24,-119.26,-3.11,0.84,20.95,-26.51,4.8,7.2,24.0,2176,155,,,,,,,0,1,-5,top
2018-03-29,529415,8,493200,R,435522,L,59,Field Error,2,1,180329_223301,2dfff85a-113b-432a-864d-b6ea7139b401,0,0,2,S,Called Strike,FF,9,2.0,3.47,1.52,91.9,84.5,48.85,-2.3,50.0,5.27,0.28,1.96,-3.16,10.71,7.89,-133.48,-6.33,-5.75,26.74,-12.72,16.8,3.6,24.0,2192,192,,,,435522,543305,,0,0,-5,top
