Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-09-03,492142,9,623406,R,592387,R,74,Flyout,5,1,170903_232408,bdefb707-0a88-4cdd-97b2-2717bcdb8223,0,0,0,B,Ball,FF,1,2.0,3.69,1.8,96.6,87.8,65.89,-0.9,50.0,5.68,-0.52,3.44,-2.05,10.74,1.78,-140.2,-4.22,-4.08,32.27,-10.84,16.8,2.4,24.0,2274,190,,,,,,,0,1,8,top
2017-09-03,492142,9,623406,R,592387,R,74,Flyout,5,2,170903_232427,f118ba13-aa30-48b2-a85e-5f3a23b39e9b,1,1,0,C,Called Strike,FF,4,2.0,3.74,1.84,97.1,88.8,46.35,-0.9,50.0,5.4,-0.67,3.02,-4.17,9.31,2.17,-141.14,-4.24,-8.45,31.21,-13.35,28.8,3.6,24.0,2289,205,,,,,,,0,1,8,top
2017-09-03,492142,9,623406,R,592387,R,74,Flyout,5,3,170903_232448,d11266ef-0e67-494d-8a1f-b9931128cbd3,1,1,0,B,Ball,CU,11,2.0,3.55,1.64,81.6,74.5,56.1,-0.97,50.0,5.86,-0.83,3.87,9.38,-1.66,-2.51,-118.46,2.73,13.3,23.03,-34.52,20.4,10.8,24.0,2615,76,,,,,,,0,1,8,top
2017-09-03,492142,9,623406,R,592387,R,74,Flyout,5,4,170903_232510,d27b6790-0fab-4184-873a-e0d8f9d92baa,2,1,0,S,Swinging Strike,FF,11,2.0,3.41,1.5,97.3,89.4,39.33,-0.84,50.0,5.63,-0.13,3.74,-2.84,6.46,3.01,-141.5,-1.89,-5.8,29.9,-18.98,14.4,3.6,24.0,2400,203,,,,,,,0,1,8,top
2017-09-03,492142,9,623406,R,592387,R,74,Flyout,5,5,170903_232551,6d87b72a-04d0-4170-8e71-69f672a2a671,2,2,0,X,In play- out(s),FF,11,2.0,3.41,1.5,97.5,89.5,47.39,-0.85,50.0,5.57,-0.28,3.49,-3.23,6.76,2.78,-141.67,-2.58,-6.61,30.21,-18.35,18.0,3.6,24.0,2363,206,,,,,,,0,1,8,top
2017-09-03,492142,9,623406,R,519295,R,75,Single,5,1,170903_232626,68a233d0-3c53-4a3d-94c9-a3e11603545a,0,1,1,C,Called Strike,FT,4,2.0,3.36,1.55,96.7,88.9,46.08,-0.76,50.0,5.42,-0.38,2.72,-4.39,6.67,2.66,-140.53,-4.15,-8.85,29.33,-18.73,22.8,4.8,24.0,2340,216,,,,519295,,,0,0,8,top
2017-09-03,492142,9,623406,R,519295,R,75,Single,5,2,170903_232648,4ee7cc36-ae91-45a6-8317-5b967f693f64,0,1,1,B,Ball,SL,12,2.0,3.37,1.62,86.6,79.4,46.79,-0.78,50.0,5.7,0.27,3.59,3.58,5.38,1.46,-125.9,-0.54,5.76,24.55,-23.51,14.4,6.0,24.0,2324,140,,,,519295,,,0,0,8,top
2017-09-03,492142,9,623406,R,519295,R,75,Single,5,3,170903_232709,a42d48c5-0718-4e16-b630-698caefae753,1,1,1,B,Ball,FC,14,2.0,3.46,1.64,90.4,83.0,39.83,-0.74,50.0,5.41,1.39,1.69,0.59,4.2,5.32,-131.28,-4.86,1.03,27.3,-24.83,4.8,6.0,24.0,2460,157,,,,519295,,,0,0,8,top
2017-09-03,492142,9,623406,R,519295,R,75,Single,5,4,170903_232736,032a8026-6011-4285-8f38-5db6f2f18c43,2,2,1,C,Called Strike,CU,6,2.0,3.41,1.64,81.2,74.0,36.67,-0.96,50.0,5.56,0.71,2.58,9.59,0.79,0.99,-117.96,-0.22,13.4,24.32,-31.07,24.0,9.6,24.0,2785,88,,,,519295,,,0,0,8,top
2017-09-03,492142,9,623406,R,519295,R,75,Single,5,5,170903_232807,bd0772ff-ad81-4966-b3bd-afaaaf3585f2,2,2,1,D,In play- no out,CU,8,2.0,3.17,1.32,80.2,73.7,19.55,-0.76,50.0,5.78,0.13,1.89,6.0,-2.5,0.26,-116.53,-1.17,8.22,22.51,-35.61,13.2,10.8,24.0,2786,59,,,,519295,,,0,0,8,top
