Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-05,490122,8,542888,R,518960,R,65,Strikeout,6,1,170406_030103,f9e4f9ff-b986-4d49-af10-f587b6886554,0,1,2,C,Called Strike,FT,8,2.0,3.69,1.6,94.7,87.0,49.7,-2.77,50.0,5.3,0.23,1.85,-7.54,9.04,10.85,-137.53,-6.7,-14.53,28.76,-14.76,37.2,4.8,24.0,2320,217,,,,,,,0,1,-2,bottom
2017-04-05,490122,8,542888,R,518960,R,65,Strikeout,6,2,170406_030122,e0348029-7a71-4d89-89e6-285866da7f4c,0,1,2,B,Ball,FC,14,2.0,3.34,1.54,90.1,83.6,20.31,-2.51,50.0,5.28,1.88,-0.72,-0.99,3.67,11.68,-130.49,-10.49,-1.71,26.21,-25.82,1.2,6.0,24.0,,171,,,,,,,0,1,-2,bottom
2017-04-05,490122,8,542888,R,518960,R,65,Strikeout,6,3,170406_030150,10aea772-9cae-4b62-9acd-4d86685ca06f,1,1,2,B,Ball,FF,11,2.0,3.71,1.54,94.7,86.4,32.06,-2.77,50.0,5.63,-1.69,3.48,-2.47,10.24,3.81,-137.94,-3.55,-4.74,31.19,-12.49,16.8,2.4,24.0,2296,191,,,,,,,0,1,-2,bottom
2017-04-05,490122,8,542888,R,518960,R,65,Strikeout,6,4,170406_030214,73acf78a-e15d-4dc1-9ba9-bd5a1eb7eabb,2,2,2,F,Foul,FF,5,2.0,3.33,1.54,93.9,86.0,25.17,-2.71,50.0,5.31,0.02,2.32,-5.64,9.6,9.35,-136.56,-5.47,-10.67,29.48,-14.0,30.0,3.6,24.0,2306,206,,,,,,,0,1,-2,bottom
2017-04-05,490122,8,542888,R,518960,R,65,Strikeout,6,5,170406_030248,f7f50557-b3a7-49a9-9444-55059a2df95e,2,2,2,B,Ball,SL,14,2.0,3.19,1.54,84.7,78.3,40.59,-2.5,50.0,5.67,0.81,1.01,3.14,0.26,7.06,-123.16,-4.81,4.82,24.51,-31.77,10.8,8.4,24.0,2700,87,,,,,,,0,1,-2,bottom
2017-04-05,490122,8,542888,R,518960,R,65,Strikeout,6,6,170406_030324,1a38960f-f5ad-4edd-96f8-35b0f536e4be,3,2,2,S,Swinging Strike,FF,12,2.0,3.37,1.54,95.1,86.7,49.91,-2.57,50.0,5.45,1.16,2.85,-5.24,11.16,12.02,-138.13,-5.15,-10.1,31.6,-10.68,32.4,2.4,24.0,2456,199,,,,,,,0,1,-2,bottom
2017-04-07,490152,7,542888,R,455104,R,64,Pop Out,5,1,170408_042605,aa3ee029-cb6f-4aea-9d22-cc83a941687b,0,0,1,B,Ball,FF,14,2.0,3.56,1.74,94.0,86.2,81.7,-2.38,50.0,5.56,1.24,1.33,-6.07,11.48,11.88,-135.99,-9.41,-11.44,28.18,-10.54,36.0,3.6,24.0,2582,206,571757,,,571757,,,0,1,-4,bottom
2017-04-07,490152,7,542888,R,455104,R,64,Pop Out,5,2,170408_042631,953a8e71-5828-4e0f-8fb1-2b091bbdeae3,1,1,1,F,Foul,FT,6,2.0,3.75,1.53,93.0,85.9,44.0,-2.39,50.0,5.52,0.44,2.88,-5.94,8.08,9.64,-134.45,-3.86,-11.08,23.96,-17.11,27.6,4.8,24.0,2564,218,571757,,,571757,,,0,1,-4,bottom
2017-04-07,490152,7,542888,R,455104,R,64,Pop Out,5,3,170408_042704,d3fcc8da-a093-4cd2-9007-036276a4c6fd,1,1,1,B,Ball,FT,14,2.0,3.64,1.86,93.9,86.4,56.91,-2.47,50.0,5.38,0.97,0.78,-6.9,10.27,11.69,-135.87,-10.0,-12.99,27.56,-12.83,36.0,3.6,24.0,2555,213,571757,,,571757,,,0,1,-4,bottom
2017-04-07,490152,7,542888,R,455104,R,64,Pop Out,5,4,170408_042734,d682b1fb-303d-4ea0-87c1-ba0b8f72f507,2,1,1,X,In play- out(s),FT,4,2.0,3.75,1.53,93.6,85.9,39.85,-2.62,50.0,5.51,-0.3,2.77,-8.77,8.33,9.32,-135.87,-4.3,-16.52,27.7,-16.49,40.8,4.8,24.0,2524,226,571757,,,571757,,,0,1,-4,bottom
2017-04-07,490152,7,542888,R,605113,R,65,Lineout,2,1,170408_042824,8ab32b4a-257f-43cc-9c25-da2ed3a2a2de,0,1,2,T,Foul Tip,FT,14,2.0,3.84,1.59,94.1,86.0,33.11,-2.56,50.0,5.53,0.14,1.09,-7.12,9.48,9.77,-136.27,-9.28,-13.39,29.63,-14.32,34.8,4.8,24.0,2515,217,571757,,,,,,0,1,-4,bottom
2017-04-07,490152,7,542888,R,605113,R,65,Lineout,2,2,170408_042851,c8a61058-0866-46f3-a08f-1abec4d0368d,0,1,2,X,In play- out(s),FF,8,2.0,3.84,1.59,92.8,84.7,35.37,-2.43,50.0,5.48,-0.15,2.14,-7.29,10.4,8.58,-134.69,-6.41,-13.39,29.2,-13.06,38.4,3.6,24.0,2484,215,571757,,,,,,0,1,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,1,170408_044216,91620e2b-a19e-4c02-bf5d-be8f2a01405a,0,0,0,B,Ball,FT,14,2.0,3.33,1.58,93.5,86.0,50.67,-2.57,50.0,5.46,0.66,1.16,-7.55,8.11,11.28,-135.44,-8.36,-14.13,27.78,-17.0,32.4,4.8,24.0,2481,224,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,2,170408_044236,4d81758e-d821-4ef4-9da0-d1a1aff74d27,1,1,0,C,Called Strike,FT,7,2.0,3.23,1.61,92.6,84.9,54.41,-2.73,50.0,5.38,-0.51,1.97,-6.84,9.94,8.26,-134.48,-6.46,-12.57,28.01,-13.9,36.0,3.6,24.0,2466,214,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,3,170408_044255,20b4e1d1-cc50-4668-9ae3-426eb9ac0f57,1,1,0,B,Ball,FF,13,2.0,3.12,1.47,91.0,84.2,30.57,-2.47,50.0,5.52,-0.27,0.04,-1.68,6.93,6.31,-131.95,-10.52,-2.98,25.91,-19.86,4.8,4.8,24.0,2620,190,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,4,170408_044323,53236c92-50fd-4083-b25e-79c01eda6464,2,2,0,F,Foul,FT,14,2.0,3.68,1.5,93.6,86.6,71.2,-2.42,50.0,5.45,0.8,1.43,-7.83,10.21,11.42,-135.58,-8.43,-14.79,25.36,-12.88,42.0,3.6,24.0,2471,217,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,5,170408_044359,7b1fea9b-0eb6-480b-90d2-bd3a737091f5,2,2,0,F,Foul,FT,4,2.0,3.14,1.27,93.5,86.0,43.37,-2.6,50.0,5.51,-0.39,2.07,-8.88,9.39,9.06,-135.66,-6.55,-16.7,27.09,-14.52,43.2,4.8,24.0,2622,224,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,6,170408_044428,d0932db4-c1fb-4ad0-b9f6-b832501ef7e0,2,2,0,B,Ball,SL,14,2.0,3.09,1.44,84.0,77.6,37.22,-2.09,50.0,5.73,1.66,1.28,4.3,2.74,7.69,-121.96,-4.89,6.49,23.72,-28.05,15.6,8.4,24.0,2825,103,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,7,170408_044457,43c4b593-66a5-44a2-83b1-3aad7e521f63,3,2,0,F,Foul,FT,13,2.0,3.68,1.5,91.9,84.5,57.79,-2.54,50.0,5.44,-0.72,1.97,-8.13,10.32,7.61,-133.48,-6.64,-14.79,26.59,-13.4,42.0,4.8,24.0,2540,219,,,,518614,,,0,0,-4,bottom
2017-04-07,490152,8,542888,R,518614,L,70,Walk,9,8,170408_044527,c1134063-bc8d-4827-b36e-ec408e987997,3,2,0,F,Foul,FF,7,2.0,3.68,1.5,92.2,85.2,53.16,-2.42,50.0,5.65,-0.47,1.61,-0.43,6.22,5.31,-133.94,-6.83,-0.79,26.48,-20.77,0.0,4.8,24.0,2632,178,,,,518614,,,0,0,-4,bottom
