Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-06,490141,8,518875,R,592885,L,58,Walk,5,1,170407_004117,a27d4106-b6cc-4073-80d8-630e30229a04,0,0,0,B,Ball,SL,11,2.0,3.78,1.76,80.4,74.1,57.07,-1.31,50.0,6.05,-0.36,4.26,1.83,0.98,1.64,-117.08,2.49,2.55,20.68,-30.8,4.8,8.4,24.0,,125,,,,592885,,,0,0,2,top
2017-04-06,490141,8,518875,R,592885,L,58,Walk,5,2,170407_004134,6b2fcf5d-bec8-4217-a375-75d6585ecff8,1,0,0,B,Ball,FF,12,2.0,3.61,1.67,90.6,83.0,25.63,-1.14,50.0,5.88,0.24,4.27,-1.98,10.09,4.27,-131.91,-1.46,-3.49,27.12,-14.33,9.6,3.6,24.0,2297,188,,,,592885,,,0,0,2,top
2017-04-06,490141,8,518875,R,592885,L,58,Walk,5,3,170407_004151,91feced6-287c-435a-a1ec-44fd6263465e,2,0,0,B,Ball,FF,11,2.0,3.74,1.77,91.1,82.8,22.18,-1.12,50.0,5.83,-0.08,4.7,0.14,13.8,2.67,-132.66,-1.46,0.24,29.55,-7.7,6.0,2.4,24.0,2307,178,,,,592885,,,0,0,2,top
2017-04-06,490141,8,518875,R,592885,L,58,Walk,5,4,170407_004215,69a75cd1-aa03-4c5a-8b6c-eb283f7784b9,3,0,0,S,Called Strike,FF,6,2.0,3.92,1.8,91.5,83.9,37.32,-1.22,50.0,5.58,0.38,2.45,-3.62,11.15,5.44,-133.12,-5.93,-6.51,27.83,-12.11,21.6,3.6,24.0,2329,195,,,,592885,,,0,0,2,top
2017-04-06,490141,8,518875,R,592885,L,58,Walk,5,5,170407_004233,e988e225-1e08-4f48-9401-5b8feeedf2f7,3,1,0,B,Ball,FF,12,2.0,3.67,1.54,90.6,82.8,37.0,-1.09,50.0,5.7,0.51,4.11,-3.53,10.52,5.37,-131.95,-1.54,-6.21,28.14,-13.63,20.4,3.6,24.0,2286,195,,,,592885,,,0,0,2,top
2017-04-06,490141,8,518875,R,519317,R,59,Strikeout,6,1,170407_004304,e0f11a9a-573e-4afb-8e34-31d02e4ca459,0,0,0,S,Foul Tip,FF,5,2.0,3.87,1.6,91.4,83.6,38.85,-1.18,50.0,5.54,0.09,2.89,-1.4,11.04,3.8,-133.07,-4.59,-2.51,28.5,-12.38,7.2,3.6,24.0,2337,185,592885,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,519317,R,59,Strikeout,6,2,170407_004323,f63a41c3-8e21-4205-bf20-2e87bf1e4cc7,0,1,0,B,Ball In Dirt,SL,13,2.0,3.62,1.7,83.5,77.5,19.54,-1.22,50.0,5.59,-0.19,0.04,3.88,4.53,1.27,-121.49,-8.04,5.83,22.71,-25.37,13.2,7.2,24.0,,132,592885,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,519317,R,59,Strikeout,6,3,170407_004348,2bd841f3-f60c-4daf-908c-c94652b17770,1,1,0,S,Swinging Strike (Blocked),SL,14,2.0,3.87,1.6,81.6,75.5,42.2,-0.97,50.0,5.65,0.93,1.35,2.67,-1.39,3.63,-118.76,-2.8,3.82,22.3,-34.17,7.2,9.6,24.0,,63,592885,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,519317,R,59,Strikeout,6,4,170407_004419,6ceb339b-de66-4d5b-b8df-b9e42e207ebf,1,1,0,S,Foul,SL,7,2.0,3.87,1.6,82.0,76.2,35.9,-1.22,50.0,5.72,-0.32,2.17,3.27,1.91,1.12,-119.46,-2.21,4.78,20.71,-29.38,9.6,8.4,24.0,,117,592885,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,519317,R,59,Strikeout,6,5,170407_004440,65f834b0-623e-4791-948d-4ad78f86d7ef,1,2,0,B,Ball,SL,14,2.0,3.32,1.6,84.3,78.0,60.46,-0.88,50.0,5.66,1.09,1.51,3.69,5.38,3.61,-122.69,-5.14,5.65,22.97,-23.93,14.4,7.2,24.0,,139,592885,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,519317,R,59,Strikeout,6,6,170407_004507,23786d69-44d6-42f0-87bf-998be92617bd,2,2,0,S,Foul Tip,SL,1,2.0,3.87,1.6,83.2,77.1,46.51,-1.3,50.0,5.91,-0.57,3.75,7.01,2.93,-0.45,-121.26,0.57,10.56,21.13,-27.75,20.4,8.4,24.0,,114,592885,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,542303,R,60,Flyout,2,1,170407_004542,4413a387-ea50-4b8a-95ff-8e486af86c65,0,0,1,S,Foul,FF,5,2.0,4.03,1.68,92.3,85.2,44.51,-1.14,50.0,5.49,-0.11,2.4,-4.28,9.66,4.22,-134.42,-5.55,-7.9,26.62,-14.34,25.2,3.6,24.0,2423,202,,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,542303,R,60,Flyout,2,2,170407_004614,aeb77dba-e032-42af-ae10-828029fa9c7e,0,1,1,X,In play- out(s),FF,6,2.0,4.03,1.68,93.2,84.9,33.2,-0.94,50.0,5.57,0.26,2.43,-1.17,13.77,3.63,-135.6,-7.16,-2.16,30.87,-6.65,9.6,2.4,24.0,2375,183,,,,,,,0,1,2,top
2017-04-06,490141,8,518875,R,592663,R,61,Home Run,3,1,170407_004729,bdfa3190-007b-40e0-9d30-1cf93ffbc920,0,0,2,S,Called Strike,FF,2,2.0,3.97,1.84,93.0,84.1,49.14,-0.96,50.0,5.68,-0.14,3.31,-0.73,14.2,2.42,-135.52,-5.14,-1.34,33.1,-6.09,6.0,1.2,24.0,2398,181,,,,,,,2,0,2,top
2017-04-06,490141,8,518875,R,592663,R,61,Home Run,3,2,170407_004753,0af5c611-4049-411e-9e5d-8d8c14d36669,0,1,2,B,Ball,SL,14,2.0,3.81,1.71,82.9,76.2,43.49,-1.04,50.0,5.7,0.88,1.07,5.58,7.14,2.85,-120.61,-6.47,8.2,24.08,-21.68,20.4,7.2,24.0,,137,,,,,,,2,0,2,top
2017-04-06,490141,8,518875,R,592663,R,61,Home Run,3,3,170407_004834,6444696d-6ed3-4c51-8b10-3cb3b96eb0b0,1,1,2,X,In play- run(s),SL,8,2.0,3.79,1.56,82.7,76.6,28.44,-1.2,50.0,5.76,-0.18,2.27,3.54,4.55,1.33,-120.56,-3.01,5.26,21.72,-25.43,12.0,7.2,24.0,,139,,,,,,,2,0,2,top
2017-04-06,490141,8,518875,R,571506,L,62,Groundout,1,1,170407_004923,76b62dcc-fe1f-433f-9f3a-d4b2676821cf,0,0,2,X,In play- out(s),SL,5,2.0,3.79,1.56,83.1,77.2,55.11,-1.2,50.0,5.99,-0.22,2.51,2.31,3.03,1.62,-121.12,-2.6,3.47,21.25,-27.62,7.2,7.2,24.0,,139,,,,,,,0,1,0,top
2017-04-08,490177,8,518875,R,459431,L,72,Strikeout,6,1,170409_020116,12b47a05-92ac-4642-8147-9e5a1dfa6841,0,0,0,B,Ball,FF,14,2.0,3.92,1.81,90.1,83.3,42.91,-0.97,50.0,5.35,1.57,2.41,-2.09,9.39,7.31,-131.16,-4.63,-3.67,25.13,-15.65,8.4,3.6,24.0,2332,188,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,459431,L,72,Strikeout,6,2,170409_020130,9afc2df3-e913-448c-ab58-1e0dd1e85eb8,1,0,0,S,Foul,FF,3,2.0,3.92,1.63,91.2,83.7,44.35,-1.08,50.0,5.59,0.45,3.39,-0.57,12.05,4.22,-132.86,-3.78,-1.02,27.41,-10.54,1.2,2.4,24.0,2342,180,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,459431,L,72,Strikeout,6,3,170409_020151,91e6271c-a1d6-491c-9cb0-4a0c9db86b28,1,1,0,S,Foul,FF,5,2.0,3.92,1.63,92.1,84.0,26.07,-0.99,50.0,5.57,0.18,2.76,-1.19,13.91,3.51,-134.1,-6.11,-2.15,29.84,-6.92,9.6,2.4,24.0,2278,183,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,459431,L,72,Strikeout,6,4,170409_020210,c32a8a0e-5048-42cc-845f-e4ae003b64e9,1,1,0,S,Foul,FF,3,2.0,3.92,1.63,92.5,84.7,53.34,-0.99,50.0,5.51,0.7,3.42,0.1,11.62,4.46,-134.78,-3.54,0.18,29.11,-10.78,6.0,2.4,24.0,2216,176,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,459431,L,72,Strikeout,6,5,170409_020233,e32f2b35-df27-4ccb-9630-419465ea5616,1,2,0,B,Ball,FF,12,2.0,3.93,1.75,92.9,85.0,21.11,-0.96,50.0,5.43,1.3,2.94,-0.93,12.66,6.38,-135.23,-5.03,-1.73,29.16,-8.7,2.4,2.4,24.0,2354,180,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,459431,L,72,Strikeout,6,6,170409_020253,b3beb016-cb17-445f-acfa-bf191c20fb5f,2,2,0,S,Called Strike,FF,5,2.0,3.84,1.86,92.4,84.7,26.24,-1.04,50.0,5.35,-0.13,2.99,0.41,9.87,2.29,-134.62,-3.66,0.75,28.71,-14.02,4.8,3.6,24.0,2291,175,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,571830,R,73,Strikeout,4,1,170409_020326,0935339e-69d8-4132-bf9d-2054c436dc3d,0,0,1,S,Swinging Strike,SL,9,2.0,3.92,1.63,81.0,74.5,85.34,-1.06,50.0,5.55,0.67,1.67,8.48,2.58,1.48,-117.98,-2.87,11.91,23.12,-28.54,22.8,9.6,24.0,,105,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,571830,R,73,Strikeout,4,2,170409_020342,ba851f51-9537-4445-8cee-b00350eb650e,0,1,1,S,Called Strike,FF,8,2.0,3.45,1.65,92.6,84.5,34.93,-1.04,50.0,5.35,-0.2,1.97,-1.01,12.84,2.58,-134.68,-7.35,-1.85,29.63,-8.62,7.2,2.4,24.0,2303,183,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,571830,R,73,Strikeout,4,3,170409_020355,8af14748-f9c9-4e91-9575-25132af624fd,0,1,1,S,Foul,FF,6,2.0,3.79,1.56,92.4,84.4,30.92,-0.97,50.0,5.55,0.32,2.65,-0.25,12.29,3.52,-134.48,-5.87,-0.46,29.63,-9.71,1.2,2.4,24.0,2375,179,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,571830,R,73,Strikeout,4,4,170409_020415,42dab79f-37d1-4735-ad11-7fc29963a7b0,0,2,1,S,Foul Tip,FF,12,2.0,3.79,1.56,94.1,85.5,24.38,-0.93,50.0,5.63,0.14,4.27,0.16,12.01,2.84,-137.11,-1.92,0.3,31.89,-9.44,6.0,2.4,24.0,2337,177,,,,,,,0,1,-13,bottom
2017-04-08,490177,8,518875,R,519237,R,74,Home Run,5,1,170409_020451,02dde252-506c-4d55-ad1b-503162f6fad3,0,0,2,S,Swinging Strike,FF,5,2.0,3.79,1.56,92.4,85.0,39.68,-1.08,50.0,5.35,0.07,2.8,-0.07,8.64,3.08,-134.72,-3.74,-0.13,28.02,-16.22,1.2,3.6,24.0,2276,178,,,,,,,1,0,-13,bottom
2017-04-08,490177,8,518875,R,519237,R,74,Home Run,5,2,170409_020506,5ec06716-5908-47dc-ad87-fce44ea9ad22,0,1,2,S,Called Strike,SL,8,2.0,3.35,1.65,83.1,77.1,27.38,-1.11,50.0,5.58,0.19,2.1,5.31,3.5,1.46,-121.02,-2.74,7.95,21.31,-26.93,16.8,7.2,24.0,782,121,,,,,,,1,0,-13,bottom
2017-04-08,490177,8,518875,R,519237,R,74,Home Run,5,3,170409_020524,d15d5849-0dde-431c-ad00-ab537b021d1a,0,2,2,B,Ball,SL,14,2.0,3.48,1.78,83.9,78.1,17.53,-0.98,50.0,5.34,1.63,-0.47,5.68,4.75,4.52,-121.95,-8.85,8.61,22.52,-24.98,19.2,7.2,24.0,,121,,,,,,,1,0,-13,bottom
2017-04-08,490177,8,518875,R,519237,R,74,Home Run,5,4,170409_020544,c59e576a-b13e-463d-8ca5-1fcb1fff56c8,1,2,2,B,Ball,FF,11,2.0,3.39,1.7,93.8,85.9,56.14,-1.2,50.0,5.17,-0.97,3.03,1.51,7.73,0.09,-136.8,-2.55,2.86,30.02,-17.51,9.6,3.6,24.0,2281,168,,,,,,,1,0,-13,bottom
2017-04-08,490177,8,518875,R,519237,R,74,Home Run,5,5,170409_020602,48306a5f-1a77-450f-ae4a-b50d8dc445d4,2,2,2,X,In play- run(s),FF,5,2.0,3.79,1.56,90.8,83.5,27.13,-1.03,50.0,5.23,-0.1,2.95,2.84,8.18,1.47,-132.45,-2.6,5.06,27.31,-17.6,16.8,4.8,24.0,2211,159,,,,,,,1,0,-13,bottom
2017-04-08,490177,8,518875,R,571437,R,75,Walk,4,1,170409_020650,d18a6be1-0d19-471e-bff5-50703fc756e9,0,0,2,B,Ball,SL,14,2.0,4.1,1.99,82.5,76.4,47.88,-1.2,50.0,5.36,0.09,0.89,3.63,1.43,1.93,-120.13,-4.29,5.32,22.38,-30.07,10.8,8.4,24.0,,105,,,,571437,,,0,0,-14,bottom
2017-04-08,490177,8,518875,R,571437,R,75,Walk,4,2,170409_020702,53e144c7-ec1c-411e-a81f-3eda011114de,1,0,2,B,Ball,FF,1,2.0,4.17,1.94,92.1,83.4,47.42,-1.25,50.0,5.55,-0.47,3.95,1.48,15.32,1.57,-134.34,-3.39,2.68,31.97,-4.47,30.0,1.2,24.0,2320,173,,,,571437,,,0,0,-14,bottom
2017-04-08,490177,8,518875,R,571437,R,75,Walk,4,3,170409_020718,5b583961-2fd3-4f97-b8c2-980ddd9ebfeb,2,0,2,B,Ball,SL,13,2.0,4.05,1.99,80.8,74.6,28.05,-1.25,50.0,5.61,-0.43,1.24,4.59,5.79,0.53,-117.64,-4.98,6.45,21.78,-24.04,14.4,7.2,24.0,,138,,,,571437,,,0,0,-14,bottom
2017-04-08,490177,8,518875,R,571437,R,75,Walk,4,4,170409_020733,1b728d62-8d8c-4ccf-8336-c2f56c823942,3,0,2,B,Ball,FF,13,2.0,4.16,2.05,91.7,83.0,48.72,-1.47,50.0,5.49,-1.09,2.95,-1.02,15.5,1.33,-133.44,-5.82,-1.83,31.31,-4.49,14.4,1.2,24.0,2319,183,,,,571437,,,0,0,-14,bottom
2017-04-08,490177,8,518875,R,433217,L,76,Strikeout,5,1,170409_020810,e63cec39-bf96-423f-b72b-bb9cd61a2008,0,0,2,B,Ball,FF,11,2.0,3.48,1.68,90.9,82.7,70.53,-1.19,50.0,5.57,-0.44,3.69,1.97,13.76,1.28,-132.51,-3.4,3.48,29.98,-7.85,24.0,2.4,24.0,2325,171,571437,,,,,,0,1,-14,bottom
2017-04-08,490177,8,518875,R,433217,L,76,Strikeout,5,2,170409_020828,e5d1b7b1-8a92-41a2-a6c5-96164bfc3d01,1,0,2,B,Ball,FF,11,2.0,3.54,1.76,90.9,82.9,38.15,-1.27,50.0,5.53,-0.55,4.05,0.25,11.23,1.81,-132.63,-1.52,0.44,29.22,-12.24,3.6,2.4,24.0,2311,177,571437,,,,,,0,1,-14,bottom
2017-04-08,490177,8,518875,R,433217,L,76,Strikeout,5,3,170409_020953,3fb2f21e-4d11-4d6f-9458-958844e8a5fe,2,0,2,S,Swinging Strike,FF,2,2.0,3.68,1.5,90.1,81.3,40.6,-1.09,50.0,5.62,0.23,3.41,0.21,14.45,3.34,-131.11,-4.25,0.36,31.27,-7.37,8.4,2.4,24.0,2247,177,571437,,,,,,0,1,-14,bottom
