Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-01,529450,1,660271,R,543760,R,3,Strikeout,4,1,180401_201347,7818c1c6-a330-4705-8f54-19bb7911a52d,0,0,0,S,Called Strike,FF,4,2.0,3.54,1.6,96.4,88.8,46.59,-1.96,50.0,6.01,-0.36,2.81,-6.01,10.31,6.62,-140.17,-6.8,-12.05,29.05,-11.48,39.6,3.6,24.0,2106,208,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,543760,R,3,Strikeout,4,2,180401_201414,e508eb38-7426-42df-9a85-4ea7148ec783,0,1,0,S,Swinging Strike,SL,12,2.0,3.33,1.46,81.5,75.0,33.36,-2.24,50.0,6.05,0.21,3.43,7.78,2.32,3.37,-118.72,0.03,11.1,22.7,-28.86,21.6,8.4,24.0,2355,106,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,543760,R,3,Strikeout,4,3,180401_201434,166cfdd9-a791-4c59-9d2c-26cfb36e3bae,0,2,0,B,Ball,SL,12,2.0,3.59,1.66,83.6,77.2,33.84,-2.23,50.0,6.02,0.24,3.67,7.01,4.16,3.75,-121.7,-0.28,10.58,22.47,-25.89,22.8,7.2,24.0,2368,119,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,543760,R,3,Strikeout,4,4,180401_201454,7eb78333-f7e9-4906-8a6b-bae4e3f5bdd7,1,2,0,S,Swinging Strike,FS,14,2.0,3.33,1.46,88.0,81.9,51.54,-1.82,50.0,6.1,0.94,1.1,-5.41,2.56,8.77,-127.73,-7.2,-9.05,23.01,-27.89,14.4,7.2,24.0,1434,246,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,476704,L,4,Pop Out,6,1,180401_201530,12b2c73f-17bf-4fce-baa4-2063ce1addba,0,0,1,S,Swinging Strike,FF,1,2.0,3.22,1.4,98.1,90.2,64.16,-2.12,50.0,6.0,-0.59,3.07,-5.68,9.72,6.4,-142.73,-6.17,-11.79,30.9,-12.0,38.4,3.6,24.0,2315,208,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,476704,L,4,Pop Out,6,2,180401_201550,abe442bb-773d-40d1-a09b-7b62a7677029,0,1,1,B,Ball,FF,11,2.0,3.52,1.62,98.8,90.6,51.4,-2.17,50.0,5.98,-0.56,3.59,-4.66,9.43,6.29,-143.75,-4.64,-9.8,31.75,-12.34,32.4,3.6,24.0,2385,203,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,476704,L,4,Pop Out,6,3,180401_201613,38d338e6-f457-4813-8295-e690aa5da28e,1,1,1,B,Ball,FF,11,2.0,3.65,1.67,99.0,90.9,59.79,-2.16,50.0,6.01,-0.93,3.6,-3.61,8.99,4.84,-144.18,-4.56,-7.64,31.82,-13.15,25.2,2.4,24.0,2300,199,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,476704,L,4,Pop Out,6,4,180401_201634,1bec3aaa-a6cf-4d41-bf37-77f617cabbb9,2,1,1,S,Foul,FF,11,2.0,3.22,1.4,98.6,90.5,44.07,-2.06,50.0,5.99,-0.32,3.49,-4.32,10.7,6.53,-143.47,-5.38,-9.06,31.65,-9.76,34.8,2.4,24.0,2250,199,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,476704,L,4,Pop Out,6,5,180401_201703,ce7beff4-d733-415c-8188-20405e28bd42,2,2,1,B,Ball,SL,11,2.0,3.57,1.67,83.7,76.8,36.72,-2.37,50.0,6.06,-0.97,4.21,6.54,4.01,1.33,-121.93,0.97,9.85,23.63,-26.13,21.6,7.2,24.0,2347,122,,,,,,,0,1,0,bottom
2018-04-01,529450,1,660271,R,476704,L,4,Pop Out,6,6,180401_201725,ab653397-25c2-438e-b5b2-af7083f63b8e,3,2,1,X,In play- out(s),FF,6,2.0,3.22,1.4,98.4,90.6,33.5,-1.93,50.0,5.91,0.54,2.49,-6.73,9.39,9.45,-143.03,-7.46,-14.05,30.61,-12.58,40.8,3.6,24.0,2281,213,,,,,,,0,1,0,bottom
