Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-15,529627,5,611093,R,400284,L,41,Double,6,1,180415_215951,41d58dbf-0c28-4cdb-87b7-81b59133d9db,0,0,0,S,Called Strike,FF,1,2.0,3.34,1.57,93.3,86.0,58.69,-1.7,50.0,5.13,-0.52,3.04,-5.58,7.93,5.14,-135.8,-2.44,-10.53,26.98,-17.22,28.8,4.8,24.0,2278,212,605131,,,,400284,605131,0,0,-5,bottom
2018-04-15,529627,5,611093,R,400284,L,41,Double,6,2,180415_220016,4aa0d49c-ba7e-4372-a860-49529fc22e54,0,1,0,B,Ball,CH,14,2.0,3.48,1.58,84.2,77.6,37.3,-1.41,50.0,4.97,0.21,1.46,-7.41,3.17,6.26,-122.53,-2.87,-11.31,23.37,-27.34,20.4,8.4,24.0,1960,245,605131,,,,400284,605131,0,0,-5,bottom
2018-04-15,529627,5,611093,R,400284,L,41,Double,6,3,180415_220042,61f0f8d1-a647-42da-b8f3-0ee65fcff510,1,1,0,B,Ball,FF,12,2.0,3.5,1.69,92.7,85.0,60.5,-1.46,50.0,5.23,0.74,3.76,-4.83,8.25,7.53,-134.84,-0.77,-8.95,27.79,-16.91,24.0,3.6,24.0,2245,205,605131,,,,400284,605131,0,0,-5,bottom
2018-04-15,529627,5,611093,R,400284,L,41,Double,6,4,180415_220116,7acbae4d-7637-4f1f-ad12-1c62f59c9747,2,1,0,S,Called Strike,FF,8,2.0,3.48,1.66,94.1,86.2,27.69,-1.53,50.0,4.95,-0.23,2.26,-3.35,10.04,4.67,-136.9,-4.88,-6.37,29.31,-13.06,20.4,3.6,24.0,2394,196,605131,,,,400284,605131,0,0,-5,bottom
2018-04-15,529627,5,611093,R,400284,L,41,Double,6,5,180415_220145,c573749c-0278-4743-bd31-577f1f069e69,2,1,0,S,Foul,CH,14,2.0,3.42,1.46,84.9,78.3,54.46,-1.47,50.0,4.99,0.69,1.29,-7.54,1.93,7.66,-123.44,-3.05,-11.68,23.52,-29.18,19.2,8.4,24.0,1953,255,605131,,,,400284,605131,0,0,-5,bottom
2018-04-15,529627,5,611093,R,400284,L,41,Double,6,6,180415_220218,eebd592b-2ef1-4cfe-aaf1-d66f57b5c96d,2,2,0,X,In play- no out,CH,6,2.0,3.42,1.46,85.4,79.7,30.68,-1.34,50.0,5.13,0.47,2.67,-7.42,4.21,6.86,-124.29,-0.97,-11.87,19.56,-25.44,22.8,7.2,24.0,2019,237,605131,,,,400284,605131,0,0,-5,bottom
2018-04-15,529627,5,611093,R,571771,R,42,Strikeout,6,1,180415_220312,38c7fd85-5a47-4b8d-a3ac-e7b76229bae4,0,0,0,B,Ball,SL,12,2.0,3.33,1.49,83.9,76.9,51.95,-1.56,50.0,5.27,0.37,4.19,2.01,4.06,4.02,-121.97,2.79,3.04,23.02,-26.03,8.4,7.2,24.0,2405,151,,400284,605131,,,,0,1,-5,bottom
2018-04-15,529627,5,611093,R,571771,R,42,Strikeout,6,2,180415_220341,e649690e-93cf-4168-85eb-c6e856b84f18,1,0,0,S,Foul,SL,5,2.0,3.15,1.39,83.5,76.6,13.52,-1.73,50.0,5.14,-0.13,2.37,3.12,1.41,2.85,-121.49,-0.37,4.65,23.93,-30.07,9.6,8.4,24.0,2377,114,,400284,605131,,,,0,1,-5,bottom
2018-04-15,529627,5,611093,R,571771,R,42,Strikeout,6,3,180415_220415,daf05475-e21d-4edc-9592-3dd329b0156d,1,1,0,B,Ball,FF,14,2.0,3.37,1.45,94.8,87.7,23.84,-1.27,50.0,5.04,1.61,1.72,-4.91,9.21,9.63,-137.73,-6.46,-9.57,26.64,-14.23,26.4,3.6,24.0,2445,204,,400284,605131,,,,0,1,-5,bottom
2018-04-15,529627,5,611093,R,571771,R,42,Strikeout,6,4,180415_220503,57ce0b02-a683-440c-bbbb-793a21bc4099,2,1,0,S,Called Strike,FF,5,2.0,3.3,1.49,94.3,87.2,20.57,-1.46,50.0,5.13,0.07,2.62,-3.7,8.66,5.48,-137.3,-4.03,-7.15,26.82,-15.43,20.4,3.6,24.0,2362,200,,400284,605131,,,,0,1,-5,bottom
