Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,565222,1,543243,R,624428,L,0,Groundout,4,1,190331_171330,32444f20-6820-4aeb-8b5c-f7c8eb617e30,0,0,0,B,Ball,FF,13,2.0,3.18,1.37,92.2,84.4,,-1.03,50.0,5.45,-1.16,1.38,-2.47,10.51,0.49,-134.06,-8.31,-4.5,28.95,-13.04,16.8,3.6,24.0,2399,194,,,,,,,0,1,0,top
2019-09-12,565222,1,543243,R,624428,L,0,Groundout,4,2,190331_171345,f36c6227-f421-4ccb-be7c-e57069c38ced,1,0,0,S,Called Strike,FF,7,2.0,3.16,1.32,92.6,85.6,,-0.85,50.0,5.52,-0.26,1.91,-1.23,9.93,2.01,-134.83,-7.09,-2.3,26.29,-13.7,7.2,3.6,24.0,2519,186,,,,,,,0,1,0,top
2019-09-12,565222,1,543243,R,624428,L,0,Groundout,4,3,190331_171402,cee81a29-293c-4fac-8646-1545201c3e82,1,1,0,S,Foul,CU,9,2.0,3.3,1.5,80.6,73.7,,-1.01,50.0,5.79,0.3,2.03,10.11,-8.04,-0.02,-117.15,0.73,13.86,24.88,-43.2,18.0,13.2,24.0,2826,52,,,,,,,0,1,0,top
2019-09-12,565222,1,543243,R,624428,L,0,Groundout,4,4,190331_171430,ddaa769a-dad7-4c59-b2ce-9a458dce2016,1,2,0,X,In play- out(s),CU,14,2.0,3.3,1.5,82.4,75.0,,-0.85,50.0,5.7,0.25,0.91,9.72,-6.01,-0.38,-119.69,-2.54,13.83,27.28,-40.73,18.0,12.0,24.0,2780,57,,,,,,,0,1,0,top
2019-09-12,565222,1,543243,R,516782,R,1,Field Error,5,1,190331_171509,2ad5d5a2-c08b-400e-b5df-1061a477ce81,0,0,1,S,Foul,FF,3,2.0,3.41,1.56,93.3,85.0,,-0.85,50.0,5.57,0.39,2.92,-2.65,10.34,4.23,-135.83,-4.68,-4.94,30.79,-12.94,15.6,3.6,24.0,2423,192,,,,516782,,,0,0,0,top
2019-09-12,565222,1,543243,R,516782,R,1,Field Error,5,2,190331_171526,656efb31-6706-459d-a0cc-3ef7112c5f6f,0,1,1,B,Ball,CU,14,2.0,3.45,1.52,81.7,74.2,,-0.73,50.0,5.59,1.35,0.63,11.27,-5.92,1.43,-118.69,-2.79,15.67,28.04,-40.41,21.6,13.2,24.0,3020,61,,,,516782,,,0,0,0,top
2019-09-12,565222,1,543243,R,516782,R,1,Field Error,5,3,190331_171548,8b393c0d-e854-4b7d-933f-449afd111a8b,1,1,1,S,Foul,FF,9,2.0,3.41,1.56,92.1,86.0,,-0.65,50.0,5.54,0.7,2.02,0.52,7.92,3.43,-134.19,-6.15,0.97,23.46,-17.44,4.8,3.6,24.0,2461,173,,,,516782,,,0,0,0,top
2019-09-12,565222,1,543243,R,516782,R,1,Field Error,5,4,190331_171614,0d3cf4df-2361-48d5-af14-a066a02d1a9f,1,2,1,B,Ball,CU,14,2.0,3.48,1.56,83.7,77.6,,-0.74,50.0,5.49,0.33,0.13,4.91,-5.29,1.02,-121.82,-4.56,7.38,24.12,-40.12,10.8,10.8,24.0,2701,41,,,,516782,,,0,0,0,top
2019-09-12,565222,1,543243,R,516782,R,1,Field Error,5,5,190331_171638,f3416504-32ab-43de-8a30-f82883140664,2,2,1,X,In play- no out,CU,14,2.0,3.41,1.56,82.8,75.9,,-0.77,50.0,5.68,1.09,1.01,9.62,-6.16,1.43,-120.32,-2.34,13.93,26.17,-41.09,19.2,12.0,24.0,2924,57,,,,516782,,,0,0,0,top
2019-09-12,565222,1,543243,R,572816,L,2,Lineout,3,1,190331_171738,4f711bb4-a25f-4bdc-8f80-eee35900d993,0,0,1,S,Called Strike,FF,1,2.0,3.46,1.48,91.9,84.3,,-1.04,50.0,5.47,-0.49,3.11,-1.7,10.82,2.04,-133.85,-3.89,-3.1,27.93,-12.47,12.0,3.6,24.0,2525,187,516782,,,,,,0,1,0,top
2019-09-12,565222,1,543243,R,572816,L,2,Lineout,3,2,190331_171829,20ce4c26-9f79-41d2-9656-0bed130c3168,0,1,1,X,In play- out(s),FF,12,2.0,3.55,1.63,92.1,84.6,,-0.76,50.0,5.6,0.74,2.99,0.27,8.24,3.9,-134.14,-3.7,0.49,28.15,-17.11,3.6,3.6,24.0,2443,174,516782,,,,,,0,1,0,top
2019-09-12,565222,1,543243,R,605137,L,3,Single,6,1,190331_171904,e5cb9fa5-2e76-432f-a786-a0e54d1bd107,0,0,2,B,Ball,FF,14,2.0,3.4,1.61,92.4,85.2,,-0.84,50.0,5.41,0.19,1.42,-1.18,11.07,3.15,-134.5,-8.43,-2.17,27.36,-11.75,6.0,2.4,24.0,2489,184,,,,605137,,,1,0,0,top
2019-09-12,565222,1,543243,R,605137,L,3,Single,6,2,190331_172005,425a804b-e1d6-4ee2-8742-ca867ed12528,1,0,2,B,Ball,FF,11,2.0,3.27,1.48,92.3,84.8,,-0.99,50.0,5.58,-0.89,3.05,-2.68,8.28,1.2,-134.44,-3.54,-4.92,27.89,-16.96,14.4,3.6,24.0,2483,197,,,,605137,,,1,0,0,top
2019-09-12,565222,1,543243,R,605137,L,3,Single,6,3,190331_172033,a1468b6a-5900-46ec-a866-1c1b7a548b44,2,0,2,S,Called Strike,FF,7,2.0,3.3,1.55,93.2,85.2,,-0.82,50.0,5.47,-0.43,1.81,0.07,10.49,1.01,-135.72,-7.42,0.14,30.36,-12.66,1.2,3.6,24.0,2452,178,,,,605137,,,1,0,0,top
2019-09-12,565222,1,543243,R,605137,L,3,Single,6,4,190331_172116,c6a15fce-87fe-400d-9dff-0d9d80413788,2,1,2,X,In play- run(s),CU,8,2.0,3.55,1.63,81.0,74.0,,-0.94,50.0,5.74,0.06,2.03,9.35,-7.45,-0.5,-117.74,0.6,12.96,24.98,-42.5,16.8,13.2,24.0,2818,52,,,,605137,,,1,0,0,top
