Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-06,567237,2,643615,R,452095,R,13,Groundout,3,1,190903_235317,20c53ef2-5f59-4d13-aef0-1316ac394c24,0,0,0,B,Ball,SI,14,2.0,3.52,1.7,93.6,86.7,,-0.81,50.0,6.06,1.46,0.79,-9.3,5.11,9.37,-135.78,-9.99,-17.53,26.86,-22.54,32.4,6.0,24.0,2119,243,,,,,,,0,1,-2,bottom
2019-09-06,567237,2,643615,R,452095,R,13,Groundout,3,2,190903_235334,a4ca3c2a-cc0a-4bd1-acd0-8c9a1dd42ef5,1,0,0,B,Ball,SI,14,2.0,3.38,1.64,93.5,86.7,,-0.87,50.0,6.08,1.1,1.72,-8.32,4.89,8.24,-135.89,-7.5,-15.75,26.43,-22.93,30.0,6.0,24.0,2302,240,,,,,,,0,1,-2,bottom
2019-09-06,567237,2,643615,R,452095,R,13,Groundout,3,3,190903_235351,118b4362-a91c-440e-9541-c8f8e3136f58,2,0,0,X,In play- out(s),SI,12,2.0,3.38,1.49,93.1,86.2,,-0.92,50.0,6.24,0.94,3.23,-7.77,4.0,7.73,-135.48,-3.53,-14.62,26.12,-24.65,27.6,6.0,24.0,2084,241,,,,,,,0,1,-2,bottom
2019-09-06,567237,2,643615,R,542364,L,14,Single,3,1,190903_235426,b2f158e8-9b03-45cd-a218-6aedd2ed9de2,0,0,1,S,Called Strike,SI,5,2.0,3.4,1.72,94.3,87.0,,-1.16,50.0,6.18,0.18,2.57,-9.18,5.48,6.89,-137.05,-5.81,-17.63,27.66,-21.66,36.0,6.0,24.0,2280,239,,,,542364,,,0,0,-2,bottom
2019-09-06,567237,2,643615,R,542364,L,14,Single,3,2,190903_235437,25217f60-f133-4023-86e7-aa19f914a4af,0,1,1,B,Ball,CU,12,2.0,3.4,1.63,76.5,70.9,,-1.09,50.0,6.48,1.27,2.87,5.06,-3.36,3.75,-111.18,0.34,6.37,19.11,-36.4,10.8,12.0,24.0,2127,61,,,,542364,,,0,0,-2,bottom
2019-09-06,567237,2,643615,R,542364,L,14,Single,3,3,190903_235451,502e1838-5c47-4ba6-9ade-2284935495dc,1,1,1,X,In play- no out,CH,2,2.0,3.46,1.56,83.9,77.5,,-1.24,50.0,6.14,0.01,3.11,-8.11,5.66,5.57,-122.14,-2.48,-12.35,22.2,-23.55,25.2,7.2,24.0,1960,233,,,,542364,,,0,0,-2,bottom
2019-09-06,567237,2,643615,R,592314,R,15,Strikeout,4,1,190903_235523,ffa66861-7ee8-4470-a361-f2ed8e6731ba,0,0,1,S,Called Strike,SI,6,2.0,3.18,1.5,90.9,83.8,,-0.85,50.0,6.33,0.49,2.46,-8.52,6.85,6.41,-132.13,-6.3,-15.16,26.33,-19.99,33.6,6.0,24.0,2194,231,542364,,,,,,0,1,-2,bottom
2019-09-06,567237,2,643615,R,592314,R,15,Strikeout,4,2,190903_235538,b7f0ff60-4cc1-4d73-b602-0ff13fbc55b7,0,1,1,B,Ball,SI,14,2.0,3.16,1.46,93.2,86.1,,-0.89,50.0,6.2,1.14,1.49,-8.54,6.92,8.43,-135.28,-9.03,-15.98,26.87,-19.23,34.8,6.0,24.0,2314,231,542364,,,,,,0,1,-2,bottom
2019-09-06,567237,2,643615,R,592314,R,15,Strikeout,4,3,190903_235555,5198c253-7bdd-43ba-8eaa-8d747d5e6d7c,1,1,1,S,Foul Bunt,SI,14,2.0,3.26,1.54,92.0,85.0,,-1.01,50.0,6.16,0.85,2.12,-8.36,6.31,7.81,-133.66,-6.83,-15.27,26.15,-20.65,32.4,6.0,24.0,2289,232,542364,,,,,,0,1,-2,bottom
2019-09-06,567237,2,643615,R,592314,R,15,Strikeout,4,4,190903_235619,3bc5437b-cf9d-46de-af3c-95acf4993069,1,2,1,S,Foul Bunt,CU,1,2.0,3.26,1.54,77.9,72.6,,-1.18,50.0,6.69,-0.57,2.83,5.08,-6.15,-0.12,-113.41,0.28,6.68,18.93,-40.25,9.6,12.0,24.0,2066,40,542364,,,,,,0,1,-2,bottom
