Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-18,566926,4,607555,L,605233,L,33,Groundout,6,1,190817_201858,179023f8-8803-4bfd-ba9d-43d2a7abc398,0,0,2,B,Ball,SI,12,2.0,3.67,1.78,94.9,86.7,,2.86,50.0,5.55,1.61,3.81,8.45,3.65,-6.4,-138.07,-0.14,16.32,30.78,-25.13,31.2,6.0,24.0,2080,115,475253,,,,,,0,1,2,bottom
2019-08-18,566926,4,607555,L,605233,L,33,Groundout,6,2,190817_201923,c71256e4-bd6a-4e2e-ac05-d27f2875f406,1,0,2,S,Called Strike,SI,4,2.0,3.6,1.68,95.0,87.1,,2.57,50.0,5.36,-0.69,2.34,9.56,5.77,-12.26,-137.89,-4.38,18.48,29.37,-21.02,36.0,6.0,24.0,2135,123,475253,,,,,,0,1,2,bottom
2019-08-18,566926,4,607555,L,605233,L,33,Groundout,6,3,190817_201943,7d814b94-9f40-4db6-bf1d-fc8eb4d46d05,1,1,2,S,Called Strike,SI,8,2.0,3.56,1.75,95.6,87.4,,2.55,50.0,5.4,0.06,2.11,9.93,5.81,-10.36,-138.75,-5.21,19.38,30.64,-20.83,38.4,6.0,24.0,2170,121,475253,,,,,,0,1,2,bottom
2019-08-18,566926,4,607555,L,605233,L,33,Groundout,6,4,190817_202010,e16fa988-6f80-44d3-b584-10a9da00ebec,1,2,2,B,Ball,CH,13,2.0,3.45,1.75,88.3,81.2,,2.69,50.0,5.16,-0.19,0.87,9.21,1.77,-10.33,-128.18,-5.1,15.35,26.23,-29.23,24.0,8.4,24.0,1387,99,475253,,,,,,0,1,2,bottom
2019-08-18,566926,4,607555,L,605233,L,33,Groundout,6,5,190817_202037,befc5f44-1020-4d55-9bf8-6c4bafaec7d5,2,2,2,B,Ball,SI,14,2.0,3.49,1.71,95.4,87.3,,2.57,50.0,5.34,0.23,1.37,10.89,3.25,-10.28,-138.4,-6.12,21.12,30.89,-25.86,34.8,7.2,24.0,2181,105,475253,,,,,,0,1,2,bottom
2019-08-18,566926,4,607555,L,605233,L,33,Groundout,6,6,190817_202107,45b3af25-26f5-4455-b2a8-ee636fbd74c4,3,2,2,X,In play- out(s),CH,6,2.0,3.47,1.66,86.9,79.7,,2.78,50.0,5.26,0.31,2.5,8.34,3.85,-8.86,-126.29,-1.67,13.49,25.27,-25.95,24.0,7.2,24.0,1264,117,475253,,,,,,0,1,2,bottom
2019-08-18,566926,5,607555,L,641856,L,38,Groundout,4,1,190817_203251,cb61bb70-c830-4071-be2e-954d9eb62526,0,0,0,S,Called Strike,SI,4,2.0,3.15,1.54,93.4,85.2,,2.43,50.0,5.46,-0.59,2.22,10.21,3.95,-11.6,-135.55,-4.01,18.94,30.53,-24.85,32.4,7.2,24.0,2234,112,,,,,,,0,1,2,bottom
2019-08-18,566926,5,607555,L,641856,L,38,Groundout,4,2,190817_203313,382d10a1-27d4-4948-b71f-5e03f0222bdf,0,1,0,B,Ball,SI,11,2.0,3.16,1.52,95.2,86.6,,2.51,50.0,5.68,-0.17,3.67,10.85,2.66,-11.15,-138.24,-0.52,20.91,32.03,-27.05,33.6,7.2,24.0,2230,105,,,,,,,0,1,2,bottom
2019-08-18,566926,5,607555,L,641856,L,38,Groundout,4,3,190817_203331,dabc6b36-da82-43b3-81bd-52874708911a,1,1,0,B,Ball,CH,13,2.0,3.14,1.58,88.4,80.4,,2.53,50.0,5.24,-1.7,1.97,8.63,3.36,-13.47,-127.94,-2.95,14.24,27.73,-26.64,22.8,7.2,24.0,1366,114,,,,,,,0,1,2,bottom
2019-08-18,566926,5,607555,L,641856,L,38,Groundout,4,4,190817_203355,ee87d644-fde0-4333-b631-bfbd62e4738c,2,1,0,X,In play- out(s),SI,12,2.0,3.11,1.58,93.0,84.9,,2.6,50.0,5.37,0.88,2.55,8.26,3.55,-7.45,-135.16,-2.73,15.24,30.1,-25.62,27.6,6.0,24.0,2133,114,,,,,,,0,1,2,bottom
