Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-03,566384,1,621368,L,571745,R,4,Walk,4,1,190426_022214,56e55708-e2f2-42e0-b27d-d5ab776232a6,0,0,0,B,Ball,FF,13,2.0,3.31,1.57,90.9,83.5,,2.65,50.0,6.06,-0.99,0.55,7.34,9.75,-11.94,-131.42,-11.41,12.88,26.97,-15.06,31.2,4.8,24.0,2160,145,,,,571745,,,0,0,0,bottom
2019-09-03,566384,1,621368,L,571745,R,4,Walk,4,2,190426_022233,940c820a-b734-4367-8721-7fa917d3308f,1,0,0,B,Ball,FF,11,2.0,3.25,1.54,91.0,83.7,,2.32,50.0,6.23,-1.73,2.45,7.3,9.8,-13.05,-131.78,-7.02,12.94,25.89,-14.8,32.4,4.8,24.0,2228,147,,,,571745,,,0,0,0,bottom
2019-09-03,566384,1,621368,L,571745,R,4,Walk,4,3,190426_022250,d7757b77-b2af-43cb-b236-62c285a6d369,2,0,0,B,Ball,FF,13,2.0,3.16,1.46,90.4,83.8,,2.67,50.0,6.13,-0.72,1.16,6.26,9.37,-10.95,-130.94,-9.9,11.01,24.03,-15.67,27.6,4.8,24.0,2137,148,,,,571745,,,0,0,0,bottom
2019-09-03,566384,1,621368,L,571745,R,4,Walk,4,4,190426_022306,e9ce1e65-10fa-46c4-99f1-129c79addb60,3,0,0,B,Ball,FF,11,2.0,3.25,1.47,90.3,83.3,,2.53,50.0,6.26,-1.11,3.35,3.88,9.16,-10.76,-131.07,-4.45,6.81,25.19,-16.08,15.6,3.6,24.0,2123,162,,,,571745,,,0,0,0,bottom
2019-09-03,566384,1,621368,L,570267,R,5,Walk,10,1,190426_022339,c68b32c3-8398-4f1b-897d-d14ab37b4d4d,0,0,0,S,Called Strike,FF,7,2.0,3.7,1.78,91.8,85.2,,2.61,50.0,6.04,-0.49,2.12,4.9,8.93,-9.9,-133.27,-7.4,8.95,24.32,-15.85,22.8,3.6,24.0,2116,154,571745,,,570267,571745,,0,0,0,bottom
2019-09-03,566384,1,621368,L,570267,R,5,Walk,10,2,190426_022358,3f6a2d2d-d624-4f3a-92b2-47324da09052,0,1,0,B,Ball,FF,11,2.0,3.75,1.78,91.5,83.9,,2.57,50.0,6.4,-0.85,4.9,5.06,8.28,-10.73,-132.83,-0.67,9.1,26.86,-17.3,21.6,4.8,24.0,2100,155,571745,,,570267,571745,,0,0,0,bottom
2019-09-03,566384,1,621368,L,570267,R,5,Walk,10,3,190426_022418,7ddbb304-7e4d-4cdf-8d6e-0a705702c0cf,1,1,0,S,Swinging Strike,CH,3,2.0,3.71,1.84,80.5,74.1,,2.64,50.0,6.01,0.45,3.22,6.78,4.29,-7.12,-117.0,-0.81,9.45,21.03,-26.2,16.8,8.4,24.0,1779,126,571745,,,570267,571745,,0,0,0,bottom
2019-09-03,566384,1,621368,L,570267,R,5,Walk,10,4,190426_022501,4e14b993-dc5c-4d31-84e1-72316b241341,1,1,0,S,Foul,CH,8,2.0,3.7,1.78,82.0,76.2,,2.68,50.0,5.9,0.09,2.15,7.88,4.6,-8.56,-119.18,-3.51,11.5,19.77,-25.45,21.6,7.2,24.0,1808,122,571745,,,570267,571745,,0,0,0,bottom
2019-09-03,566384,1,621368,L,570267,R,5,Walk,10,5,190426_022528,e349fde5-1608-44b1-8740-965aaabf6735,1,1,0,S,Foul,FF,1,2.0,3.72,1.78,90.9,84.1,,2.67,50.0,6.14,-0.4,3.28,5.48,9.06,-9.93,-132.03,-4.46,9.81,24.43,-15.95,25.2,4.8,24.0,2051,152,571745,,,570267,571745,,0,0,0,bottom
2019-09-03,566384,1,621368,L,570267,R,5,Walk,10,6,190426_022551,ad726473-6b09-4acc-b83d-d70bf08234c9,1,2,0,B,Ball,SL,13,2.0,3.72,1.78,80.0,74.4,,2.61,50.0,6.02,-1.75,1.6,-1.85,4.41,-9.49,-116.06,-4.49,-2.55,19.7,-26.11,8.4,8.4,24.0,,216,571745,,,570267,571745,,0,0,0,bottom
