Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2019-03-28,567359,6,594027,R,455104,R,42,Strikeout,5,1,190328_215919,f4b44d64-50c0-4289-a833-346db3b8c1cc,0,1,0,C,Called Strike,FF,5,2.0,3.26,1.61,97.6,88.7,,-1.95,50.0,6.27,-0.14,2.39,-7.28,9.57,7.69,-141.73,-8.52,-14.7,34.48,-12.84,40.8,3.6,24.0,2204,216,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,455104,R,42,Strikeout,5,2,190328_215939,42bb8760-2bf7-421c-b2b1-2badca6df8d0,0,1,0,B,Ball,SL,11,2.0,3.22,1.7,85.7,78.2,,-2.12,50.0,6.6,-1.34,3.94,2.18,1.8,1.22,-124.68,-0.55,3.42,26.26,-29.36,7.2,7.2,24.0,1854,128,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,455104,R,42,Strikeout,5,3,190328_220003,39722c06-e5d5-4024-a12c-cb6e1e77cc31,1,2,0,C,Called Strike,FF,13,2.0,3.29,1.58,96.8,87.8,,-1.91,50.0,6.2,-0.8,1.89,-5.7,11.15,5.1,-140.51,-10.11,-11.3,34.3,-10.06,38.4,3.6,24.0,2163,206,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,455104,R,42,Strikeout,5,4,190328_220029,28ba7533-6916-4323-91b1-8a261b642449,1,2,0,F,Foul,FF,11,2.0,3.37,1.53,97.8,88.7,,-1.85,50.0,6.36,-0.08,3.52,-6.26,10.05,7.24,-142.01,-5.84,-12.69,34.62,-11.79,39.6,3.6,24.0,2188,209,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,455104,R,42,Strikeout,5,5,190328_220053,b0aeb0a9-9a8f-4ac6-951f-d6980966a624,1,2,0,S,Swinging Strike,SL,14,2.0,3.37,1.53,87.3,79.3,,-1.67,50.0,6.27,0.64,1.49,1.78,2.87,5.17,-126.85,-6.33,2.85,29.75,-27.58,7.2,7.2,24.0,1852,129,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,607536,L,43,Strikeout,3,1,190328_220125,055c5eab-babf-4eea-8e9a-9e8421fe23aa,0,1,1,C,Called Strike,FF,2,2.0,3.42,1.65,97.3,88.5,,-1.97,50.0,6.34,-0.22,3.07,-7.19,10.45,7.48,-141.41,-7.12,-14.49,33.63,-11.11,44.4,3.6,24.0,2181,212,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,607536,L,43,Strikeout,3,2,190328_220142,56e02f1a-743e-4ea5-9f63-c81b0179720f,0,2,1,C,Called Strike,FF,7,2.0,3.39,1.65,99.1,90.3,,-1.97,50.0,6.15,-0.28,1.74,-7.31,9.55,7.5,-143.79,-10.34,-15.25,34.65,-12.27,42.0,3.6,24.0,2327,217,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,607536,L,43,Strikeout,3,3,190328_220202,15ab6934-90dc-4496-9f7d-baa38d1c48c7,0,2,1,S,Swinging Strike,FT,3,2.0,3.55,1.63,98.5,89.4,,-1.97,50.0,6.29,0.24,3.54,-8.36,9.0,9.28,-143.11,-5.32,-17.22,35.17,-13.64,45.6,3.6,24.0,2274,220,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,453568,L,44,Flyout,2,1,190328_220243,98306c86-edc0-4927-9f8c-86916ff19040,0,0,2,B,Ball,SL,14,2.0,3.35,1.58,88.3,81.5,,-1.87,50.0,6.17,0.27,0.93,0.58,2.88,5.24,-128.36,-7.9,0.97,26.34,-27.37,3.6,7.2,24.0,1969,149,,,,,,,0,1,-6,top
2019-03-28,567359,6,594027,R,453568,L,44,Flyout,2,2,190328_220311,867b75d2-73d4-4d15-8ea3-dbca4a028e2a,1,0,2,X,In play- out(s),FF,7,2.0,3.49,1.6,97.7,88.7,,-1.97,50.0,6.1,-0.51,2.38,-7.0,9.63,6.61,-141.89,-8.1,-14.16,34.68,-12.68,40.8,3.6,24.0,2154,215,,,,,,,0,1,-6,top
