Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-06,567276,8,600986,R,592859,L,65,Strikeout,4,1,190502_031214,6c5181b5-07f8-4a8f-9997-48a52dd99a9a,0,0,0,S,Called Strike,FF,13,2.0,3.1,1.46,97.3,89.5,,-2.0,50.0,5.86,-0.79,2.05,-9.05,10.16,6.69,-141.38,-8.61,-18.44,30.13,-11.46,51.6,4.8,24.0,2417,221,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,592859,L,65,Strikeout,4,2,190502_031248,e9834ede-50c2-4a3f-a73c-19140bdd3f7f,0,1,0,B,Ball,SL,13,2.0,3.1,1.41,83.6,77.3,,-2.31,50.0,6.01,-1.89,2.21,3.21,2.91,0.01,-121.81,-3.39,4.85,22.65,-27.77,9.6,7.2,24.0,,129,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,592859,L,65,Strikeout,4,3,190502_031309,1b3b94af-dd8d-4334-a2e5-5e9ebe63e5f4,1,1,0,S,Swinging Strike,FF,5,2.0,3.38,1.66,97.0,88.8,,-1.64,50.0,6.0,0.2,2.49,-8.37,10.07,8.15,-140.94,-7.62,-16.86,31.51,-11.89,48.0,3.6,24.0,2391,218,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,592859,L,65,Strikeout,4,4,190502_031338,5d37e81b-6438-404c-a605-fab1170e584c,1,2,0,S,Called Strike,FF,9,2.0,3.17,1.48,98.7,90.4,,-1.57,50.0,5.92,0.45,1.93,-8.39,10.32,8.81,-143.2,-9.4,-17.49,31.99,-10.67,50.4,3.6,24.0,2378,218,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,642851,R,66,Flyout,2,1,190502_031415,4da16d40-79fe-4aa0-be28-08f92d828bee,0,0,1,S,Foul,FF,4,2.0,3.38,1.66,98.0,90.0,,-1.55,50.0,5.95,-0.42,2.63,-6.78,10.37,5.67,-142.52,-7.45,-14.01,31.11,-10.73,45.6,3.6,24.0,2424,212,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,642851,R,66,Flyout,2,2,190502_031451,4b6a3a63-3368-4f9b-837b-02b7c8efe3bd,0,1,1,X,In play- out(s),FF,11,2.0,3.38,1.66,98.5,90.5,,-1.73,50.0,6.0,-0.86,3.18,-7.32,8.94,5.17,-143.34,-5.62,-15.32,31.31,-13.47,44.4,3.6,24.0,2411,218,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,542340,L,67,Flyout,4,1,190502_031524,e524ff36-19ef-4998-9986-5c2b8e5200d7,0,0,2,B,Ball,FF,14,2.0,3.38,1.67,97.7,89.4,,-1.36,50.0,5.88,0.6,0.88,-7.79,10.93,8.31,-141.58,-12.22,-15.84,31.99,-9.96,48.0,3.6,24.0,2385,215,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,542340,L,67,Flyout,4,2,190502_031547,4580c889-4703-4bd8-ade4-9f1db61429a7,1,0,2,S,Called Strike,FF,14,2.0,3.34,1.65,97.5,89.4,,-1.69,50.0,5.94,0.85,2.23,-8.38,9.44,10.17,-141.55,-8.07,-17.07,31.12,-12.94,45.6,3.6,24.0,2407,219,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,542340,L,67,Flyout,4,3,190502_031611,f70cb66e-5700-4989-ac32-015f52520a9b,1,1,2,B,Ball,SL,14,2.0,3.28,1.6,85.6,79.4,,-1.87,50.0,6.05,0.82,1.21,2.43,1.12,5.84,-124.53,-5.74,3.84,23.81,-30.41,8.4,8.4,24.0,,100,,,,,,,0,1,-1,top
2019-09-06,567276,8,600986,R,542340,L,67,Flyout,4,4,190502_031647,5e12ce7d-93b3-4b66-aa0a-3503c2446e4e,2,1,2,X,In play- out(s),FF,9,2.0,3.36,1.54,95.4,87.6,,-1.73,50.0,5.96,0.43,2.1,-6.35,10.03,8.18,-138.63,-8.31,-12.41,29.77,-12.56,37.2,3.6,24.0,2302,210,,,,,,,0,1,-1,top
2019-09-06,567276,9,600986,R,547004,L,71,Strikeout,4,1,190502_032659,12ae5f72-60d3-47d9-ba6a-03761d69ee79,0,0,0,B,Ball,FF,14,2.0,3.39,1.53,96.8,88.7,,-1.8,50.0,5.84,0.54,1.54,-7.01,11.08,9.01,-140.43,-10.16,-14.06,30.78,-9.96,44.4,3.6,24.0,2388,210,,,,,,,0,1,-1,top
2019-09-06,567276,9,600986,R,547004,L,71,Strikeout,4,2,190502_032721,54dd4fae-0406-4f8f-91ec-77885928cd5f,1,0,0,S,Called Strike,FF,13,2.0,3.4,1.51,95.5,88.1,,-1.81,50.0,5.87,-0.45,1.49,-8.0,9.16,6.62,-138.88,-9.46,-15.73,29.07,-14.15,42.0,4.8,24.0,2323,221,,,,,,,0,1,-1,top
2019-09-06,567276,9,600986,R,547004,L,71,Strikeout,4,3,190502_032743,0a2d2cd8-626e-4c3b-a937-ccbc1f476064,1,1,0,S,Called Strike,FF,13,2.0,3.46,1.6,97.1,89.5,,-1.79,50.0,5.84,-0.65,1.56,-4.61,10.83,4.87,-141.19,-10.16,-9.37,29.97,-10.15,34.8,2.4,24.0,2336,202,,,,,,,0,1,-1,top
