Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-24,564894,1,543532,R,502481,L,5,Pop Out,1,1,190821_195109,ae8cec01-4e5b-423f-9b9c-3ead7b5d5eb6,0,0,0,X,In play- out(s),FF,5,2.0,3.37,1.7,89.2,82.1,,-2.22,50.0,6.15,-0.1,2.53,-3.75,10.31,6.68,-129.66,-6.46,-6.42,25.64,-14.53,18.0,3.6,24.0,2089,197,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,1,190821_195138,cf968bb3-8ef7-4c19-84dd-e156ea9b416f,0,0,1,B,Ball,FF,13,2.0,3.51,1.7,88.5,81.5,,-2.24,50.0,6.19,-1.31,2.29,-4.09,10.06,3.72,-128.66,-6.96,-6.91,25.09,-15.21,20.4,4.8,24.0,1943,201,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,2,190821_195152,325a5f14-2b58-4e54-9909-2157e98335b6,1,0,1,S,Called Strike,FF,7,2.0,3.53,1.7,89.6,82.7,,-1.96,50.0,6.17,-0.39,2.24,-5.03,10.07,5.74,-130.25,-7.28,-8.72,24.87,-14.7,25.2,3.6,24.0,2038,205,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,3,190821_195207,4cfd7c8a-d41d-4ed2-8bdd-161aa5413123,1,1,1,S,Swinging Strike,SL,14,2.0,3.52,1.7,84.3,78.3,,-2.46,50.0,5.78,0.01,0.65,0.56,2.42,5.82,-122.55,-6.59,0.86,22.64,-28.47,3.6,8.4,24.0,2362,144,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,4,190821_195230,ff89c45c-c22f-4b97-8554-57d259f04ab0,1,1,1,S,Foul,SL,11,2.0,3.53,1.7,84.0,78.2,,-2.57,50.0,5.98,-0.77,2.85,1.14,1.25,4.01,-122.44,-1.4,1.76,21.02,-30.24,4.8,8.4,24.0,2393,128,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,5,190821_195255,7096982a-8927-4d31-8a9c-7ddbca8a65f5,1,1,1,S,Foul,FF,11,2.0,3.56,1.7,90.5,83.1,,-2.73,50.0,5.9,-1.08,3.07,-8.25,7.48,7.09,-131.6,-3.73,-14.55,26.61,-18.99,33.6,6.0,24.0,2052,225,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,6,190821_195314,8a39d6b8-df02-40f2-ae8d-c2f69633c047,1,2,1,B,Ball,FF,11,2.0,3.64,1.7,92.0,84.5,,-2.52,50.0,5.93,-0.46,4.69,-7.38,7.74,7.98,-133.71,0.12,-13.48,26.45,-18.03,33.6,4.8,24.0,1871,219,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,606466,L,6,Flyout,7,7,190821_195339,b51a966c-1545-44d4-8adf-01d53a9bb512,2,2,1,X,In play- out(s),SL,14,2.0,3.5,1.48,83.0,75.2,,-2.72,50.0,5.69,0.02,1.33,1.12,1.14,6.11,-120.59,-3.82,1.62,27.93,-30.53,4.8,8.4,24.0,2300,108,,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,500871,L,7,Double,3,1,190821_195408,c1a8d033-caa6-4f5e-af01-a182be5544f5,0,0,2,S,Called Strike,FF,11,2.0,3.16,1.48,90.3,83.1,,-2.28,50.0,6.15,-0.91,2.56,-5.67,8.63,5.45,-131.31,-6.04,-9.95,26.27,-17.02,26.4,4.8,24.0,1902,211,,,,,500871,,0,0,2,bottom
2019-08-24,564894,1,543532,R,500871,L,7,Double,3,2,190821_195423,b1dc5d39-5bfa-46c5-80ed-e3d4af514152,0,1,2,B,Ball,FF,12,2.0,3.16,1.48,89.1,81.5,,-2.63,50.0,5.91,0.65,4.24,-6.53,8.21,10.55,-129.28,-0.71,-11.09,26.0,-18.23,26.4,4.8,24.0,1925,212,,,,,500871,,0,0,2,bottom
2019-08-24,564894,1,543532,R,500871,L,7,Double,3,3,190821_195443,400b1aea-3a78-4f76-b8a7-42eb4e405bc0,1,1,2,X,In play- no out,FF,4,2.0,3.09,1.48,90.6,83.5,,-2.37,50.0,6.08,-0.4,2.24,-5.26,8.48,6.91,-131.7,-6.72,-9.3,26.27,-17.19,22.8,4.8,24.0,1933,209,,,,,500871,,0,0,2,bottom
2019-08-24,564894,1,543532,R,444482,L,8,Walk,5,1,190821_195537,89f406a0-992a-4b23-9400-4c145147bec6,0,0,2,B,Ball,SL,11,2.0,3.42,1.64,79.5,73.4,,-2.9,50.0,5.87,-1.51,2.84,1.43,0.4,2.76,-115.84,-0.04,1.95,20.98,-31.63,4.8,9.6,24.0,2213,107,,500871,,444482,,,0,0,2,bottom
2019-08-24,564894,1,543532,R,444482,L,8,Walk,5,2,190821_195559,8fed95e8-c5f8-4f18-a979-ef5d6ccec83d,1,0,2,B,Ball,SL,14,2.0,3.52,1.64,83.9,77.5,,-2.63,50.0,5.61,0.72,1.21,-0.34,1.46,8.18,-121.87,-4.37,-0.51,23.41,-29.97,1.2,8.4,24.0,2269,146,,500871,,444482,,,0,0,2,bottom
2019-08-24,564894,1,543532,R,444482,L,8,Walk,5,3,190821_195626,65f43421-e05a-4273-908f-6ef2345018f6,2,0,2,B,Ball,FF,11,2.0,3.5,1.64,90.3,82.5,,-2.32,50.0,6.3,-1.6,4.85,-5.42,9.18,3.71,-131.43,-0.66,-9.49,27.53,-16.1,28.8,4.8,24.0,1987,208,,500871,,444482,,,0,0,2,bottom
2019-08-24,564894,1,543532,R,444482,L,8,Walk,5,4,190821_195700,4f8cd54c-b874-4df5-a42e-92329517427c,3,0,2,S,Called Strike,FF,5,2.0,3.4,1.64,89.4,81.9,,-2.34,50.0,6.01,-0.14,2.62,-5.49,9.73,7.49,-129.94,-5.69,-9.4,26.89,-15.51,25.2,4.8,24.0,1953,206,,500871,,444482,,,0,0,2,bottom
2019-08-24,564894,1,543532,R,444482,L,8,Walk,5,5,190821_195722,211dcc2e-7581-498e-b70f-cb2e4e0b1fe9,3,1,2,B,Ball In Dirt,FF,13,2.0,3.53,1.64,90.0,82.8,,-2.0,50.0,5.89,-0.1,0.61,-6.71,9.91,7.16,-130.53,-10.72,-11.63,26.46,-15.01,31.2,4.8,24.0,1991,213,,500871,,444482,,,0,0,2,bottom
2019-08-24,564894,1,543532,R,571875,L,9,Flyout,7,1,190821_195809,4a8df2e8-b345-480d-8ec0-7ada9a8d0438,0,0,2,S,Called Strike,SL,5,2.0,3.39,1.65,83.9,78.2,,-2.76,50.0,5.8,0.15,2.55,0.83,0.93,6.81,-122.09,-1.56,1.27,20.83,-30.74,4.8,8.4,24.0,2343,119,444482,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,571875,L,9,Flyout,7,2,190821_195830,2bed53ef-cfc3-4e93-80be-a099e506b1d9,0,1,2,B,Ball,FF,12,2.0,3.35,1.65,89.6,82.6,,-2.39,50.0,6.17,0.05,3.58,-6.67,8.15,8.54,-130.25,-3.21,-11.56,24.88,-18.04,27.6,4.8,24.0,1965,215,444482,,,,,,0,1,2,bottom
2019-08-24,564894,1,543532,R,571875,L,9,Flyout,7,3,190821_195855,caa810b6-2835-40c6-9195-2fb20431b5d8,1,1,2,B,Ball,SL,13,2.0,3.31,1.65,85.2,79.4,,-2.94,50.0,5.71,-1.44,1.8,1.0,1.23,3.37,-124.1,-3.51,1.59,21.62,-30.22,3.6,8.4,24.0,2283,125,444482,,,,,,0,1,2,bottom
