Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-05-30,530236,6,623402,R,645277,L,43,Lineout,3,1,180531_011027,b6e65348-5e01-4b05-8a9e-3b8a7be6daa1,0,1,0,F,Foul,FF,5,2.0,3.46,1.65,89.7,82.5,37.3,0.37,50.0,5.83,0.08,2.31,-0.06,10.26,-0.72,-130.67,-6.31,-0.11,26.44,-14.35,1.2,3.6,24.0,2243,180,,,,,,,0,1,1,bottom
2018-05-30,530236,6,623402,R,645277,L,43,Lineout,3,2,180531_011049,870de858-df68-47c8-8500-99246f5fcd24,0,2,0,F,Foul,CH,7,2.0,3.27,1.5,81.9,75.9,38.76,0.12,50.0,5.8,-0.5,1.82,-5.07,5.66,0.09,-119.29,-4.33,-7.37,21.29,-23.96,16.8,7.2,24.0,1369,223,,,,,,,0,1,1,bottom
2018-05-30,530236,6,623402,R,645277,L,43,Lineout,3,3,180531_011122,43d5257a-0ae7-4e02-9ddc-54595eac15c3,0,2,0,X,In play- out(s),FF,8,2.0,3.42,1.69,91.5,84.3,33.59,0.27,50.0,5.79,-0.24,2.05,-2.81,9.23,-0.36,-133.23,-6.92,-5.09,27.12,-15.49,16.8,3.6,24.0,2226,198,,,,,,,0,1,1,bottom
2018-05-30,530236,6,623402,R,518692,L,44,Groundout,1,1,180531_011148,35be6d91-ddb9-4571-b0a0-b00741a71709,0,0,1,X,In play- out(s),CH,7,2.0,3.53,1.81,81.9,75.7,65.73,0.02,50.0,5.83,-0.68,2.2,-5.59,5.3,0.05,-119.26,-3.4,-8.1,21.67,-24.5,18.0,7.2,24.0,1404,227,,,,,,,0,1,1,bottom
2018-05-30,530236,6,623402,R,455976,L,45,Flyout,3,1,180531_011226,a5861784-92b0-4cfd-af35-a68eeaa6c0ac,0,1,2,C,Called Strike,FF,14,2.0,3.6,1.92,92.1,84.5,64.12,0.43,50.0,5.76,0.44,1.8,-1.51,11.35,0.54,-133.92,-8.3,-2.76,28.27,-11.51,10.8,3.6,24.0,2181,187,,,,,,,0,1,1,bottom
2018-05-30,530236,6,623402,R,455976,L,45,Flyout,3,2,180531_011246,0cb34f41-b830-45cb-b951-e26ec6dcff65,0,1,2,B,Ball,FF,14,2.0,3.55,1.79,91.5,84.1,19.52,0.35,50.0,5.58,0.16,-0.07,-2.21,10.77,0.27,-132.78,-12.37,-3.95,27.83,-12.91,14.4,3.6,24.0,2315,192,,,,,,,0,1,1,bottom
2018-05-30,530236,6,623402,R,455976,L,45,Flyout,3,3,180531_011303,472c4fd2-59cf-468c-a545-dd5cbc7568cc,1,1,2,X,In play- out(s),CH,7,2.0,3.53,1.81,81.9,75.1,43.06,0.1,50.0,5.82,-0.59,2.05,-6.16,4.93,0.27,-119.22,-3.52,-8.84,23.58,-25.11,19.2,7.2,24.0,1344,232,,,,,,,0,1,1,bottom
2018-05-30,530236,7,623402,R,435559,R,51,Flyout,3,1,180531_012720,5544e460-9f83-45b4-b5e6-23c0bfa65c13,0,1,0,C,Called Strike,SL,5,2.0,3.13,1.41,79.7,73.6,49.31,0.24,50.0,5.97,0.21,2.42,4.48,-1.72,-1.41,-115.98,-0.61,6.12,21.03,-34.52,9.6,10.8,24.0,2015,69,,,,,,,0,1,2,bottom
2018-05-30,530236,7,623402,R,435559,R,51,Flyout,3,2,180531_012741,26013240-33ef-461b-911f-c7d97db3c7ab,0,1,0,B,Ball,SL,14,2.0,3.26,1.47,81.4,75.0,16.61,0.19,50.0,5.8,1.86,1.86,6.59,-0.28,1.9,-118.42,-2.23,9.34,22.95,-32.56,16.8,9.6,24.0,2207,86,,,,,,,0,1,2,bottom
2018-05-30,530236,7,623402,R,435559,R,51,Flyout,3,3,180531_012819,49df616d-338e-4217-9c73-f87ebd3dbef5,1,1,0,X,In play- out(s),FF,5,2.0,3.26,1.47,90.6,83.2,21.03,0.55,50.0,5.84,0.11,2.66,-0.04,9.8,-1.14,-131.98,-5.46,-0.07,27.18,-14.82,1.2,3.6,24.0,2203,181,,,,,,,0,1,2,bottom
