Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-07-20,530872,6,600303,R,425877,R,59,Flyout,1,1,180720_210306,3ef934d8-a68b-448e-9bcd-26599d29ff5f,0,0,2,X,In play- out(s),FF,3,2.0,3.41,1.56,72.2,66.5,56.09,-1.75,50.0,5.52,0.59,2.82,-4.18,7.31,5.97,-104.89,0.17,-4.68,16.79,-23.98,8.4,8.4,24.0,1488,203,,,,,,,0,1,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,1,180720_211543,a2e83566-033d-4a1e-9bf8-e61759a93e25,0,0,0,B,Ball,FF,14,2.0,3.41,1.57,72.6,66.8,79.44,-1.93,50.0,5.26,0.94,1.39,-5.42,6.8,7.44,-105.35,-2.16,-6.11,17.54,-24.52,10.8,9.6,24.0,1755,212,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,2,180720_211555,3ce9f78e-1391-44ed-8f40-153aa2c70f0e,1,1,0,F,Foul,FF,12,2.0,3.41,1.57,74.3,68.2,46.19,-2.1,50.0,5.49,0.4,3.8,-2.37,8.16,6.0,-107.95,1.66,-2.82,17.85,-22.49,4.8,7.2,24.0,1876,190,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,3,180720_211609,108449da-4689-448d-8ec3-882f5821987a,1,1,0,B,Ball,FF,11,2.0,3.41,1.57,76.2,70.2,58.69,-2.13,50.0,5.31,-1.1,3.37,-2.34,8.13,2.93,-110.86,0.73,-2.93,18.44,-21.98,6.0,7.2,24.0,1743,193,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,4,180720_211619,fa99e64d-6c34-4495-a3d2-17c815ab162d,2,2,0,F,Foul,FF,5,2.0,3.41,1.57,74.9,69.8,24.56,-2.07,50.0,5.33,0.15,2.19,-3.51,6.98,5.8,-109.02,-1.37,-4.29,16.05,-23.63,8.4,8.4,24.0,1694,201,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,5,180720_211633,d5debd77-4208-4d07-85f3-41fbfce851d8,2,2,0,B,Ball,FF,14,2.0,3.41,1.57,75.3,69.7,29.28,-1.95,50.0,5.39,0.45,1.06,-2.47,6.05,5.89,-109.52,-3.66,-3.01,18.45,-24.79,4.8,8.4,24.0,1706,196,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,6,180720_211646,d33af828-37d2-46fb-b261-30378176c317,3,2,0,F,Foul,FF,4,2.0,3.41,1.57,76.3,70.1,31.33,-2.04,50.0,5.34,-0.51,2.48,-4.12,7.47,4.54,-110.97,-1.07,-5.15,19.45,-22.84,10.8,7.2,24.0,1745,204,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,594824,L,65,Home Run,7,7,180720_211713,3be9bcfa-963b-4be9-8102-029f31d38497,3,2,0,E,In play- run(s),FF,14,2.0,3.37,1.53,76.9,70.1,48.92,-1.94,50.0,5.17,0.76,1.96,-4.8,7.5,7.31,-111.57,-1.88,-6.03,20.93,-22.77,12.0,7.2,24.0,1704,206,,,,,,,1,0,-14,top
2018-07-20,530872,7,600303,R,664056,R,66,Single,6,1,180720_211745,1e26f1d6-25ed-463f-bc70-f9c39ecf392e,0,0,0,B,Ball,FF,14,2.0,3.37,1.53,77.2,71.0,35.4,-1.75,50.0,5.22,1.44,2.15,-8.7,5.34,9.57,-111.97,-1.08,-11.1,19.18,-25.35,20.4,8.4,24.0,1762,233,,,,664056,,,0,0,-15,top
2018-07-20,530872,7,600303,R,664056,R,66,Single,6,2,180720_211755,39eb8742-8864-4989-85a1-4558a55858fe,1,1,0,F,Foul,FF,13,2.0,3.37,1.53,74.6,68.7,54.39,-1.9,50.0,5.2,-1.26,1.76,-7.17,5.8,3.37,-108.44,-1.5,-8.57,18.34,-25.24,18.0,9.6,24.0,1637,229,,,,664056,,,0,0,-15,top
