Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-06,490142,7,571561,L,571830,R,54,Lineout,6,1,170406_185117,0edf789a-2611-4e95-8c41-fc29ab76e25b,0,1,0,C,Called Strike,FF,4,2.0,3.29,1.65,92.7,84.4,55.91,2.27,50.0,5.3,-0.58,2.58,4.94,13.72,-9.27,-134.63,-5.88,9.04,29.9,-7.06,39.6,2.4,24.0,2245,163,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,571830,R,54,Lineout,6,2,170406_185133,366d4fa7-6107-439c-9e58-ac2b7a55a52c,0,1,0,B,Ball,CH,13,2.0,3.33,1.55,86.7,79.8,30.57,2.16,50.0,5.03,-0.42,0.26,3.22,5.66,-7.46,-126.0,-7.22,5.18,25.58,-23.07,8.4,6.0,24.0,,155,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,571830,R,54,Lineout,6,3,170406_185155,eb6ff44a-383c-4c6d-82c7-ec0e799b0ca5,1,2,0,F,Foul,SL,13,2.0,3.68,1.5,85.2,78.6,38.07,2.28,50.0,4.94,-0.11,1.41,4.34,-0.46,-7.24,-123.9,-1.94,6.78,23.78,-32.89,9.6,8.4,24.0,569,81,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,571830,R,54,Lineout,6,4,170406_185218,6ebd7a66-9a8a-4ea4-8920-d648b12332df,1,2,0,B,Ball,FF,13,2.0,3.48,1.78,93.8,86.0,22.46,2.25,50.0,4.91,-1.46,1.15,6.06,10.13,-12.12,-136.15,-7.69,11.41,29.12,-13.1,31.2,3.6,24.0,2138,153,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,571830,R,54,Lineout,6,5,170406_185239,336ef89d-b2ef-4feb-ae2c-d789cfd7ebe6,2,2,0,B,Ball,FF,13,2.0,3.25,1.58,94.1,87.3,24.43,2.38,50.0,4.92,-0.14,0.6,3.56,11.64,-8.1,-136.75,-9.94,6.84,25.77,-9.78,25.2,2.4,24.0,2276,165,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,571830,R,54,Lineout,6,6,170406_185260,6e5edb0f-e138-43db-99ed-091987180ebb,3,2,0,X,In play- out(s),FF,5,2.0,3.68,1.5,93.6,84.9,22.02,2.28,50.0,5.07,-0.04,2.5,4.84,13.32,-7.89,-136.13,-5.51,9.02,31.96,-7.36,39.6,2.4,24.0,2184,163,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,514917,R,55,Groundout,4,1,170406_185334,8d48831f-3dbc-4958-a421-2955543112ab,0,0,1,B,Ball,FF,13,2.0,3.62,1.47,93.0,84.9,63.54,2.17,50.0,4.98,-1.23,0.62,4.75,14.99,-10.67,-134.78,-10.74,8.72,29.6,-4.63,43.2,2.4,24.0,2235,165,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,514917,R,55,Groundout,4,2,170406_185355,d0f80a2a-87df-42e1-938a-eea6301a206e,1,0,1,B,Ball,FF,13,2.0,3.5,1.71,94.4,85.8,25.41,2.1,50.0,4.84,-1.85,-1.1,7.62,17.36,-13.25,-136.11,-15.99,14.24,31.01,0.27,73.2,2.4,24.0,,158,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,514917,R,55,Groundout,4,3,170406_185424,e18cd690-7933-46cb-a594-73d24eb881f8,2,1,1,C,Called Strike,FF,4,2.0,3.5,1.74,92.9,84.4,30.39,2.22,50.0,5.11,-0.26,2.33,6.07,14.2,-8.68,-134.93,-6.23,11.13,30.65,-6.12,50.4,2.4,24.0,2314,159,,,,,,,0,1,1,top
2017-04-06,490142,7,571561,L,514917,R,55,Groundout,4,4,170406_185438,81ea92e8-3cae-46cd-aa50-2ebb2863de99,2,1,1,X,In play- out(s),FF,4,2.0,3.62,1.47,93.2,84.7,39.7,2.26,50.0,5.05,-0.46,2.21,4.81,13.49,-8.92,-135.33,-6.22,8.88,30.89,-7.28,38.4,2.4,24.0,2316,163,,,,,,,0,1,1,top
