Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-23,564871,1,664062,R,502481,L,3,Single,4,1,190626_194948,719fecbe-9906-4be9-a56e-b6819f6b6485,0,0,0,S,Swinging Strike,FF,13,2.0,3.43,1.75,95.4,87.8,,-1.17,50.0,5.9,-0.93,2.25,-5.74,9.84,2.73,-138.73,-7.67,-11.27,28.8,-12.86,37.2,3.6,24.0,2413,210,,,,502481,,,0,0,0,bottom
2019-09-23,564871,1,664062,R,502481,L,3,Single,4,2,190626_195013,23a4cd5a-5c9b-4d8f-822a-0ed84e3450a6,0,1,0,S,Foul,FS,13,2.0,3.29,1.68,87.3,80.5,,-1.05,50.0,5.73,-0.24,1.14,-8.5,7.91,4.79,-126.9,-7.7,-13.93,24.76,-19.22,32.4,6.0,24.0,2101,227,,,,502481,,,0,0,0,bottom
2019-09-23,564871,1,664062,R,502481,L,3,Single,4,3,190626_195034,05299727-1097-4b32-a213-abcf59a88312,0,2,0,B,Ball,FS,13,2.0,3.43,1.77,87.3,80.7,,-1.13,50.0,5.55,-0.28,0.46,-7.64,8.4,4.64,-126.7,-9.12,-12.52,23.88,-18.41,30.0,6.0,24.0,2049,223,,,,502481,,,0,0,0,bottom
2019-09-23,564871,1,664062,R,502481,L,3,Single,4,4,190626_195051,480b4516-fe6e-476f-832c-3750272e9cb2,1,2,0,X,In play- no out,FF,13,2.0,3.12,1.51,95.7,87.4,,-1.07,50.0,5.83,-1.08,1.96,-6.27,10.84,2.2,-139.05,-8.61,-12.26,31.51,-10.97,42.0,3.6,24.0,2538,211,,,,502481,,,0,0,0,bottom
2019-09-23,564871,1,664062,R,641796,R,4,Single,6,1,190626_195133,44bd2bae-bf21-4987-a575-f38317aaf4ea,0,0,0,S,Called Strike,FF,1,2.0,3.32,1.58,94.9,86.7,,-1.04,50.0,5.97,-0.46,2.77,-6.14,9.37,3.77,-137.89,-6.13,-11.83,30.52,-14.12,36.0,3.6,24.0,2486,212,502481,,,641796,,502481,0,0,0,bottom
2019-09-23,564871,1,664062,R,641796,R,4,Single,6,2,190626_195156,14b4b00e-20e2-457f-8ebc-bc6408dfc428,0,1,0,B,Ball In Dirt,SL,14,2.0,3.15,1.5,91.1,84.8,,-1.18,50.0,5.76,0.47,0.64,-0.45,6.3,4.48,-132.49,-9.5,-0.82,24.71,-20.82,0.0,4.8,24.0,2564,179,502481,,,641796,,502481,0,0,0,bottom
2019-09-23,564871,1,664062,R,641796,R,4,Single,6,3,190626_195307,568559d7-7275-4a53-81ca-64b46cbc186f,1,1,0,S,Called Strike,FF,8,2.0,3.66,1.77,95.9,87.9,,-0.99,50.0,5.93,-0.14,2.13,-6.66,10.67,4.74,-139.22,-8.44,-13.12,30.0,-11.15,43.2,3.6,24.0,2503,211,502481,,,641796,,502481,0,0,0,bottom
2019-09-23,564871,1,664062,R,641796,R,4,Single,6,4,190626_195351,e72b92ef-afa8-48b1-91ce-d42057c345c2,1,2,0,X,In play- no out,FF,14,2.0,3.4,1.63,96.2,88.2,,-0.89,50.0,5.89,0.16,1.41,-7.6,10.52,5.63,-139.72,-10.33,-15.06,30.82,-11.34,45.6,3.6,24.0,2607,216,502481,,,641796,,502481,0,0,0,bottom
2019-09-23,564871,1,664062,R,444482,L,5,Field Error,5,1,190626_195445,9a93b1df-767d-48ba-9983-688be1059dea,0,0,0,B,Ball,FS,11,2.0,3.5,1.72,86.7,79.3,,-1.39,50.0,5.95,-1.58,3.56,-6.31,7.18,1.56,-126.14,-1.83,-10.17,25.7,-20.61,25.2,6.0,24.0,1985,220,641796,,502481,444482,,641796,1,0,0,bottom
2019-09-23,564871,1,664062,R,444482,L,5,Field Error,5,2,190626_195506,45630633-9f7a-4115-b2ae-bc97db2c2556,1,0,0,S,Called Strike,FS,4,2.0,3.47,1.74,87.0,79.6,,-1.34,50.0,5.78,-0.44,2.3,-9.49,6.98,5.32,-126.45,-4.49,-15.35,26.13,-20.89,33.6,6.0,24.0,2157,233,641796,,502481,444482,,641796,1,0,0,bottom
