Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-22,565896,7,448609,L,607043,L,52,Strikeout,6,1,190330_190946,cb60634d-3890-4dc7-bbda-132700b37e07,0,0,0,S,Swinging Strike,FF,3,2.0,3.49,1.6,89.9,82.1,,2.68,50.0,5.87,0.49,2.9,5.6,9.32,-7.52,-130.58,-4.53,9.66,27.76,-16.09,25.2,4.8,24.0,2075,152,,,,,,,0,1,0,top
2019-09-22,565896,7,448609,L,607043,L,52,Strikeout,6,2,190330_191006,35aa4f5e-da4e-4abe-974c-74cd88102cab,0,1,0,B,Ball,FF,12,2.0,3.33,1.65,89.3,81.4,,2.56,50.0,6.14,1.36,4.75,4.73,8.82,-4.66,-129.98,-0.23,8.08,27.6,-17.1,22.8,4.8,24.0,2056,155,,,,,,,0,1,0,top
2019-09-22,565896,7,448609,L,607043,L,52,Strikeout,6,3,190330_191026,e50e742d-3154-4a7c-aa38-42017cdb56ca,1,1,0,B,Ball,FF,11,2.0,3.24,1.6,89.5,81.6,,2.44,50.0,5.98,-0.74,3.72,5.79,10.1,-10.09,-129.89,-2.89,9.89,27.28,-14.92,26.4,3.6,24.0,2068,155,,,,,,,0,1,0,top
2019-09-22,565896,7,448609,L,607043,L,52,Strikeout,6,4,190330_191047,4d45ada7-ea0d-4456-9d35-7169070e9c3b,2,1,0,B,Ball,FF,13,2.0,3.34,1.63,90.3,83.0,,2.53,50.0,5.72,-1.18,0.74,5.74,9.2,-11.52,-130.77,-9.75,9.98,26.63,-16.19,22.8,4.8,24.0,2102,151,,,,,,,0,1,0,top
2019-09-22,565896,7,448609,L,607043,L,52,Strikeout,6,5,190330_191111,3c9c1276-b8d9-4203-a554-84835f0f0861,3,1,0,S,Foul,FF,6,2.0,3.49,1.6,89.9,82.3,,2.61,50.0,5.85,0.29,2.54,5.89,9.29,-7.98,-130.55,-5.41,10.19,26.85,-16.11,26.4,4.8,24.0,2101,150,,,,,,,0,1,0,top
2019-09-22,565896,7,448609,L,607043,L,52,Strikeout,6,6,190330_191137,2a476810-889e-4af3-844c-2f208449c94a,3,2,0,S,Swinging Strike,FF,4,2.0,3.49,1.6,89.5,82.5,,2.47,50.0,5.91,-0.57,2.82,6.14,8.27,-9.89,-129.94,-4.47,10.59,24.88,-17.9,25.2,4.8,24.0,1981,147,,,,,,,0,1,0,top
2019-09-22,565896,7,448609,L,624413,R,53,Walk,6,1,190330_191211,f21f528d-b32a-46e2-bcc0-900cf0743429,0,0,1,B,Ball,FF,12,2.0,3.38,1.61,89.7,82.1,,2.81,50.0,6.03,1.06,4.22,1.8,9.97,-5.1,-130.47,-1.78,3.12,26.81,-14.94,7.2,3.6,24.0,2057,173,,,,624413,,,0,0,0,top
2019-09-22,565896,7,448609,L,624413,R,53,Walk,6,2,190330_191230,fe38a7c6-6bbf-4c86-8699-63a2f83753dd,1,0,1,B,Ball,FF,11,2.0,3.41,1.57,89.8,82.3,,2.75,50.0,5.98,-0.28,4.45,3.68,8.62,-9.04,-130.47,-0.6,6.37,26.34,-17.25,14.4,4.8,24.0,1880,163,,,,624413,,,0,0,0,top
2019-09-22,565896,7,448609,L,624413,R,53,Walk,6,3,190330_191250,23a17ae4-4c3a-45e6-b4c1-b380ea960cd0,2,0,1,S,Called Strike,FS,12,2.0,3.35,1.55,76.3,69.4,,2.67,50.0,5.96,0.83,2.71,6.26,5.67,-5.78,-110.7,-1.31,7.7,21.29,-25.2,14.4,8.4,24.0,,136,,,,624413,,,0,0,0,top
2019-09-22,565896,7,448609,L,624413,R,53,Walk,6,4,190330_191311,1a8ae787-ec2f-4a2d-b366-f6cad84bd521,2,1,1,S,Foul,FF,5,2.0,3.49,1.6,88.5,80.6,,2.49,50.0,5.85,0.06,2.62,5.17,9.01,-7.87,-128.56,-4.79,8.6,27.88,-17.17,20.4,4.8,24.0,2007,154,,,,624413,,,0,0,0,top
