Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-11,566277,8,453265,L,435079,R,62,Pop Out,5,1,190331_032906,1d13c942-db55-4036-a5df-192b049eb865,0,0,0,S,Called Strike,SI,7,2.0,3.37,1.6,91.2,82.4,,3.03,50.0,4.84,-0.25,1.58,13.55,5.48,-13.07,-131.88,-4.08,23.65,30.52,-22.62,40.8,7.2,24.0,2355,113,,,,,,,0,1,1,bottom
2019-09-11,566277,8,453265,L,435079,R,62,Pop Out,5,2,190331_032922,49f91645-9af1-477f-9a99-0e1c29f80e8f,0,1,0,S,Swinging Strike,CH,8,2.0,3.37,1.53,83.7,75.7,,3.12,50.0,4.91,0.09,1.9,12.79,5.11,-11.15,-121.1,-2.0,18.8,25.89,-24.66,33.6,8.4,24.0,2366,114,,,,,,,0,1,1,bottom
2019-09-11,566277,8,453265,L,435079,R,62,Pop Out,5,3,190331_032957,3d452206-5b21-45c8-809b-4b7ee41fd952,0,2,0,B,Ball,CH,14,2.0,3.34,1.56,83.9,76.4,,3.1,50.0,4.91,0.26,1.16,12.69,4.98,-10.74,-121.47,-3.79,18.87,24.88,-24.77,33.6,8.4,24.0,2451,112,,,,,,,0,1,1,bottom
2019-09-11,566277,8,453265,L,435079,R,62,Pop Out,5,4,190331_033017,808e8c0e-9a0e-4a97-9f4f-f245553dbbbb,1,2,0,B,Ball,CH,12,2.0,3.38,1.47,83.7,76.0,,3.37,50.0,5.07,2.35,3.41,11.2,4.33,-5.92,-121.51,1.39,16.67,24.9,-25.73,31.2,8.4,24.0,2328,114,,,,,,,0,1,1,bottom
2019-09-11,566277,8,453265,L,435079,R,62,Pop Out,5,5,190331_033047,dadb569e-65a9-487c-acf0-96fea26a4a6d,2,2,0,X,In play- out(s),SI,1,2.0,3.37,1.53,91.2,82.7,,3.0,50.0,5.05,-0.46,3.08,10.06,5.59,-12.41,-132.09,-0.84,17.7,29.29,-22.35,33.6,6.0,24.0,2359,123,,,,,,,0,1,1,bottom
2019-09-11,566277,8,453265,L,543333,L,63,Single,2,1,190331_033147,7e5112db-b9e0-4102-b81d-4c083296793f,0,0,1,S,Called Strike,SL,12,2.0,3.93,1.85,83.4,76.8,,3.32,50.0,5.08,0.74,2.59,-0.4,2.82,-6.07,-121.17,-0.14,-0.6,22.24,-27.95,3.6,7.2,24.0,2301,201,,,,543333,,,0,0,1,bottom
2019-09-11,566277,8,453265,L,543333,L,63,Single,2,2,190331_033212,c7940b7b-336a-4d45-84d3-cb58d03a7b92,0,1,1,X,In play- no out,SI,6,2.0,3.49,1.6,91.2,83.0,,3.07,50.0,4.9,0.56,2.44,12.64,3.98,-10.85,-132.28,-1.59,22.33,28.91,-25.14,38.4,7.2,24.0,2292,109,,,,543333,,,0,0,1,bottom
2019-09-11,566277,8,453265,L,592518,R,64,Single,2,1,190331_033258,1302c102-4f81-45d4-8ea4-5608e4fc48d5,0,0,1,S,Called Strike,SI,8,2.0,3.86,1.86,91.3,83.3,,2.96,50.0,4.94,-0.15,1.84,12.85,3.61,-12.45,-132.16,-3.13,22.74,28.09,-25.79,37.2,7.2,24.0,2254,106,543333,,,592518,543333,,0,0,1,bottom
2019-09-11,566277,8,453265,L,592518,R,64,Single,2,2,190331_033320,986a8412-bfa2-4671-aac4-efa0600a79f7,0,1,1,X,In play- no out,SI,12,2.0,3.49,1.6,91.3,82.9,,3.21,50.0,5.0,0.98,2.6,13.12,2.73,-10.27,-132.46,-1.02,23.19,29.7,-27.35,37.2,8.4,24.0,2292,103,543333,,,592518,543333,,0,0,1,bottom
2019-09-11,566277,8,453265,L,571976,R,65,Forceout,3,1,190331_033427,80f713b4-cf12-4a7c-bb06-f4e6c96ce0e9,0,0,1,S,Swinging Strike,CH,9,2.0,3.49,1.6,84.1,76.6,,3.05,50.0,5.01,0.55,2.23,12.81,3.9,-10.0,-121.83,-1.21,19.23,24.33,-26.32,33.6,8.4,24.0,2318,108,592518,543333,,,,543333,0,1,1,bottom
2019-09-11,566277,8,453265,L,571976,R,65,Forceout,3,2,190331_033451,67b7f9f8-fb9b-4b5b-a125-ed45b49959ec,0,1,1,S,Swinging Strike,SI,1,2.0,3.49,1.6,91.8,84.0,,2.95,50.0,5.07,-0.24,3.4,10.46,6.47,-12.0,-133.11,-0.51,18.88,27.06,-20.5,38.4,6.0,24.0,2407,125,592518,543333,,,,543333,0,1,1,bottom
