Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-24,566963,1,545333,R,596146,L,3,Pop Out,3,1,190330_182016,169efbd1-62c4-4697-a532-298a848d24db,0,0,0,B,Ball,FF,11,2.0,3.44,1.71,95.2,86.3,,-1.53,50.0,5.53,-1.87,3.93,-7.87,9.44,1.86,-138.55,-1.82,-15.18,33.25,-13.97,45.6,4.8,24.0,2321,219,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,596146,L,3,Pop Out,3,2,190330_182031,4797223d-775f-444c-8d88-1bf69101ba27,1,0,0,S,Foul,FF,4,2.0,3.55,1.63,94.7,86.8,,-1.31,50.0,5.44,-0.26,2.66,-7.4,8.34,5.49,-137.84,-4.61,-14.28,29.7,-16.08,37.2,4.8,24.0,2208,220,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,596146,L,3,Pop Out,3,3,190330_182104,15ff248e-a125-408d-b3ce-72dea25fbc9d,1,1,0,X,In play- out(s),FF,1,2.0,3.55,1.63,95.0,86.9,,-1.36,50.0,5.45,-0.63,3.04,-6.45,10.67,4.29,-138.24,-4.49,-12.51,30.11,-11.47,43.2,3.6,24.0,2383,210,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,593871,L,4,Strikeout,4,1,190330_182148,106d798a-29a0-4042-9296-03bea6fc3943,0,0,1,S,Swinging Strike,FF,4,2.0,3.32,1.51,93.7,85.3,,-1.4,50.0,5.38,-0.54,2.47,-8.23,10.47,5.18,-136.25,-5.47,-15.4,30.97,-12.56,45.6,4.8,24.0,2152,217,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,593871,L,4,Strikeout,4,2,190330_182206,c9c54456-318c-44b4-ad83-01e114bbc2bd,0,1,1,S,Foul,FT,4,2.0,3.32,1.51,94.6,87.2,,-1.35,50.0,5.33,-0.36,2.41,-10.41,6.65,6.38,-137.57,-4.41,-20.12,27.95,-19.32,43.2,6.0,24.0,2188,237,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,593871,L,4,Strikeout,4,3,190330_182236,e3ec9bcd-b39c-457c-96cd-90dbf6cd4466,0,2,1,B,Ball,CH,14,2.0,3.33,1.51,89.4,81.8,,-1.18,50.0,5.09,1.43,-1.78,-10.6,10.18,10.13,-129.19,-14.52,-17.83,28.13,-15.04,40.8,6.0,24.0,1548,227,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,593871,L,4,Strikeout,4,4,190330_182301,8da5c5b5-1f86-4259-8eb6-bccdf118d37e,1,2,1,S,Swinging Strike,CH,13,2.0,3.32,1.51,87.3,80.0,,-1.16,50.0,5.4,-0.09,1.27,-9.52,3.41,5.77,-126.82,-5.03,-15.48,26.21,-26.63,27.6,7.2,24.0,1211,251,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,443558,R,5,Lineout,6,1,190330_182339,a4a2406b-a5a3-44c8-80c0-3f011c531919,0,0,2,S,Called Strike,FF,9,2.0,3.5,1.61,95.6,87.2,,-1.21,50.0,5.4,0.47,1.74,-7.26,10.35,7.18,-138.81,-7.84,-14.13,31.59,-12.01,42.0,3.6,24.0,2243,213,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,443558,R,5,Lineout,6,2,190330_182354,b30bf11a-1d03-4a03-91b0-a4dbaa715a89,0,1,2,B,Ball,FC,14,2.0,3.56,1.65,87.8,80.4,,-1.28,50.0,5.53,1.36,2.48,2.06,3.09,5.98,-127.63,-2.29,3.4,26.67,-27.09,9.6,7.2,24.0,2628,136,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,443558,R,5,Lineout,6,3,190330_182413,246990b7-deed-4ac9-afe3-bc308864f3d1,1,1,2,S,Foul,FC,14,2.0,3.47,1.59,86.2,78.1,,-1.35,50.0,5.57,0.93,2.38,2.07,1.07,4.92,-125.21,-1.63,3.25,28.62,-30.5,8.4,8.4,24.0,2489,110,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,443558,R,5,Lineout,6,4,190330_182431,0d9957f2-ec53-4fe6-9f80-9049f0b0b4f7,1,2,2,B,Ball,CH,14,2.0,3.56,1.66,88.5,80.7,,-1.14,50.0,5.39,0.51,0.84,-8.62,6.35,6.99,-128.48,-7.26,-14.31,28.23,-21.64,28.8,6.0,24.0,1388,234,,,,,,,0,1,0,bottom
2019-08-24,566963,1,545333,R,443558,R,5,Lineout,6,5,190330_182454,f7e508fe-ef96-4c5d-a60f-8cfe71c12f74,2,2,2,B,Ball,SL,14,2.0,3.49,1.63,82.0,74.9,,-1.23,50.0,5.34,2.59,0.77,7.62,1.81,6.62,-119.08,-4.34,10.78,25.99,-29.61,21.6,9.6,24.0,2674,98,,,,,,,0,1,0,bottom
