Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-31,529444,9,641627,R,594807,R,86,Groundout,4,1,180331_212611,209976c2-53dd-46d5-bb69-6eb7dad2c22f,0,1,2,C,Called Strike,CU,6,2.0,3.59,1.49,80.4,74.6,62.99,-2.86,50.0,5.2,0.31,2.42,5.04,-5.9,5.82,-116.87,2.3,7.03,20.42,-40.39,10.8,12.0,24.0,2069,46,571697,,,,571697,,0,1,6,bottom
2018-03-31,529444,9,641627,R,594807,R,86,Groundout,4,2,180331_212630,4bb85773-5cb1-4604-bed5-b694e9477c9e,0,1,2,B,Ball,SI,11,2.0,3.55,1.53,94.1,86.1,7.22,-3.06,50.0,4.85,-1.91,2.54,-9.94,3.66,6.61,-136.75,-1.56,-18.85,29.61,-25.24,34.8,7.2,24.0,1969,248,571697,,,,571697,,0,1,6,bottom
2018-03-31,529444,9,641627,R,594807,R,86,Groundout,4,3,180331_212657,0d269d65-c9f0-4127-a5c3-d67096406224,1,2,2,F,Foul,SI,8,2.0,3.27,1.35,94.9,87.1,28.82,-3.01,50.0,4.69,0.09,1.95,-10.36,2.97,12.1,-137.57,-2.61,-19.98,28.64,-26.44,33.6,7.2,24.0,2017,252,571697,,,,571697,,0,1,6,bottom
2018-03-31,529444,9,641627,R,594807,R,86,Groundout,4,4,180331_212720,37385c0d-79d6-489d-bd2b-f003c31d489d,1,2,2,X,In play- out(s),SI,8,2.0,3.32,1.55,95.4,87.6,29.55,-2.93,50.0,4.8,-0.13,2.12,-8.62,4.37,10.74,-138.38,-3.03,-16.83,28.82,-23.65,31.2,6.0,24.0,2061,240,571697,,,,571697,,0,1,6,bottom
2018-04-03,529483,8,641627,R,518692,L,76,Walk,5,1,180404_023926,585dd023-9a85-49d0-aa6b-b7c88020f098,0,0,0,B,Ball,CU,14,2.0,3.36,1.67,81.1,73.8,60.65,-2.52,50.0,5.09,1.35,1.17,7.5,-4.51,6.7,-117.66,-0.72,10.31,26.34,-38.38,16.8,12.0,24.0,2166,62,,,,518692,,,0,0,-6,bottom
2018-04-03,529483,8,641627,R,518692,L,76,Walk,5,2,180404_023940,00b0c683-cc80-48d0-8632-b59958a6b3f1,1,0,0,B,Ball,SI,14,2.0,3.38,1.63,96.1,87.4,18.52,-2.57,50.0,4.73,0.36,1.19,-11.27,4.88,12.08,-139.37,-5.6,-22.04,32.86,-22.63,38.4,6.0,24.0,2126,246,,,,518692,,,0,0,-6,bottom
2018-04-03,529483,8,641627,R,518692,L,76,Walk,5,3,180404_023954,510339df-7426-446f-a2aa-fdfde24ef0ba,2,1,0,C,Called Strike,SI,13,2.0,3.42,1.67,95.2,86.8,55.19,-2.72,50.0,4.75,-0.56,1.67,-10.45,3.52,9.59,-138.18,-3.74,-20.16,31.37,-25.38,34.8,7.2,24.0,2007,250,,,,518692,,,0,0,-6,bottom
2018-04-03,529483,8,641627,R,518692,L,76,Walk,5,4,180404_024009,6d7a69b0-c783-4215-91f7-bead286570a6,2,1,0,B,Ball,SI,13,2.0,3.4,1.69,95.6,86.4,68.72,-2.63,50.0,4.82,-0.94,1.5,-11.68,4.27,8.73,-138.87,-4.67,-22.51,34.99,-23.95,39.6,7.2,24.0,2076,250,,,,518692,,,0,0,-6,bottom
2018-04-03,529483,8,641627,R,518692,L,76,Walk,5,5,180404_024027,8d04d1ac-0b31-422d-86c7-fa8491b0d32a,3,1,0,B,Ball,SI,14,2.0,3.44,1.71,96.0,86.9,55.79,-2.3,50.0,4.82,1.05,2.21,-10.94,4.17,13.05,-138.98,-2.75,-21.23,33.39,-24.09,36.0,6.0,24.0,2162,246,,,,518692,,,0,0,-6,bottom
2018-04-03,529483,8,641627,R,455976,L,77,Double,2,1,180404_024101,eebb864d-ca61-4fd0-a3ea-e1579fe48381,0,0,0,B,Ball,SI,11,2.0,3.5,1.71,94.1,85.7,74.27,-2.86,50.0,4.92,-0.89,3.46,-10.09,4.04,8.83,-136.56,0.61,-19.05,30.18,-24.55,34.8,6.0,24.0,2113,244,518692,,,,455976,518692,0,0,-6,bottom
2018-04-03,529483,8,641627,R,455976,L,77,Double,2,2,180404_024122,9fef86f3-67f0-4921-83a4-8c0ccf1ded44,1,0,0,D,In play- no out,SI,6,2.0,3.5,1.75,94.7,86.1,34.83,-2.79,50.0,4.75,0.33,2.26,-11.01,5.92,12.31,-137.34,-2.9,-20.96,31.31,-20.91,39.6,6.0,24.0,1995,239,518692,,,,455976,518692,0,0,-6,bottom
2018-04-03,529483,8,641627,R,572669,R,78,Single,3,1,180404_024203,52c9ca2e-8d0f-4dac-a3a2-f9e823367495,0,1,0,C,Called Strike,CU,11,2.0,3.5,1.58,80.0,72.8,80.21,-2.93,50.0,5.29,-0.84,2.59,6.63,-7.52,2.8,-116.05,3.13,8.94,24.13,-42.31,13.2,13.2,24.0,2092,46,,455976,518692,572669,,,2,0,-6,bottom
2018-04-03,529483,8,641627,R,572669,R,78,Single,3,2,180404_024219,98e02123-c6dd-458e-8f2b-056b49b04035,0,1,0,B,Ball,CU,14,2.0,3.54,1.65,81.8,76.5,52.72,-2.79,50.0,5.04,0.9,1.41,4.62,-5.73,7.28,-118.96,0.01,6.71,20.15,-40.49,10.8,12.0,24.0,2201,44,,455976,518692,572669,,,2,0,-6,bottom
2018-04-03,529483,8,641627,R,572669,R,78,Single,3,3,180404_024236,bc34be60-81e2-4eea-ad69-a17ff06a2f64,1,1,0,E,In play- run(s),SI,7,2.0,3.58,1.65,95.5,88.1,37.36,-2.7,50.0,4.86,-0.48,1.75,-8.35,4.12,9.08,-138.76,-4.19,-16.44,27.94,-24.05,30.0,6.0,24.0,2112,242,,455976,518692,572669,,,2,0,-6,bottom
2018-04-03,529483,8,641627,R,621020,R,79,Groundout,3,1,180404_030203,be384a5e-53e5-4b84-a588-f859e687a140,0,0,0,S,Swinging Strike,FF,5,2.0,3.41,1.56,94.7,87.0,43.15,-2.87,50.0,4.79,0.23,2.78,-6.32,8.16,10.69,-137.48,-2.47,-12.2,27.99,-16.43,31.2,3.6,24.0,2049,212,572669,,,,572669,,0,1,-8,bottom
2018-04-03,529483,8,641627,R,621020,R,79,Groundout,3,2,180404_024338,a77b8503-15e0-479d-bfc7-45f1ea5a0028,0,1,0,B,Ball,CU,14,2.0,3.4,1.58,80.6,74.2,32.04,-2.84,50.0,5.1,1.05,0.68,4.43,-7.84,7.63,-116.96,-0.83,6.07,24.05,-42.93,9.6,13.2,24.0,2149,35,572669,,,,572669,,0,1,-8,bottom
2018-04-03,529483,8,641627,R,621020,R,79,Groundout,3,3,180404_024402,26e03aa1-c57c-42a6-b1ea-349e424c368a,1,1,0,X,In play- out(s),SI,8,2.0,3.52,1.63,94.9,87.9,21.93,-2.66,50.0,4.78,0.21,2.08,-8.64,4.63,10.93,-137.87,-3.15,-16.88,26.2,-23.13,32.4,6.0,24.0,2027,239,572669,,,,572669,,0,1,-8,bottom
2018-04-03,529483,8,641627,R,475247,L,80,Walk,4,1,180404_024440,d07eb882-9de6-4c1e-85f8-20aa7742e628,1,0,1,*B,Ball In Dirt,SI,13,2.0,3.66,1.77,93.5,86.6,42.36,-2.76,50.0,4.76,-0.46,0.66,-10.06,2.99,9.72,-135.72,-6.11,-19.0,26.24,-26.52,32.4,7.2,24.0,2042,254,,572669,,475247,572669,,0,0,-8,bottom
2018-04-03,529483,8,641627,R,475247,L,80,Walk,4,2,180404_024503,6e7b0257-8bfb-40fa-beb4-79750e510d4c,1,0,1,B,Ball,CU,11,2.0,3.42,1.67,80.8,74.2,51.15,-2.95,50.0,5.24,-1.15,3.81,6.85,-5.51,2.12,-117.27,5.28,9.56,21.65,-39.86,14.4,12.0,24.0,1985,57,,572669,,475247,572669,,0,0,-8,bottom
2018-04-03,529483,8,641627,R,475247,L,80,Walk,4,3,180404_024525,1037104e-eaab-4b21-8b08-3a6fb7083cae,2,0,1,B,Ball,SI,14,2.0,3.42,1.69,95.1,87.5,24.04,-2.57,50.0,4.7,1.36,1.62,-9.7,5.37,14.2,-137.71,-4.41,-18.81,27.69,-21.75,34.8,6.0,24.0,2003,238,,572669,,475247,572669,,0,0,-8,bottom
2018-04-03,529483,8,641627,R,475247,L,80,Walk,4,4,180404_024549,1d44c49b-1fd9-4d26-afb0-95c184a168b2,3,0,1,B,Ball,SI,13,2.0,3.56,1.69,94.3,86.1,58.34,-2.83,50.0,4.62,-0.6,1.31,-10.92,3.18,9.86,-136.79,-4.09,-20.66,30.55,-26.15,34.8,7.2,24.0,1939,253,,572669,,475247,572669,,0,0,-8,bottom
2018-04-03,529483,8,641627,R,455755,R,81,Grounded Into DP,1,1,180404_024636,f1c8b887-9c34-4555-863a-ecb35ed07645,0,0,1,X,In play- out(s),SI,7,2.0,3.19,1.44,94.3,85.5,48.92,-2.81,50.0,4.74,-0.44,2.17,-10.32,5.27,10.0,-136.78,-2.78,-19.44,31.94,-22.24,37.2,6.0,24.0,2119,240,475247,572669,,,,,0,2,-8,bottom
2018-04-04,529496,8,641627,R,572669,R,66,Walk,5,1,180404_185652,c9c595bf-0ed4-4d9b-9c9b-be9df2aa54dd,0,1,0,C,Called Strike,SI,14,2.0,3.72,1.73,95.0,86.9,64.25,-1.9,50.0,4.89,0.79,2.12,-11.33,4.83,11.35,-137.75,-3.33,-21.84,29.74,-22.86,39.6,6.0,24.0,2134,245,,,,572669,,,0,0,-4,bottom
2018-04-04,529496,8,641627,R,572669,R,66,Walk,5,2,180404_185704,a0ce9168-e57a-44bd-96f0-7642c5aab26c,0,1,0,B,Ball,CU,14,2.0,3.68,1.55,81.9,75.3,52.93,-1.94,50.0,5.08,0.88,1.26,5.0,-6.31,5.08,-119.0,-0.17,7.13,23.97,-41.17,10.8,12.0,24.0,2118,43,,,,572669,,,0,0,-4,bottom
2018-04-04,529496,8,641627,R,572669,R,66,Walk,5,3,180404_185716,7e11ea21-db78-4c98-99ba-ae74907c0feb,1,1,0,B,Ball,CU,14,2.0,3.59,1.46,82.0,75.7,50.43,-1.87,50.0,5.09,1.25,1.22,4.29,-5.88,6.01,-119.1,-0.46,6.15,23.15,-40.61,9.6,12.0,24.0,2138,41,,,,572669,,,0,0,-4,bottom
