Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-07-31,531013,9,543507,R,596019,L,69,Single,2,1,180801_025838,6012fb17-5ace-43da-a68c-7769b87b2281,0,1,0,C,Called Strike,CU,8,2.0,3.24,1.5,77.3,71.3,66.84,-1.04,50.0,5.65,-0.04,1.6,5.86,-6.44,0.53,-112.61,0.11,7.48,21.38,-40.4,10.8,13.2,24.0,2564,43,,,,596019,,,0,0,-3,top
2018-07-31,531013,9,543507,R,596019,L,69,Single,2,2,180801_025906,b85fdf37-b1e4-487c-844d-bd761ec2ebd7,0,1,0,D,In play- no out,FF,6,2.0,3.29,1.5,95.6,88.0,32.94,-1.16,50.0,5.31,0.57,2.25,-3.38,8.9,5.98,-139.22,-5.8,-6.67,29.43,-14.6,19.2,3.6,24.0,2377,198,,,,596019,,,0,0,-3,top
2018-07-31,531013,9,543507,R,488726,L,70,Strikeout,7,1,180801_025940,211ad20f-a9b7-43c3-99ef-c34824e619bd,0,0,0,B,Ball,FF,11,2.0,3.39,1.58,94.1,86.9,36.8,-1.17,50.0,5.5,-1.41,2.85,-2.09,9.11,0.1,-137.21,-4.52,-4.03,27.44,-14.64,14.4,3.6,24.0,2303,193,596019,,,596019,,,0,1,-3,top
2018-07-31,531013,9,543507,R,488726,L,70,Strikeout,7,2,180801_030001,e6448eb0-8b55-4d2f-991d-b7089d21d378,1,0,0,B,Ball,CH,11,2.0,3.42,1.6,86.2,79.9,12.53,-0.9,50.0,5.69,-1.64,2.6,-4.47,9.0,-0.38,-125.73,-4.18,-7.23,22.82,-17.61,21.6,4.8,24.0,1966,207,596019,,,596019,,,0,1,-3,top
2018-07-31,531013,9,543507,R,488726,L,70,Strikeout,7,3,180801_030023,cc8ee6f5-348b-465a-b10c-c3d2049a3299,2,0,0,S,Swinging Strike,FF,11,2.0,3.37,1.55,93.2,86.0,45.51,-0.82,50.0,5.59,-0.32,3.74,-1.68,9.07,1.94,-136.02,-2.22,-3.17,27.22,-15.02,10.8,3.6,24.0,2262,189,596019,,,596019,,,0,1,-3,top
2018-07-31,531013,9,543507,R,488726,L,70,Strikeout,7,4,180801_030137,cdcc8e26-c8c4-48aa-8ea1-974503100970,2,2,0,F,Foul,FF,13,2.0,3.37,1.5,93.7,86.6,43.67,-1.01,50.0,5.39,-0.78,2.26,-1.91,8.69,1.31,-136.64,-5.59,-3.64,27.29,-15.58,12.0,3.6,24.0,2256,192,596019,,,596019,,,0,1,-3,top
2018-07-31,531013,9,543507,R,488726,L,70,Strikeout,7,5,180801_030203,9fad2e93-48ad-44ac-808f-8e22eeedd8df,2,2,0,S,Swinging Strike,CU,13,2.0,3.32,1.58,77.4,71.6,35.08,-0.88,50.0,5.63,-0.36,1.44,5.86,-7.05,-0.55,-112.65,-0.05,7.52,20.73,-41.22,9.6,13.2,24.0,2508,40,596019,,,596019,,,0,1,-3,top
2018-07-31,531013,9,543507,R,608070,L,71,Single,1,1,180801_030418,ec480bff-6cc6-4ffb-8084-c87bea9fbf2f,0,0,1,D,In play- no out,FF,9,2.0,3.24,1.58,93.2,86.5,61.26,-0.82,50.0,5.33,0.53,1.76,-1.48,9.19,4.18,-135.79,-6.9,-2.8,25.73,-14.76,7.2,3.6,24.0,2338,187,596019,,,608070,,596019,0,0,-3,top
2018-07-31,531013,9,543507,R,429665,R,72,Fielders Choice,5,1,180801_030332,0df1921c-ff33-4e6c-b578-f57fde7bbcf2,0,0,1,B,Ball,CU,11,2.0,3.34,1.57,76.6,70.5,70.69,-0.97,50.0,5.81,-0.59,4.2,8.26,-6.5,-1.52,-111.43,5.61,10.42,19.49,-40.37,14.4,13.2,24.0,2399,55,608070,,596019,429665,,608070,1,0,-3,top
2018-07-31,531013,9,543507,R,429665,R,72,Fielders Choice,5,2,180801_030404,f4c46b28-b76f-4cf9-8d64-8033613b0121,1,0,1,S,Swinging Strike,FF,11,2.0,3.34,1.55,94.7,87.2,24.12,-0.83,50.0,5.56,-0.4,3.82,-1.92,8.87,1.86,-138.14,-2.03,-3.75,28.66,-14.9,12.0,3.6,24.0,2378,191,608070,,596019,429665,,608070,1,0,-3,top
