Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-09,490178,8,592866,R,452095,R,59,Single,1,1,170409_195300,e000c062-7440-4653-a510-a211d165c0d8,0,0,0,X,In play- no out,FF,7,2.0,3.92,1.63,93.4,85.5,60.69,-2.32,50.0,5.51,-0.47,2.08,-7.56,8.39,7.6,-135.77,-6.12,-14.12,29.5,-16.5,34.8,4.8,24.0,2124,220,,,,452095,,,0,0,-2,top
2017-04-09,490178,8,592866,R,607054,L,60,Lineout,4,1,170409_195340,286d7b28-7556-4dbc-9eee-51a1e324718e,0,0,0,B,Ball,FF,11,2.0,3.38,1.63,93.0,84.7,38.09,-2.74,50.0,5.42,-2.04,2.53,-7.75,9.04,4.55,-135.41,-4.8,-14.31,31.15,-15.48,38.4,4.8,24.0,2154,219,452095,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,607054,L,60,Lineout,4,2,170409_195401,9b6bd283-4750-4381-83ea-6763464882aa,1,0,0,B,Ball,FF,11,2.0,3.33,1.63,91.4,83.6,67.09,-2.53,50.0,5.68,-1.2,3.43,-6.52,7.45,5.71,-133.07,-2.35,-11.7,28.52,-18.82,28.8,4.8,24.0,2084,218,452095,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,607054,L,60,Lineout,4,3,170409_195426,517f2841-9282-435e-bed8-595366e9fe8d,2,0,0,S,Swinging Strike,SI,11,2.0,3.42,1.63,92.4,84.3,62.43,-2.54,50.0,5.55,-0.78,3.04,-8.82,6.79,7.72,-134.49,-2.93,-16.11,29.96,-19.77,34.8,6.0,24.0,2101,230,452095,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,607054,L,60,Lineout,4,4,170409_195450,8bd76f5d-4902-4624-a640-37ff91c31669,2,1,0,X,In play- out(s),FF,5,2.0,3.92,1.63,92.4,84.4,29.03,-2.3,50.0,5.5,-0.23,2.33,-5.87,9.39,7.49,-134.34,-5.55,-10.72,29.57,-15.05,28.8,3.6,24.0,2131,209,452095,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,466988,L,61,Flyout,2,1,170409_195551,aa9aa7a5-7686-43fc-9215-d4a00e7b852f,0,0,1,B,Ball,FF,13,2.0,3.42,1.53,93.8,85.9,72.85,-2.66,50.0,5.37,-1.29,1.95,-8.01,7.9,6.49,-136.48,-6.01,-15.11,29.83,-17.27,36.0,4.8,24.0,2247,224,,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,466988,L,61,Flyout,2,2,170409_195611,799f5a8d-a693-4982-a95b-25696bc62758,1,0,1,X,In play- out(s),FF,9,2.0,3.75,1.53,93.9,86.0,54.57,-2.32,50.0,5.42,0.67,1.83,-6.45,9.81,10.33,-136.35,-7.12,-12.17,29.49,-13.68,33.6,3.6,24.0,2122,210,,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,542255,L,62,Strikeout,4,1,170409_195655,5273e7e8-2e3b-4375-8fc0-9494b853a306,0,0,2,B,Ball,FF,13,2.0,3.23,1.5,93.7,85.8,36.47,-2.71,50.0,5.36,-1.33,2.22,-8.58,7.7,6.72,-136.26,-5.15,-16.15,29.46,-17.67,38.4,4.8,24.0,2213,227,,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,542255,L,62,Strikeout,4,2,170409_195716,3c6d706e-853b-47c3-b91d-b7f2857b1fb1,1,0,2,S,Foul,FF,5,2.0,3.68,1.5,93.3,85.2,27.45,-2.35,50.0,5.52,0.1,2.51,-5.52,8.83,8.48,-135.66,-5.12,-10.27,30.0,-15.74,26.4,3.6,24.0,2044,208,,,,,,,0,1,-2,top
2017-04-09,490178,8,592866,R,542255,L,62,Strikeout,4,3,170409_195743,48d9c126-af91-43bc-927f-db17dfc22296,1,1,2,S,Foul,SL,14,2.0,3.68,1.5,85.7,79.7,51.6,-2.26,50.0,5.64,0.8,1.68,-0.42,3.86,7.7,-124.68,-4.53,-0.66,22.42,-26.03,1.2,7.2,24.0,2142,172,,,,,,,0,1,-2,top
