Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-07,566485,6,621389,L,457759,R,38,Flyout,1,1,190501_031609,44ff3a8b-166a-48b7-837a-cb28ae26ab99,0,0,0,X,In play- out(s),CH,5,2.0,3.36,1.59,78.5,72.1,,2.3,50.0,6.3,-0.05,2.51,9.82,4.57,-8.15,-113.68,-2.69,12.9,20.08,-26.17,24.0,8.4,24.0,1897,117,,,,,,,0,1,-2,top
2019-09-07,566485,6,621389,L,641355,L,39,Walk,6,1,190501_031648,bb8e3b82-6201-4f3b-92f0-234c44b40392,0,0,1,B,Ball,SI,13,2.0,3.85,1.83,89.6,81.8,,1.95,50.0,5.99,-2.63,1.42,9.29,8.08,-14.76,-129.08,-8.01,15.7,26.34,-18.52,32.4,6.0,24.0,2095,134,,,,641355,,,0,0,-2,top
2019-09-07,566485,6,621389,L,641355,L,39,Walk,6,2,190501_031701,02754c64-ba36-482e-8764-61e67284c680,1,0,1,B,Ball,SI,13,2.0,3.86,1.86,89.8,82.7,,2.22,50.0,5.99,-1.1,1.23,9.03,7.63,-11.56,-129.77,-8.54,15.53,24.87,-19.04,33.6,6.0,24.0,2103,131,,,,641355,,,0,0,-2,top
2019-09-07,566485,6,621389,L,641355,L,39,Walk,6,3,190501_031714,8707d82a-27b4-4930-bdc4-73628d8d0751,2,0,1,B,Ball,SI,14,2.0,3.87,1.87,90.6,83.5,,2.41,50.0,5.81,0.33,1.27,9.01,6.8,-8.46,-131.31,-7.92,15.85,25.78,-20.21,33.6,6.0,24.0,2100,127,,,,641355,,,0,0,-2,top
2019-09-07,566485,6,621389,L,641355,L,39,Walk,6,4,190501_031727,ab70ae17-1be5-4ee2-b2bd-ff7d4d529cbe,3,0,1,S,Called Strike,SI,13,2.0,3.94,1.8,89.9,82.8,,2.35,50.0,5.95,-0.34,1.53,7.93,7.56,-9.59,-130.13,-7.69,13.71,25.0,-19.09,30.0,6.0,24.0,2056,135,,,,641355,,,0,0,-2,top
2019-09-07,566485,6,621389,L,641355,L,39,Walk,6,5,190501_031739,9d3e9350-6240-4673-821b-0940aea28231,3,1,1,S,Called Strike,CH,13,2.0,3.89,1.92,79.6,73.4,,2.31,50.0,6.19,-0.89,2.19,9.46,4.35,-10.12,-115.25,-3.38,12.81,20.05,-26.28,22.8,8.4,24.0,1849,116,,,,641355,,,0,0,-2,top
2019-09-07,566485,6,621389,L,641355,L,39,Walk,6,6,190501_031752,33ea680e-c766-4e64-a1c6-0b5433e0d6a3,3,2,1,B,Ball,SI,13,2.0,3.85,1.82,90.6,83.6,,2.25,50.0,5.81,-1.19,0.77,9.89,7.67,-12.26,-130.88,-9.48,17.35,24.68,-18.72,36.0,6.0,24.0,2064,128,,,,641355,,,0,0,-2,top
2019-09-07,566485,6,621389,L,501896,R,40,Single,3,1,190501_031823,9986018e-7d9d-4e15-bbaf-0743966801bd,0,0,1,B,Ball,SI,13,2.0,3.36,1.62,90.1,83.1,,2.22,50.0,6.12,-1.72,2.39,10.64,6.83,-13.76,-130.23,-5.72,18.51,23.99,-20.28,37.2,6.0,24.0,2128,124,641355,,,501896,,641355,0,0,-2,top
2019-09-07,566485,6,621389,L,501896,R,40,Single,3,2,190501_031841,097c7486-e537-4bcc-ade7-b47167a4ad31,1,0,1,S,Swinging Strike,CH,5,2.0,3.3,1.53,78.5,72.6,,2.42,50.0,6.25,0.09,2.13,9.6,2.81,-8.08,-113.84,-2.97,12.71,19.19,-28.45,21.6,9.6,24.0,1737,107,641355,,,501896,,641355,0,0,-2,top
2019-09-07,566485,6,621389,L,501896,R,40,Single,3,3,190501_031902,05cf4bdc-3888-4690-a162-c4d90150c9d7,1,1,1,X,In play- no out,SI,6,2.0,3.3,1.53,89.1,81.3,,2.5,50.0,6.0,0.7,2.53,9.8,6.97,-7.83,-129.12,-4.83,16.54,26.93,-20.42,34.8,6.0,24.0,2034,126,641355,,,501896,,641355,0,0,-2,top
