Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2019-03-30,567361,1,542881,L,500743,R,3,Lineout,4,1,190330_221658,c6445995-c03b-4daf-bc66-1e18f58fd093,0,1,0,C,Called Strike,FF,8,2.0,3.21,1.52,89.5,81.9,,1.44,50.0,6.04,-0.06,1.59,3.48,12.45,-5.01,-129.98,-9.29,5.95,27.25,-10.87,21.6,3.6,24.0,2241,165,,,,,,,0,1,0,bottom
2019-03-30,567361,1,542881,L,500743,R,3,Lineout,4,2,190330_221716,85cf6157-e1b4-4383-80b8-667002d8854f,0,1,0,S,Swinging Strike,CH,7,2.0,3.35,1.52,79.5,73.4,,1.4,50.0,6.27,-0.51,1.83,5.61,9.36,-6.05,-115.51,-5.91,7.63,20.22,-19.45,18.0,6.0,24.0,1856,151,,,,,,,0,1,0,bottom
2019-03-30,567361,1,542881,L,500743,R,3,Lineout,4,3,190330_221737,62cf70d7-b2a3-487e-a528-70e006dd4b75,0,2,0,B,Ball,FC,7,2.0,3.23,1.52,87.2,80.9,,1.95,50.0,5.8,-0.56,1.53,0.91,9.46,-6.63,-126.74,-7.44,1.5,22.98,-16.6,1.2,4.8,24.0,2438,178,,,,,,,0,1,0,bottom
2019-03-30,567361,1,542881,L,500743,R,3,Lineout,4,4,190330_221809,9183cac2-6fc0-4978-b0f0-5b8f5a1a1d1e,1,2,0,X,In play- out(s),CH,5,2.0,3.49,1.6,80.8,74.3,,1.65,50.0,6.16,0.09,2.57,6.17,10.11,-5.48,-117.46,-4.47,8.66,21.31,-17.99,22.8,6.0,24.0,1994,150,,,,,,,0,1,0,bottom
2019-03-30,567361,1,542881,L,594011,R,4,Groundout,2,1,190330_221833,4a4f5c3d-07a7-4bfc-807d-5bc0bff3f501,0,0,1,B,Ball,FF,12,2.0,3.3,1.6,89.4,81.9,,1.64,50.0,6.1,1.43,2.76,6.23,9.69,-2.62,-130.06,-5.53,10.68,27.02,-15.57,31.2,4.8,24.0,2132,147,,,,,,,0,1,0,bottom
2019-03-30,567361,1,542881,L,594011,R,4,Groundout,2,2,190330_221855,7ea30716-a00c-4d72-959b-bd73edc8d44a,1,0,1,X,In play- out(s),FF,9,2.0,3.49,1.6,90.4,82.6,,1.6,50.0,5.98,0.39,1.82,6.03,10.76,-5.16,-131.32,-8.2,10.51,28.34,-13.42,32.4,3.6,24.0,2187,151,,,,,,,0,1,0,bottom
2019-03-30,567361,1,542881,L,605119,R,5,Single,3,1,190330_221929,6edd2f26-778e-4ec8-9ce7-67f62edf5f99,0,1,2,C,Called Strike,FF,8,2.0,3.49,1.67,91.5,83.5,,1.52,50.0,5.99,-0.08,2.11,4.69,10.94,-5.79,-132.89,-7.76,8.38,29.08,-12.65,26.4,3.6,24.0,2211,158,,,,605119,,,0,0,0,bottom
2019-03-30,567361,1,542881,L,605119,R,5,Single,3,2,190330_221947,ae3375ea-2b5f-4d58-b938-89fb9673648d,0,2,2,F,Foul,CU,9,2.0,3.49,1.6,75.1,69.6,,1.52,50.0,6.62,0.63,2.15,-0.1,-6.21,-1.9,-109.17,-0.44,-0.12,19.04,-39.67,0.0,13.2,24.0,2384,356,,,,605119,,,0,0,0,bottom
2019-03-30,567361,1,542881,L,605119,R,5,Single,3,3,190330_222011,408b8abd-7c35-461b-9bef-87b2cfe95041,0,2,2,D,In play- no out,FF,11,2.0,3.47,1.59,91.8,83.3,,1.35,50.0,6.01,-0.84,2.74,6.1,11.1,-7.83,-133.15,-6.24,10.89,30.04,-12.36,33.6,3.6,24.0,2274,153,,,,605119,,,0,0,0,bottom
2019-03-30,567361,1,542881,L,516770,R,6,Strikeout,4,1,190330_222051,fc0a6a01-8a17-4da2-9ce8-38e588cfd08b,0,1,2,F,Foul,FF,5,2.0,3.47,1.59,90.4,81.9,,1.38,50.0,5.99,0.08,2.49,5.99,13.12,-5.37,-131.25,-7.2,10.35,30.1,-9.49,39.6,3.6,24.0,2189,156,605119,,,,,,0,1,0,bottom
