Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-02,529459,1,543022,R,608385,L,5,Walk,5,1,180402_202419,3ad07232-a359-43b9-aa8f-0def879d23bd,0,0,0,S,Called Strike,FT,11,2.0,3.5,1.75,91.8,83.7,59.72,-2.13,50.0,5.53,-0.84,3.06,-6.91,7.65,5.77,-133.53,-3.01,-12.44,29.34,-18.39,30.0,4.8,24.0,2249,219,,,,608385,,,0,0,0,bottom
2018-04-02,529459,1,543022,R,608385,L,5,Walk,5,2,180402_202433,73f9905b-0494-4b60-a454-4e93288d099a,0,1,0,B,Ball,FC,11,2.0,3.54,1.71,86.6,79.0,26.82,-2.53,50.0,5.6,-1.48,3.52,1.19,2.61,2.21,-126.01,0.46,1.91,26.4,-27.99,4.8,7.2,24.0,2536,152,,,,608385,,,0,0,0,bottom
2018-04-02,529459,1,543022,R,608385,L,5,Walk,5,3,180402_202450,44606750-7baa-4a47-88f0-374f17a177f9,1,1,0,B,Ball,FF,12,2.0,3.56,1.73,92.5,84.0,55.39,-1.95,50.0,5.55,0.72,3.71,-1.72,9.98,7.66,-134.39,-2.21,-3.12,30.79,-14.03,6.0,3.6,24.0,2381,184,,,,608385,,,0,0,0,bottom
2018-04-02,529459,1,543022,R,608385,L,5,Walk,5,4,180402_202510,011a9e1a-ec00-476c-b0fe-34af9547f7ce,2,1,0,B,Ball,FF,14,2.0,3.39,1.73,93.0,84.7,59.97,-2.07,50.0,5.35,0.8,1.36,-2.73,10.66,8.57,-134.95,-8.24,-5.0,30.61,-12.6,12.0,3.6,24.0,2288,189,,,,608385,,,0,0,0,bottom
2018-04-02,529459,1,543022,R,608385,L,5,Walk,5,5,180402_202528,95ea7804-1f80-4c71-b20a-a109a364ced0,3,1,0,B,Ball,FT,14,2.0,3.43,1.69,92.6,83.8,36.79,-1.92,50.0,5.22,0.5,0.82,-8.71,10.19,9.35,-134.14,-8.98,-15.7,32.03,-13.81,40.8,4.8,24.0,2313,219,,,,608385,,,0,0,0,bottom
2018-04-02,529459,1,543022,R,460060,L,6,Walk,6,1,180402_202600,20cf958b-676f-4032-a043-17c610c0510c,0,0,0,B,Ball In Dirt,FT,14,2.0,3.17,1.56,92.8,84.4,27.11,-1.83,50.0,5.3,1.34,1.11,-8.34,8.94,11.26,-134.39,-8.08,-15.17,30.5,-15.91,36.0,4.8,24.0,2339,220,608385,,,460060,608385,,0,0,0,bottom
2018-04-02,529459,1,543022,R,460060,L,6,Walk,6,2,180402_202629,549e8d2a-378d-47d5-be2f-3dc8f8fe52f7,1,0,0,B,Ball In Dirt,FT,14,2.0,3.32,1.51,93.1,84.9,24.2,-1.92,50.0,5.27,0.07,0.55,-10.48,8.11,8.89,-134.94,-9.3,-19.23,30.6,-17.28,42.0,6.0,24.0,2260,232,608385,,,460060,608385,,0,0,0,bottom
2018-04-02,529459,1,543022,R,460060,L,6,Walk,6,3,180402_202654,18c8c275-4f18-448c-980e-737ec352ea42,2,0,0,S,Called Strike,FF,9,2.0,3.22,1.54,94.2,86.0,48.35,-1.87,50.0,5.37,0.57,1.72,-3.63,11.49,7.84,-136.68,-7.91,-6.87,30.21,-10.45,22.8,2.4,24.0,2446,194,608385,,,460060,608385,,0,0,0,bottom
2018-04-02,529459,1,543022,R,460060,L,6,Walk,6,4,180402_202712,6f2d6c7c-40b0-47c1-bc28-e9016a461ae3,2,1,0,B,Ball,FF,14,2.0,3.13,1.54,94.7,86.8,31.57,-1.74,50.0,5.3,1.63,1.48,-2.34,10.08,9.95,-137.36,-7.98,-4.47,29.67,-12.87,9.6,3.6,24.0,2610,187,608385,,,460060,608385,,0,0,0,bottom
2018-04-02,529459,1,543022,R,460060,L,6,Walk,6,5,180402_202733,91dbaf82-6331-40e8-bbba-afe3b46323e5,3,1,0,S,Called Strike,FF,13,2.0,3.2,1.44,92.7,84.8,33.57,-2.04,50.0,5.23,-0.01,1.3,-2.16,9.56,6.15,-134.66,-7.7,-3.96,29.43,-14.62,9.6,3.6,24.0,2338,189,608385,,,460060,608385,,0,0,0,bottom
2018-04-02,529459,1,543022,R,460060,L,6,Walk,6,6,180402_202758,a03e4907-91d2-4c76-831c-4d591b55ee97,3,2,0,B,Ball,FT,14,2.0,3.09,1.54,94.0,85.3,65.81,-1.72,50.0,5.26,1.14,1.48,-10.18,8.04,11.21,-136.16,-6.95,-18.99,31.76,-17.18,40.8,6.0,24.0,2434,230,608385,,,460060,608385,,0,0,0,bottom
2018-04-02,529459,1,543022,R,458015,L,7,Strikeout,3,1,180402_202838,65a8d104-1972-4079-bd0b-344edebbc0b4,0,0,0,S,Foul,FT,9,2.0,3.39,1.47,94.8,86.2,50.09,-1.72,50.0,5.39,0.46,1.78,-7.63,7.59,8.59,-137.57,-6.5,-14.53,32.25,-17.72,33.6,4.8,24.0,2448,223,460060,608385,,,,,0,1,0,bottom
2018-04-02,529459,1,543022,R,458015,L,7,Strikeout,3,2,180402_202902,dfaa48f1-5b16-4be1-a6f4-ec9b9cba03b0,0,1,0,S,Foul,FF,6,2.0,3.39,1.47,94.0,86.4,40.21,-1.91,50.0,5.4,0.57,2.72,-0.44,7.73,6.85,-136.72,-4.05,-0.84,28.61,-17.46,1.2,3.6,24.0,2383,177,460060,608385,,,,,0,1,0,bottom
