Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,1,170405_011809,da2b64a3-6cc8-42d7-b38a-b471dce9229d,0,1,0,C,Called Strike,CH,8,2.0,3.37,1.53,80.2,73.7,54.24,-1.14,50.0,5.94,0.05,1.72,-9.95,9.03,5.71,-116.52,-5.42,-13.69,21.65,-19.74,31.2,7.2,24.0,2079,227,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,2,170405_011831,06f002d7-da72-4d60-834e-3c523108ee54,0,1,0,B,Ball,FF,12,2.0,3.37,1.53,90.7,82.5,32.22,-0.53,50.0,6.06,1.31,3.04,-4.1,12.34,6.17,-131.76,-5.82,-7.18,28.97,-10.56,26.4,3.6,24.0,2254,195,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,3,170405_011851,00fd0684-20b1-44ef-b443-c9be83472e88,1,1,0,B,Ball,FF,14,2.0,3.37,1.53,91.5,83.6,26.42,-0.7,50.0,5.83,2.11,2.08,-5.62,12.85,9.28,-132.71,-8.07,-10.03,28.28,-9.25,36.0,3.6,24.0,2344,200,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,4,170405_011909,ffc6a2fd-fe13-412e-9600-f39720f30482,2,2,0,F,Foul,CH,8,2.0,3.37,1.53,78.7,72.0,36.82,-1.03,50.0,6.09,0.22,1.78,-10.24,9.11,5.83,-114.29,-5.23,-13.5,21.64,-20.16,30.0,7.2,24.0,2145,227,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,5,170405_011933,1740f98a-a082-4bd3-b899-650cb528efe9,2,2,0,F,Foul,FF,2,2.0,3.37,1.53,90.5,81.8,40.72,-0.5,50.0,6.1,0.11,3.3,-2.58,12.34,2.43,-131.61,-5.16,-4.48,31.02,-10.79,18.0,2.4,24.0,2288,190,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,6,170405_011956,f336ec9e-78b9-45f2-8a3e-6fd1165dd22e,2,2,0,B,Ball,FS,14,2.0,3.37,1.53,79.9,73.3,15.13,-0.37,50.0,6.09,1.71,0.68,-0.13,1.05,4.79,-116.02,-5.61,-0.18,23.62,-30.75,1.2,9.6,24.0,755,125,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,543543,L,53,Flyout,7,7,170405_012018,1efc8710-e614-4977-81ae-de56a5d1f987,3,2,0,X,In play- out(s),CH,4,2.0,3.37,1.53,80.0,72.8,47.63,-1.29,50.0,6.04,-0.65,2.3,-8.6,8.64,4.03,-116.25,-4.09,-11.67,23.48,-20.45,27.6,7.2,24.0,2085,224,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,519083,R,54,Strikeout,4,1,170405_012104,3aaf61b3-da82-472f-8ebc-cae86ed2374c,0,0,1,S,Swinging Strike,FS,14,2.0,3.75,1.53,81.7,74.1,74.46,-0.61,50.0,5.95,1.32,0.66,0.89,2.49,4.21,-118.53,-6.1,1.24,26.94,-28.7,3.6,8.4,24.0,,137,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,519083,R,54,Strikeout,4,2,170405_012128,727ca930-d242-4ad3-b770-75af60060297,0,1,1,B,Ball,FF,11,2.0,3.23,1.53,91.3,82.8,20.16,-0.85,50.0,5.91,-1.7,2.57,-4.66,13.04,-0.66,-132.75,-6.97,-8.24,30.93,-9.12,38.4,3.6,24.0,2364,201,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,519083,R,54,Strikeout,4,3,170405_012145,9874ddb1-b2e1-4c6f-bcce-bd7083f880f9,1,1,1,S,Swinging Strike,FF,12,2.0,3.75,1.53,90.2,81.5,46.6,-0.52,50.0,6.15,0.24,3.73,-4.32,14.39,3.39,-131.05,-4.81,-7.43,30.36,-7.4,38.4,2.4,24.0,2358,195,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,519083,R,54,Strikeout,4,4,170405_012207,ef702fe7-7899-455c-bd57-8ccb02c10fc4,1,3,1,W,Swinging Strike (Blocked),FS,14,2.0,3.75,1.53,81.3,74.8,28.49,-0.39,50.0,6.03,0.5,0.79,-1.82,-0.3,2.62,-118.17,-5.2,-2.56,23.8,-32.59,3.6,9.6,24.0,,299,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,621002,R,55,Strikeout,4,1,170405_012243,4926134a-a0f2-4f64-adf4-6bda62347ec2,0,1,2,C,Called Strike,FF,3,2.0,3.23,1.36,91.6,82.7,58.4,-0.62,50.0,5.95,0.3,3.17,-4.0,12.17,3.77,-133.12,-5.23,-7.1,31.79,-10.6,27.6,3.6,24.0,2349,196,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,621002,R,55,Strikeout,4,2,170405_012306,e3462f7f-d08a-4af7-8745-c27bd8ce6c63,0,1,2,B,Ball,CH,14,2.0,3.25,1.37,79.2,72.4,37.01,-1.03,50.0,5.86,0.59,-0.18,-8.86,10.45,6.25,-114.77,-9.58,-11.72,22.88,-18.35,27.6,7.2,24.0,2113,220,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,621002,R,55,Strikeout,4,3,170405_012330,ae9aef04-ece7-4e9f-9505-9fe3bc9a0b43,1,2,2,F,Foul,CH,11,2.0,3.79,1.56,79.6,72.4,59.99,-1.24,50.0,6.16,-0.7,3.67,-8.18,10.72,3.65,-115.82,-1.78,-11.03,23.1,-17.72,30.0,6.0,24.0,2030,215,,,,,,,0,1,4,bottom
2017-04-04,490116,7,461325,R,621002,R,55,Strikeout,4,4,170405_012425,45ae42ed-0f13-42dc-908c-0a6ee92ab651,1,2,2,S,Swinging Strike,FF,12,2.0,3.3,1.56,91.4,83.0,21.56,-0.66,50.0,6.06,0.01,3.9,-2.54,11.32,2.6,-133.06,-3.38,-4.53,30.21,-12.01,16.8,3.6,24.0,2384,191,,,,,,,0,1,4,bottom
2017-04-07,490157,7,461325,R,570731,R,58,Field Error,3,1,170408_015631,548cdb21-e1ac-4067-b74e-8ae16a99ed83,0,0,0,B,Ball,FF,14,2.0,3.78,2.0,89.9,80.6,47.43,-0.64,50.0,5.95,1.48,2.01,-2.62,14.67,6.25,-130.33,-8.57,-4.41,32.68,-7.47,16.8,2.4,24.0,2242,187,,,,,570731,,0,0,1,bottom
2017-04-07,490157,7,461325,R,570731,R,58,Field Error,3,2,170408_015653,740bc532-e6f8-4995-b58d-9f6f50196c71,1,0,0,S,Swinging Strike,SL,14,2.0,4.24,1.6,80.3,74.2,26.11,-0.68,50.0,6.11,1.53,1.88,6.37,5.09,3.19,-116.85,-4.33,8.83,21.65,-25.13,20.4,8.4,24.0,1923,124,,,,,570731,,0,0,1,bottom
