Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-28,566969,8,608648,R,642133,L,60,Strikeout,6,1,190417_020829,1c9cd181-fd2e-408f-8540-2d9b98d10b48,0,0,0,S,Called Strike,SL,7,2.0,3.65,1.78,80.1,73.3,,-1.85,50.0,5.96,-0.42,2.21,5.22,-8.06,1.72,-116.52,0.82,7.09,24.28,-43.12,9.6,13.2,24.0,2470,35,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,642133,L,60,Strikeout,6,2,190417_020844,3b6dc642-06b3-43bb-84fc-aeb3bc3eff00,0,1,0,S,Foul,SL,9,2.0,3.63,1.78,82.8,76.1,,-1.77,50.0,5.89,0.24,1.88,2.99,-7.9,3.83,-120.56,-0.31,4.37,25.38,-43.7,6.0,12.0,24.0,2576,24,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,642133,L,60,Strikeout,6,3,190417_020901,7308fd9d-78b8-4031-9507-b8f996850d18,0,1,0,S,Foul,KC,14,2.0,3.6,1.85,77.6,71.4,,-1.86,50.0,5.8,0.01,1.65,6.86,-7.77,2.19,-112.96,0.27,8.77,22.5,-42.11,12.0,13.2,24.0,2490,43,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,642133,L,60,Strikeout,6,4,190417_020926,4637839d-eceb-4b48-b166-cb3fdf0b3744,0,2,0,B,Ball,FF,11,2.0,3.72,1.88,94.3,87.0,,-1.77,50.0,5.94,-1.52,3.59,-4.54,7.82,2.28,-137.42,-3.27,-8.77,27.55,-17.07,25.2,3.6,24.0,2158,209,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,642133,L,60,Strikeout,6,5,190417_020940,c7fc4955-cc9b-41be-9338-4818912f8b4c,1,2,0,B,Ball,FF,11,2.0,3.56,1.76,93.2,85.9,,-1.59,50.0,5.97,-0.17,4.16,-2.43,8.49,4.68,-135.76,-1.86,-4.57,27.07,-16.17,12.0,3.6,24.0,2277,192,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,642133,L,60,Strikeout,6,6,190417_021011,23b209d3-4c5b-4965-86fe-ac005b284739,2,2,0,S,Called Strike,SI,11,2.0,3.63,1.81,95.3,87.8,,-1.93,50.0,5.59,-1.0,2.68,-7.59,4.58,5.28,-138.82,-3.77,-14.92,29.16,-23.18,30.0,6.0,24.0,2527,238,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,593700,L,61,Bunt Groundout,2,1,190417_021042,fb8c25de-c868-4920-b622-67472a51dbbf,0,0,1,S,Foul,KC,14,2.0,3.41,1.68,74.1,68.4,,-1.89,50.0,5.76,0.44,0.98,6.38,-8.12,3.18,-107.85,-0.31,7.44,20.62,-41.63,10.8,14.4,24.0,2386,40,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,593700,L,61,Bunt Groundout,2,2,190417_021108,0603b8c3-ce0f-43ce-b6de-fc32dd78853b,0,1,1,X,In play- out(s),FF,8,2.0,3.47,1.72,95.1,87.2,,-1.74,50.0,5.73,-0.14,2.15,-5.08,9.41,6.19,-138.21,-7.23,-9.86,29.85,-13.9,28.8,3.6,24.0,2312,206,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,593647,L,62,Strikeout,3,1,190417_021140,9615990d-fc10-4a12-aec2-9a0bedc976d9,0,0,2,S,Called Strike,KC,13,2.0,3.61,1.83,71.9,66.1,,-2.11,50.0,5.96,-1.02,2.02,7.42,-7.18,0.28,-104.69,1.62,8.15,19.49,-40.05,12.0,15.6,24.0,2335,48,,,,,,,0,1,-2,top
2019-09-28,566969,8,608648,R,593647,L,62,Strikeout,3,2,190417_021156,8c01c391-bb00-42f3-9d57-46ff6895141d,0,1,2,S,Swinging Strike (Blocked),SL,13,2.0,3.69,1.86,84.5,78.4,,-1.81,50.0,5.56,-0.22,-0.03,1.84,-5.37,3.28,-122.92,-5.25,2.81,24.72,-40.37,4.8,10.8,24.0,2546,21,,,,,,,0,1,-2,top
