Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-28,566572,7,643778,L,641355,L,46,Groundout,5,1,190411_014940,28a4e885-5b89-40ad-8794-fddea255cd82,0,0,0,S,Called Strike,FF,4,2.0,3.81,1.8,89.3,81.8,,2.0,50.0,6.47,-0.59,2.53,1.72,11.47,-7.22,-129.67,-7.62,2.93,26.84,-12.62,6.0,3.6,24.0,2352,175,,,,,,,0,1,4,top
2019-09-28,566572,7,643778,L,641355,L,46,Groundout,5,2,190411_014951,7509574c-4ab2-49c5-ad67-8a8cdef9b92e,0,1,0,B,Ball,SL,13,2.0,3.8,1.89,77.8,72.1,,2.17,50.0,6.59,-0.6,0.58,-1.84,-2.36,-5.63,-112.94,-5.48,-2.37,21.3,-35.21,4.8,12.0,24.0,2189,317,,,,,,,0,1,4,top
2019-09-28,566572,7,643778,L,641355,L,46,Groundout,5,3,190411_015010,6f7dde1c-41a0-4f5f-aed9-263bca70abfd,1,1,0,B,Ball,FT,12,2.0,3.81,1.87,89.3,82.3,,2.0,50.0,6.63,0.15,4.37,5.55,9.18,-6.63,-129.96,-2.67,9.58,24.92,-16.33,26.4,4.8,24.0,2092,151,,,,,,,0,1,4,top
2019-09-28,566572,7,643778,L,641355,L,46,Groundout,5,4,190411_015023,4d2ad967-1116-4778-9fa7-d70f1100198f,2,1,0,B,Ball,FT,12,2.0,3.8,1.88,88.9,82.3,,2.05,50.0,6.67,0.48,4.18,4.53,8.61,-5.57,-129.52,-3.03,7.79,23.8,-17.36,20.4,4.8,24.0,2068,154,,,,,,,0,1,4,top
2019-09-28,566572,7,643778,L,641355,L,46,Groundout,5,5,190411_015039,af4b2e57-4333-4a8e-ac45-fbd65e9a4b38,3,1,0,X,In play- out(s),FF,3,2.0,3.82,1.91,89.5,82.7,,2.05,50.0,6.6,0.3,3.35,0.44,9.3,-4.67,-130.27,-5.28,0.76,24.86,-16.04,0.0,3.6,24.0,2087,180,,,,,,,0,1,4,top
2019-09-28,566572,7,643778,L,571970,L,47,Home Run,6,1,190411_015113,d3cae2da-867c-44af-98e7-332ef008ca4d,0,0,1,B,Ball,SL,13,2.0,3.13,1.63,78.1,72.7,,2.03,50.0,6.67,-1.71,1.59,-0.79,0.45,-8.17,-113.48,-4.4,-1.03,19.66,-31.59,3.6,9.6,24.0,1977,268,,,,,,,1,0,4,top
2019-09-28,566572,7,643778,L,571970,L,47,Home Run,6,2,190411_015125,ed34130e-bcda-4905-ae6e-76514039a696,1,0,1,B,Ball,FF,12,2.0,3.2,1.64,89.6,82.9,,2.15,50.0,6.59,1.42,3.4,2.32,9.32,-2.69,-130.55,-5.21,4.05,24.51,-15.91,12.0,3.6,24.0,2207,167,,,,,,,1,0,4,top
2019-09-28,566572,7,643778,L,571970,L,47,Home Run,6,3,190411_015150,65ff48f3-d5b0-4e38-89c3-c819d29e0d86,2,0,1,B,Ball,FF,13,2.0,3.14,1.58,88.9,82.6,,1.93,50.0,6.37,-1.34,2.1,0.77,9.75,-8.65,-129.21,-7.95,1.33,23.5,-15.47,0.0,3.6,24.0,2202,180,,,,,,,1,0,4,top
2019-09-28,566572,7,643778,L,571970,L,47,Home Run,6,4,190411_015202,91356193-5289-4486-b261-cfee2711cd4b,3,0,1,S,Called Strike,FF,14,2.0,3.26,1.67,89.9,83.3,,2.2,50.0,6.49,0.83,2.26,2.33,9.6,-4.36,-130.77,-8.0,4.08,24.42,-15.35,10.8,3.6,24.0,2164,168,,,,,,,1,0,4,top
2019-09-28,566572,7,643778,L,571970,L,47,Home Run,6,5,190411_015219,387bb858-349e-43b1-9eda-a5adcb8eebed,3,1,1,S,Foul,FF,7,2.0,3.12,1.53,89.6,83.3,,1.9,50.0,6.48,-0.6,1.92,1.63,9.09,-7.02,-130.29,-8.63,2.85,23.61,-16.32,4.8,3.6,24.0,2170,173,,,,,,,1,0,4,top
2019-09-28,566572,7,643778,L,571970,L,47,Home Run,6,6,190411_015254,cd44e524-945e-4e53-8f2e-2afad276e564,3,2,1,X,In play- run(s),FF,5,2.0,3.1,1.63,89.2,82.6,,2.06,50.0,6.48,0.1,2.23,0.55,10.07,-5.22,-129.81,-8.07,0.95,24.69,-14.82,0.0,3.6,24.0,2169,180,,,,,,,1,0,4,top
