Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-06-17,491111,1,475115,R,592325,L,0,Walk,6,1,170617_001014,809f268d-6716-4273-bd8e-6e1c7883341b,0,0,0,B,Ball,FF,11,2.0,3.38,1.55,91.1,82.6,64.12,-1.88,50.0,6.92,-1.1,4.71,-3.94,10.43,3.35,-132.06,-3.08,-6.93,29.32,-13.84,22.8,3.6,24.0,2482,200,,,,592325,,,0,0,0,top
2017-06-17,491111,1,475115,R,592325,L,0,Walk,6,2,170617_001031,6691403a-fa27-4516-a279-27f4a581940d,1,0,0,B,Ball,FF,14,2.0,3.36,1.54,90.2,82.6,32.21,-1.59,50.0,6.63,1.54,1.76,-2.2,7.31,8.82,-130.43,-8.73,-3.8,27.16,-19.57,6.0,4.8,24.0,2563,191,,,,592325,,,0,0,0,top
2017-06-17,491111,1,475115,R,592325,L,0,Walk,6,3,170617_001050,e4d9b02c-ab91-4c8f-9cb6-083d3c7c8a1a,2,0,0,S,Called Strike,FF,7,2.0,3.29,1.45,89.4,81.9,42.64,-1.83,50.0,6.57,-0.4,1.85,-3.51,9.74,4.85,-129.45,-9.02,-5.97,26.54,-15.62,15.6,4.8,24.0,2515,200,,,,592325,,,0,0,0,top
2017-06-17,491111,1,475115,R,592325,L,0,Walk,6,4,170617_001105,dc5f2473-96bf-434e-a9b3-b8ecce355371,2,1,0,B,Ball,FT,14,2.0,3.3,1.63,88.8,82.2,52.9,-1.69,50.0,6.54,1.23,0.79,-5.81,2.84,9.34,-128.44,-9.24,-9.78,24.64,-27.4,15.6,7.2,24.0,2506,256,,,,592325,,,0,0,0,top
2017-06-17,491111,1,475115,R,592325,L,0,Walk,6,5,170617_001123,6a0e1819-c257-49e5-91bd-3ba0b307c7ac,3,1,0,S,Called Strike,FF,4,2.0,3.4,1.61,90.8,83.8,39.74,-1.91,50.0,6.62,-0.53,2.49,-2.67,9.04,4.51,-131.82,-7.73,-4.75,25.29,-16.1,13.2,3.6,24.0,2580,196,,,,592325,,,0,0,0,top
2017-06-17,491111,1,475115,R,592325,L,0,Walk,6,6,170617_001137,6af3b550-0acb-41d5-a994-98c5f376827c,3,2,0,B,Ball,FF,11,2.0,3.38,1.56,91.1,84.0,45.29,-1.97,50.0,6.77,-0.76,3.93,-3.08,7.96,4.25,-132.41,-4.06,-5.53,25.45,-17.89,14.4,4.8,24.0,2604,200,,,,592325,,,0,0,0,top
2017-06-17,491111,1,475115,R,571745,R,1,Strikeout,3,1,170617_001211,015e77a9-4c31-428a-8696-223d01c5a537,0,0,0,S,Called Strike,FF,9,2.0,3.4,1.52,88.7,82.3,54.89,-1.67,50.0,6.7,0.33,2.0,-1.9,6.18,5.74,-128.67,-7.77,-3.23,23.33,-21.67,6.0,6.0,24.0,2641,195,592325,,,,,,0,1,0,top
2017-06-17,491111,1,475115,R,571745,R,1,Strikeout,3,2,170617_001235,fab8f210-39c0-4fd0-8733-676ffd49c7fa,0,1,0,S,Swinging Strike,FT,13,2.0,3.22,1.32,90.3,82.3,38.01,-1.65,50.0,6.66,-1.46,1.55,-10.59,4.23,4.01,-130.82,-8.31,-18.19,29.77,-24.91,32.4,7.2,24.0,2496,256,592325,,,,,,0,1,0,top
2017-06-17,491111,1,475115,R,571745,R,1,Strikeout,3,3,170617_001303,05808b77-d680-456e-a6ba-4050f7c7d026,0,2,0,S,Swinging Strike,SL,6,2.0,3.22,1.32,84.7,77.5,36.22,-1.43,50.0,6.77,0.44,2.48,-1.55,2.37,5.03,-122.77,-4.48,-2.36,24.97,-28.56,2.4,8.4,24.0,2732,223,592325,,,,,,0,1,0,top
2017-06-17,491111,1,475115,R,429664,L,2,Groundout,6,1,170617_001343,3222b359-86fc-46d1-85db-8077ec62e642,0,0,1,B,Ball,FT,13,2.0,3.77,1.83,90.0,81.7,75.65,-1.73,50.0,6.62,-0.85,1.75,-10.25,3.93,5.67,-130.34,-7.51,-17.45,30.04,-25.49,31.2,7.2,24.0,2576,257,,,,,,,1,1,0,top
