Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-10,565161,1,621141,R,656941,L,4,Groundout,2,1,190621_001638,282d56af-e4e4-49fc-b17d-8712ad7f79ea,0,0,0,S,Swinging Strike,FF,13,2.0,3.41,1.61,92.9,86.1,,-2.03,50.0,6.0,-0.31,0.69,-5.93,5.74,6.66,-135.0,-10.18,-11.04,27.02,-21.5,22.8,6.0,24.0,2200,227,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,656941,L,4,Groundout,2,2,190621_001704,26e3ed5e-a01b-408a-9b01-2bac15988a3a,0,1,0,X,In play- out(s),FF,5,2.0,3.55,1.61,93.6,87.2,,-1.97,50.0,6.03,-0.1,2.33,-2.88,5.02,6.09,-136.17,-5.84,-5.51,24.73,-22.58,10.8,4.8,24.0,2170,206,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,592178,R,5,Groundout,2,1,190621_001734,1bd92180-cc5b-4f88-bedb-bb11f0e231c6,0,0,1,B,Ball,FF,14,2.0,3.22,1.66,92.2,85.6,,-1.68,50.0,6.06,1.84,2.05,-3.44,4.76,10.54,-133.82,-6.25,-6.32,25.27,-23.43,10.8,6.0,24.0,2169,209,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,592178,R,5,Groundout,2,2,190621_001752,c71777bf-7eef-4912-a201-098d76d2b34e,1,0,1,X,In play- out(s),FF,8,2.0,3.24,1.63,92.6,85.2,,-1.95,50.0,5.96,0.12,2.05,-6.26,4.27,7.68,-134.48,-5.84,-11.53,27.81,-24.31,21.6,6.0,24.0,2117,235,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,519203,L,6,Groundout,5,1,190621_001837,12581c67-32be-41ee-aeba-0de4af8c9b0d,0,0,2,S,Called Strike,FF,8,2.0,3.66,1.74,93.7,87.2,,-1.88,50.0,5.99,0.16,1.71,-3.85,4.81,6.89,-136.18,-7.32,-7.35,25.47,-23.0,14.4,4.8,24.0,2217,216,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,519203,L,6,Groundout,5,2,190621_001852,e527e0f5-8891-476c-85d8-97fd4585853e,0,1,2,S,Swinging Strike,CH,13,2.0,3.78,2.01,85.8,79.7,,-1.81,50.0,6.04,-0.37,1.63,-9.06,2.38,6.49,-124.83,-5.18,-14.46,22.49,-28.37,25.2,8.4,24.0,1540,256,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,519203,L,6,Groundout,5,3,190621_001910,216f87d9-d8de-4c08-918e-b69273136975,0,2,2,B,Ball,CH,13,2.0,3.55,1.8,86.6,80.7,,-1.96,50.0,6.01,-0.33,0.89,-8.76,3.74,6.94,-125.86,-7.58,-14.24,22.18,-26.08,25.2,7.2,24.0,1657,249,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,519203,L,6,Groundout,5,4,190621_001929,a72c9859-7942-4bd5-bbd0-7edb957799dc,1,1,2,S,Foul,FF,14,2.0,3.57,1.72,92.7,86.1,,-1.71,50.0,5.98,0.99,2.02,-3.89,5.7,8.59,-134.74,-6.56,-7.25,25.29,-21.54,14.4,4.8,24.0,2282,210,,,,,,,0,1,0,bottom
2019-09-10,565161,1,621141,R,519203,L,6,Groundout,5,5,190621_001954,206eebea-585e-46b5-a3ef-93e56ed9fd52,1,2,2,X,In play- out(s),CH,11,2.0,3.52,1.72,87.1,81.2,,-1.87,50.0,6.15,-1.36,2.66,-8.02,0.52,3.93,-127.01,-2.61,-13.31,22.25,-31.3,21.6,8.4,24.0,1504,267,,,,,,,0,1,0,bottom
2019-09-10,565161,2,621141,R,595879,R,12,Strikeout,3,1,190621_003602,1e7dc272-b2d1-4b2c-9b8d-88d63c0a5c3c,0,0,0,S,Called Strike,FF,5,2.0,3.52,1.84,91.0,84.2,,-1.89,50.0,6.11,0.18,2.49,-2.65,3.7,6.34,-132.42,-4.62,-4.76,25.75,-25.54,7.2,6.0,24.0,2132,210,,,,,,,0,1,1,bottom
