Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-05-02,529867,7,519293,L,454560,R,62,Walk,6,1,180502_215836,b3ea3282-58fd-4ef3-a6bd-9398ce720ce1,0,1,0,C,Called Strike,FF,7,2.0,3.48,1.62,92.8,84.5,61.16,1.41,50.0,6.26,-0.56,1.89,4.74,10.65,-6.84,-134.55,-9.19,8.66,30.32,-12.73,26.4,3.6,24.0,2350,158,,,,454560,,,0,0,6,top
2018-05-02,529867,7,519293,L,454560,R,62,Walk,6,2,180502_215853,68556745-6760-4b30-88a5-40b0aa5ab2c6,0,1,0,B,Ball,SL,13,2.0,3.41,1.57,81.1,74.5,34.33,1.76,50.0,6.18,-0.79,0.48,-3.51,-0.95,-4.85,-117.68,-5.94,-4.88,24.29,-33.5,9.6,10.8,24.0,2533,290,,,,454560,,,0,0,6,top
2018-05-02,529867,7,519293,L,454560,R,62,Walk,6,3,180502_215916,e229ae47-a5ce-4bb0-bb97-09b7465cb1d1,1,1,0,B,Ball,FF,13,2.0,3.41,1.57,92.0,84.9,40.84,1.35,50.0,6.27,-1.19,2.43,5.08,9.23,-8.47,-133.58,-7.28,9.28,25.92,-15.32,25.2,3.6,24.0,2191,154,,,,454560,,,0,0,6,top
2018-05-02,529867,7,519293,L,454560,R,62,Walk,6,4,180502_215935,03a7773a-ada8-4716-b777-3f9807a86b38,2,2,0,F,Foul,FF,1,2.0,3.26,1.37,92.5,85.0,37.7,1.5,50.0,6.36,-0.33,3.01,5.96,10.18,-6.92,-134.41,-6.41,10.97,27.4,-13.44,33.6,3.6,24.0,2214,151,,,,454560,,,0,0,6,top
2018-05-02,529867,7,519293,L,454560,R,62,Walk,6,5,180502_215959,6038d781-76b5-4144-a216-eed46851472f,2,2,0,B,Ball,SL,13,2.0,3.36,1.53,81.8,76.1,49.67,1.69,50.0,6.2,-0.67,1.29,-3.08,1.84,-4.62,-119.01,-5.29,-4.44,21.26,-29.52,9.6,8.4,24.0,2455,249,,,,454560,,,0,0,6,top
2018-05-02,529867,7,519293,L,454560,R,62,Walk,6,6,180502_220034,0dada874-107c-4853-9eed-c59fa848dfe3,3,2,0,B,Ball,FF,14,2.0,3.41,1.53,93.0,85.6,40.55,1.56,50.0,6.23,1.16,2.44,7.38,10.36,-3.65,-135.21,-7.76,13.76,27.54,-12.85,42.0,4.8,24.0,2247,144,,,,454560,,,0,0,6,top
2018-05-02,529867,7,519293,L,608671,L,63,Strikeout,4,1,180502_220105,222d1757-7428-481d-af18-8a30e9d3aec0,0,1,0,F,Foul,FF,2,2.0,3.3,1.4,92.4,85.5,50.8,1.59,50.0,6.35,-0.13,3.27,5.61,9.53,-6.54,-134.33,-5.51,10.39,25.24,-14.51,31.2,3.6,24.0,2176,151,454560,,,454560,,,0,1,6,top
2018-05-02,529867,7,519293,L,608671,L,63,Strikeout,4,2,180502_220126,f59cbf49-8a45-49fc-9237-dcb11b7c515b,0,1,0,B,Ball,SL,12,2.0,3.49,1.54,80.7,73.1,24.53,2.08,50.0,6.41,0.5,4.14,-6.48,0.78,-1.69,-117.29,1.51,-8.9,25.05,-31.11,16.8,9.6,24.0,2178,259,454560,,,454560,,,0,1,6,top
2018-05-02,529867,7,519293,L,608671,L,63,Strikeout,4,3,180502_220147,be9451e8-d842-42d2-ac78-af6e92f371de,1,1,0,S,Swinging Strike,SL,8,2.0,3.3,1.4,80.2,74.5,25.71,1.98,50.0,6.13,-0.23,1.75,-3.3,0.29,-4.11,-116.67,-3.22,-4.58,20.54,-31.77,9.6,9.6,24.0,2394,268,454560,,,454560,,,0,1,6,top
2018-05-02,529867,7,519293,L,608671,L,63,Strikeout,4,4,180502_220207,364efef2-e67b-4233-8d9a-e63192b7d3f9,1,2,0,S,Swinging Strike,FF,1,2.0,3.3,1.4,93.5,85.8,29.21,1.34,50.0,6.36,-0.26,2.82,4.47,10.75,-5.88,-135.9,-7.28,8.39,28.46,-11.98,27.6,3.6,24.0,2314,159,454560,,,454560,,,0,1,6,top
2018-05-02,529867,7,519293,L,622534,R,64,Groundout,3,1,180502_220237,0e0e7ec6-ab69-46e8-a286-6ef4d0cfc314,0,1,1,C,Called Strike,CU,1,2.0,3.52,1.53,77.5,71.7,80.08,1.63,50.0,6.66,-0.51,3.22,-5.37,-3.15,-3.22,-112.65,0.47,-6.93,19.68,-36.24,12.0,12.0,24.0,2077,296,454560,,,,454560,,0,1,6,top
2018-05-02,529867,7,519293,L,622534,R,64,Groundout,3,2,180502_220255,0d5540c8-737a-4d76-a69f-5e131d28e231,0,2,1,C,Called Strike,SL,3,2.0,3.56,1.57,80.0,74.2,33.73,2.03,50.0,6.45,0.54,3.12,-5.38,-1.47,-1.84,-116.35,-0.27,-7.44,20.13,-34.21,13.2,10.8,24.0,2410,283,454560,,,,454560,,0,1,6,top
2018-05-02,529867,7,519293,L,622534,R,64,Groundout,3,3,180502_220316,043dad82-4271-49c3-8d1d-d7f28c0649a3,0,2,1,X,In play- out(s),FF,13,2.0,3.34,1.37,92.3,84.8,52.59,1.21,50.0,6.19,-0.98,1.69,6.36,10.11,-8.0,-133.9,-9.31,11.59,27.69,-13.73,32.4,3.6,24.0,2287,149,454560,,,,454560,,0,1,6,top
