Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-14,490244,9,571035,R,596019,L,77,Double,2,1,170415_025135,ca0643be-ee89-4a8a-9274-a442c4ce7949,0,0,0,S,Called Strike,FT,13,2.0,3.05,1.44,88.8,80.9,72.41,-1.65,50.0,5.29,-0.83,1.53,-10.55,6.63,5.54,-128.85,-5.38,-17.66,27.78,-21.08,37.2,7.2,24.0,2179,242,,,,,596019,,0,0,6,bottom
2017-04-14,490244,9,571035,R,596019,L,77,Double,2,2,170415_025148,13c28602-6521-4464-873c-831b31fc4d88,0,1,0,X,In play- no out,FT,4,2.0,3.13,1.46,89.3,81.0,52.33,-1.8,50.0,5.36,-0.58,2.09,-10.11,7.41,6.46,-129.58,-4.48,-17.06,28.96,-19.68,37.2,6.0,24.0,2249,236,,,,,596019,,0,0,6,bottom
2017-04-14,490244,9,571035,R,446386,R,78,Hit By Pitch,1,1,170415_025245,4bd5ae60-51b4-47f7-9354-2a96762f064c,0,0,0,B,Hit By Pitch,FT,13,2.0,3.24,1.51,87.2,79.3,43.97,-1.95,50.0,5.43,-1.65,1.54,-7.99,7.18,3.33,-126.61,-5.56,-12.87,27.71,-20.6,28.8,6.0,24.0,2141,233,,596019,,446386,,,0,0,6,bottom
2017-04-14,490244,9,571035,R,429665,R,79,Strikeout,5,1,170415_025347,e09337aa-8332-4e83-9193-e08a468c0f8e,0,0,0,B,Ball In Dirt,CU,14,2.0,3.23,1.63,81.9,76.3,63.5,-1.79,50.0,5.29,0.23,0.42,1.78,1.92,4.21,-119.02,-5.26,2.58,20.54,-29.39,6.0,8.4,24.0,2539,104,446386,,,,,,0,1,6,bottom
2017-04-14,490244,9,571035,R,429665,R,79,Strikeout,5,2,170415_025413,e32d67db-03f5-4f6e-a814-925268743903,1,0,0,S,Called Strike,FF,14,2.0,3.17,1.55,88.7,81.5,44.23,-1.58,50.0,5.33,0.33,1.59,-3.83,9.74,6.14,-128.75,-6.44,-6.47,25.41,-15.74,16.8,4.8,24.0,2411,200,446386,,,,,,0,1,6,bottom
2017-04-14,490244,9,571035,R,429665,R,79,Strikeout,5,3,170415_025440,3ec46f93-64ed-417c-b358-eea2209321e9,1,1,0,S,Foul,FF,4,2.0,3.48,1.46,87.6,80.0,31.5,-1.48,50.0,5.57,-0.3,2.62,-6.68,8.77,5.14,-127.23,-3.86,-10.95,26.27,-17.81,27.6,4.8,24.0,2315,218,446386,,,,,,0,1,6,bottom
2017-04-14,490244,9,571035,R,429665,R,79,Strikeout,5,4,170415_025528,94a87758-7867-4279-89fe-678135265e6d,1,1,0,S,Foul,CH,4,2.0,3.29,1.36,79.4,72.1,30.17,-1.62,50.0,5.28,-0.3,2.71,-7.08,11.23,5.1,-115.3,-2.04,-9.47,22.58,-17.14,26.4,6.0,24.0,1916,212,446386,,,,,,0,1,6,bottom
2017-04-14,490244,9,571035,R,429665,R,79,Strikeout,5,5,170415_025602,465e181c-ec9c-474e-a6e4-2ac881e71b36,1,2,0,S,Called Strike,CU,13,2.0,3.29,1.61,82.3,75.9,48.25,-1.95,50.0,5.36,-0.82,1.97,3.78,0.47,1.53,-119.72,-1.39,5.5,22.41,-31.49,10.8,8.4,24.0,2482,82,446386,,,,,,0,1,6,bottom
2017-04-14,490244,9,571035,R,608070,L,80,Single,3,1,170415_025643,59bff5ce-c70e-4f6d-8596-a54c156f7cb5,0,0,1,B,Ball,FT,13,2.0,3.19,1.57,88.3,80.3,35.49,-1.73,50.0,5.46,-1.52,1.04,-10.4,4.55,3.92,-128.13,-6.24,-17.12,28.83,-24.68,32.4,7.2,24.0,2298,253,,,,608070,446386,596019,0,0,6,bottom
2017-04-14,490244,9,571035,R,608070,L,80,Single,3,2,170415_025706,252fdaf2-ee17-4328-a1f0-b14a26cceca5,1,0,1,S,Foul,CH,5,2.0,3.11,1.42,82.1,75.0,25.82,-1.76,50.0,5.14,-0.19,2.32,-9.75,10.59,6.68,-119.22,-3.04,-14.03,22.98,-16.94,36.0,6.0,24.0,2241,223,,,,608070,446386,596019,0,0,6,bottom
