Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-08-08,531109,8,605301,L,592206,R,69,Strikeout,5,1,180808_045151,c0632917-73a2-4a98-92d2-a004ba7803d0,0,0,0,B,Ball,FF,13,2.0,3.83,1.91,96.4,88.4,51.2,2.36,50.0,5.42,-0.62,0.14,8.06,7.62,-11.1,-139.49,-11.44,15.92,30.57,-17.11,34.8,4.8,24.0,2049,133,,,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,592206,R,69,Strikeout,5,2,180808_045210,79e90761-2150-41c8-ae02-5c55e64c24cb,1,0,0,B,Ball,FF,12,2.0,3.78,1.83,96.4,88.0,17.55,2.75,50.0,5.58,1.37,3.01,6.06,8.51,-6.0,-140.07,-4.33,12.04,31.66,-15.26,33.6,3.6,24.0,2095,146,,,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,592206,R,69,Strikeout,5,3,180808_045227,5d0ad057-b247-4e70-b6dc-a65c64696989,2,0,0,S,Foul,FF,9,2.0,3.75,1.8,94.9,86.7,36.44,2.49,50.0,5.58,0.24,1.96,6.62,8.44,-8.46,-137.64,-6.91,12.72,30.22,-15.96,32.4,4.8,24.0,2019,144,,,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,592206,R,69,Strikeout,5,4,180808_045300,8965aaf3-037c-48b8-a99d-0402fca1e43d,2,1,0,S,Foul,FF,3,2.0,3.7,1.8,96.9,88.8,31.46,2.41,50.0,5.68,0.32,3.12,7.42,7.07,-8.5,-140.76,-3.9,14.95,30.68,-17.94,34.8,4.8,24.0,2084,136,,,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,592206,R,69,Strikeout,5,5,180808_045328,ef0f1578-796d-47cb-b73d-70545d6cd7ac,2,2,0,S,Swinging Strike,CH,13,2.0,3.85,1.88,88.0,81.4,56.84,2.42,50.0,5.35,-0.76,1.7,5.11,4.83,-9.75,-127.81,-4.5,8.54,23.9,-24.11,15.6,6.0,24.0,1070,138,,,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,600869,R,70,Pop Out,1,1,180808_045407,9220acf8-bb99-4185-8b3d-0616fcbb6190,0,0,1,X,In play- out(s),FF,8,2.0,3.52,1.75,95.5,87.5,52.3,2.33,50.0,5.62,-0.18,1.78,9.0,8.23,-10.07,-138.49,-7.57,17.54,29.73,-16.13,40.8,4.8,24.0,2076,133,,,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,400121,R,71,Double,1,1,180808_045513,d79f2ab2-e73c-4bce-b605-6cfbd5bd74e5,0,0,2,X,In play- no out,FF,9,2.0,3.42,1.6,97.2,89.2,55.6,2.47,50.0,5.58,0.28,1.65,8.0,8.57,-9.0,-141.02,-8.32,16.18,30.64,-14.82,40.8,4.8,24.0,2243,138,,,,,400121,,0,0,6,top
2018-08-08,531109,8,605301,L,592348,R,72,Groundout,3,1,180808_045604,0e7e95d2-7365-4187-8a83-43ae89efe3f5,0,0,2,S,Called Strike,SL,6,2.0,3.65,1.75,88.0,81.0,52.06,2.7,50.0,5.58,0.36,2.72,0.51,3.43,-6.08,-128.02,-2.01,0.85,25.42,-26.46,1.2,6.0,24.0,1876,183,,400121,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,592348,R,72,Groundout,3,2,180808_045623,505cadcc-1666-47de-8afe-c1f8190d3184,0,1,2,B,Ball In Dirt,FF,13,2.0,3.62,1.78,95.7,88.0,14.07,2.14,50.0,5.63,-1.56,0.73,7.05,8.54,-12.63,-138.31,-10.57,13.75,28.9,-15.53,32.4,4.8,24.0,2168,142,,400121,,,,,0,1,6,top
2018-08-08,531109,8,605301,L,592348,R,72,Groundout,3,3,180808_045656,53b978c3-05ea-4d55-b125-4d36ebbfb0cd,1,1,2,X,In play- out(s),FF,13,2.0,3.65,1.7,95.4,87.5,38.02,2.48,50.0,5.52,-0.19,1.67,8.21,7.78,-10.23,-138.24,-7.41,15.97,29.25,-17.03,37.2,4.8,24.0,2134,135,,400121,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,500135,R,78,Groundout,2,1,180808_051116,9c0c26c3-ba1f-4885-b7f1-624d8e324301,0,0,0,S,Called Strike,SL,3,2.0,3.29,1.44,87.5,80.9,67.39,2.71,50.0,5.67,0.35,3.25,1.01,3.67,-6.3,-127.32,-0.95,1.68,23.46,-26.08,1.2,6.0,24.0,1925,175,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,500135,R,78,Groundout,2,2,180808_051130,d3735a47-ac8c-4ad3-9fa4-13c4092d17da,0,1,0,X,In play- out(s),CH,14,2.0,3.26,1.42,86.9,79.8,41.27,2.57,50.0,5.67,1.03,2.17,10.04,2.45,-7.1,-126.18,-3.08,16.24,24.87,-28.22,27.6,8.4,24.0,1188,103,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,543510,R,79,Lineout,5,1,180808_051224,1b53abd1-508c-4619-b37f-43acda01f76c,0,0,1,S,Called Strike,SL,2,2.0,3.4,1.51,87.9,81.1,52.64,2.71,50.0,5.5,-0.08,3.04,-0.36,3.72,-6.96,-127.88,-1.12,-0.61,24.39,-25.97,3.6,6.0,24.0,1939,197,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,543510,R,79,Lineout,5,2,180808_051241,52a04c79-59fc-49e9-820b-a3684dbbe559,0,1,1,S,Swinging Strike,CH,9,2.0,3.34,1.52,87.6,80.4,25.13,2.57,50.0,5.5,0.26,2.05,8.78,5.25,-8.65,-127.14,-3.97,14.42,25.18,-23.55,27.6,7.2,24.0,1406,122,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,543510,R,79,Lineout,5,3,180808_051305,b1127dd6-e27a-49a3-8b12-46858cbbf4a5,0,2,1,B,Ball,CH,14,2.0,3.26,1.49,87.4,80.5,34.02,2.46,50.0,5.36,0.68,0.54,9.52,3.93,-7.56,-126.81,-6.94,15.54,25.26,-25.76,27.6,7.2,24.0,1343,110,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,543510,R,79,Lineout,5,4,180808_051332,87205d0e-eae5-4c60-b4df-62b8ff6989c3,1,2,1,B,Ball,CH,14,2.0,3.34,1.49,88.0,81.4,28.58,2.6,50.0,5.37,0.52,0.94,8.56,4.43,-8.09,-127.7,-6.32,14.27,23.84,-24.79,26.4,7.2,24.0,1136,116,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,543510,R,79,Lineout,5,5,180808_051408,e0ab4318-9fa7-4276-b3c2-3f17c27f8188,2,2,1,X,In play- out(s),FF,9,2.0,3.31,1.42,96.1,88.3,42.38,2.48,50.0,5.58,0.45,1.75,7.65,8.69,-8.35,-139.43,-7.88,15.16,29.46,-14.96,39.6,4.8,24.0,2188,139,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,592444,R,80,Lineout,6,1,180808_051438,7fb0df08-a18b-4303-a333-8f862e494f74,0,0,2,S,Called Strike,FF,14,2.0,3.6,1.68,94.3,86.6,76.17,2.71,50.0,5.57,0.79,1.4,5.68,9.69,-7.21,-136.82,-8.77,10.83,28.52,-13.7,31.2,3.6,24.0,2129,151,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,592444,R,80,Lineout,6,2,180808_051455,edbe403d-3efd-412c-a335-420fb77e38d3,0,1,2,B,Ball,FF,14,2.0,3.52,1.65,95.9,88.1,15.19,2.39,50.0,5.52,0.04,0.91,7.34,10.09,-9.08,-138.84,-10.41,14.43,29.16,-12.34,40.8,3.6,24.0,2247,145,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,592444,R,80,Lineout,6,3,180808_051509,913cc8fa-d674-41f1-9681-ab9555a0c58e,1,1,2,B,Ball,CH,13,2.0,3.53,1.64,87.0,80.4,55.09,2.51,50.0,5.37,-0.75,1.23,8.55,2.46,-10.93,-126.08,-4.69,13.88,23.58,-28.18,22.8,8.4,24.0,1312,105,,,,,,,0,1,6,top
2018-08-08,531109,9,605301,L,592444,R,80,Lineout,6,4,180808_051534,9363d0b3-5b72-430a-8b4c-af1dc0876e55,2,1,2,B,Ball,FF,14,2.0,3.46,1.59,95.4,87.8,43.48,2.72,50.0,5.45,1.26,0.83,7.74,8.55,-6.77,-138.45,-9.84,15.12,28.99,-15.47,38.4,4.8,24.0,2243,137,,,,,,,0,1,6,top
