Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-22,567089,9,605441,R,451594,L,65,Single,6,1,190530_195035,306a1a2a-dd0b-4660-9249-fe4727d600be,0,0,0,S,Foul,FF,7,2.0,3.51,1.74,96.3,88.8,,-1.88,50.0,5.26,-0.3,2.21,-5.95,9.18,6.53,-140.09,-5.99,-11.95,28.77,-13.75,36.0,3.6,24.0,2038,211,,,,451594,,,0,0,-2,top
2019-09-22,567089,9,605441,R,451594,L,65,Single,6,2,190530_195055,65d0631c-bc0c-4399-8caa-acea44dd0cf0,0,1,0,S,Called Strike,SL,9,2.0,3.46,1.62,87.9,79.4,,-1.78,50.0,5.33,0.52,1.83,-1.85,2.57,6.34,-127.71,-3.16,-3.0,30.73,-28.0,3.6,7.2,24.0,1907,201,,,,451594,,,0,0,-2,top
2019-09-22,567089,9,605441,R,451594,L,65,Single,6,3,190530_195114,2ce03ab1-cc04-4d01-9cda-f71c67c01485,0,2,0,B,Ball,FF,11,2.0,3.5,1.74,96.7,88.6,,-2.06,50.0,5.5,-1.84,4.23,-6.14,8.54,2.83,-140.91,-0.84,-12.39,30.9,-14.93,38.4,3.6,24.0,2194,214,,,,451594,,,0,0,-2,top
2019-09-22,567089,9,605441,R,451594,L,65,Single,6,4,190530_195137,b32a0e37-70d9-4f42-98fa-e5e80ba09c3e,1,2,0,B,Ball,CU,13,2.0,3.53,1.74,84.5,78.3,,-1.79,50.0,5.3,-0.72,1.15,0.12,-3.99,2.57,-123.0,-2.22,0.19,23.21,-38.32,1.2,9.6,24.0,2317,6,,,,451594,,,0,0,-2,top
2019-09-22,567089,9,605441,R,451594,L,65,Single,6,5,190530_195218,24092db9-1b25-4797-bd80-5f20dbdde160,2,1,0,S,Foul,FT,13,2.0,3.51,1.74,96.8,89.1,,-1.88,50.0,5.09,-0.08,1.62,-8.48,6.57,8.06,-140.69,-6.27,-17.12,29.94,-18.92,37.2,4.8,24.0,2051,231,,,,451594,,,0,0,-2,top
2019-09-22,567089,9,605441,R,451594,L,65,Single,6,6,190530_195241,8a651897-2e3c-4593-9a01-19ba5ccd65b4,2,2,0,X,In play- no out,FF,8,2.0,3.51,1.74,97.6,89.9,,-1.86,50.0,5.13,-0.18,2.31,-4.61,9.03,6.42,-142.07,-5.53,-9.51,29.96,-13.56,28.8,3.6,24.0,2012,204,,,,451594,,,0,0,-2,top
2019-09-22,567089,9,605441,R,446308,L,66,Flyout,4,1,190530_195319,ac0a9be1-f937-458f-86a9-6fb938fa94ff,0,0,0,S,Called Strike,FF,4,2.0,3.37,1.56,97.1,88.8,,-1.78,50.0,5.18,-0.68,2.87,-7.14,7.89,5.67,-141.32,-3.55,-14.46,31.89,-16.19,38.4,4.8,24.0,2240,220,451594,,,,451594,,0,1,-2,top
2019-09-22,567089,9,605441,R,446308,L,66,Flyout,4,2,190530_195340,c1879a6b-af30-44ae-b25c-11d7a03c0228,0,1,0,S,Swinging Strike,FF,4,2.0,3.58,1.68,96.6,88.8,,-1.82,50.0,5.23,-0.63,2.56,-7.36,7.82,5.98,-140.45,-4.46,-14.82,29.44,-16.43,38.4,4.8,24.0,2162,222,451594,,,,451594,,0,1,-2,top
2019-09-22,567089,9,605441,R,446308,L,66,Flyout,4,3,190530_195435,a19e1ac5-0467-4a05-9661-35cd2749858d,0,2,0,X,In play- out(s),FT,1,2.0,3.58,1.68,96.8,88.8,,-1.76,50.0,5.35,-0.46,3.35,-7.77,6.15,6.45,-140.92,-2.03,-15.69,30.62,-19.75,34.8,4.8,24.0,2149,229,451594,,,,451594,,0,1,-2,top
2019-09-22,567089,9,605441,R,576397,R,67,Walk,5,1,190530_195521,58e2b47d-aea7-42a6-b03d-ff5060247c76,0,0,1,B,Ball,FF,13,2.0,3.02,1.34,97.9,89.7,,-1.72,50.0,5.04,-0.25,1.0,-5.93,9.57,6.28,-142.21,-9.13,-12.17,31.79,-12.52,37.2,3.6,24.0,2365,211,,451594,,576397,,451594,0,0,-2,top
