Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-14,565799,7,554340,R,572233,R,51,Home Run,1,1,190328_221936,9df64084-b4b5-4beb-8339-bfc9c2f490d3,0,0,0,X,In play- run(s),FT,4,2.0,3.41,1.57,94.1,86.1,,-2.61,50.0,4.77,-0.36,2.43,-9.38,7.03,9.37,-136.63,-2.86,-17.8,29.06,-18.83,39.6,4.8,24.0,2514,230,,,,,,,1,0,8,top
2019-08-14,565799,7,554340,R,606466,L,52,Flyout,3,1,190328_222012,73ceb64f-a665-4238-8e1b-2809179b1f27,0,0,0,S,Foul Bunt,SL,5,2.0,3.4,1.57,85.0,79.5,,-2.92,50.0,5.0,0.0,2.58,3.35,1.08,6.14,-123.81,0.22,5.31,20.03,-30.46,12.0,8.4,24.0,2934,107,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,606466,L,52,Flyout,3,2,190328_222039,81e750ff-6def-496e-a86a-5020dd0ac1f5,0,1,0,S,Foul Bunt,CH,13,2.0,3.41,1.57,89.4,82.9,,-2.6,50.0,4.84,-0.34,1.39,-8.92,2.16,8.84,-130.0,-3.38,-15.47,23.94,-28.42,25.2,7.2,24.0,1778,256,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,606466,L,52,Flyout,3,3,190328_222115,a3ac7be8-360f-4d4e-9228-192d8bb997d0,0,2,0,X,In play- out(s),FF,12,2.0,3.47,1.6,95.6,88.2,,-2.35,50.0,4.84,0.84,3.3,-5.34,7.5,10.69,-138.96,-1.12,-10.56,27.65,-17.34,25.2,3.6,24.0,2637,209,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,605113,R,53,Lineout,4,1,190328_222148,19a57267-d586-444c-ae9a-e2f3ba9ec359,0,0,1,S,Called Strike,CU,13,2.0,3.61,1.82,84.3,78.5,,-2.97,50.0,4.96,-0.78,2.47,5.24,-1.04,3.67,-122.75,0.84,8.12,20.9,-33.79,14.4,9.6,24.0,2949,82,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,605113,R,53,Lineout,4,2,190328_222206,0b3d3336-9394-481b-ac1d-8612f4b7bb30,0,1,1,B,Ball,FF,11,2.0,3.54,1.79,93.6,86.1,,-2.85,50.0,4.97,-1.21,3.99,-4.28,6.26,5.93,-136.24,1.1,-8.12,27.5,-20.31,19.2,4.8,24.0,2622,209,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,605113,R,53,Lineout,4,3,190328_222229,c5f1080f-907e-4cad-9bdf-4bc0b6fd4e7b,1,1,1,S,Foul,CU,7,2.0,3.47,1.59,83.6,77.7,,-2.81,50.0,4.82,-0.29,2.02,7.06,0.34,3.88,-121.69,-0.21,10.71,21.31,-31.65,19.2,8.4,24.0,2951,93,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,605113,R,53,Lineout,4,4,190328_222309,657c3ec5-3904-4443-a0e0-f6a112113916,1,2,1,X,In play- out(s),FF,3,2.0,3.33,1.51,95.4,87.6,,-2.3,50.0,4.78,0.26,2.72,-4.37,7.11,8.61,-138.7,-2.32,-8.57,29.17,-18.23,20.4,3.6,24.0,2591,206,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,571974,R,54,Strikeout,4,1,190328_222342,77a2812f-5c77-4a04-b5c0-e1c22aad7608,0,0,2,B,Ball,CU,13,2.0,3.28,1.57,82.5,75.9,,-3.2,50.0,4.9,-1.76,2.17,7.73,-2.57,1.04,-119.94,1.11,11.28,22.79,-35.93,18.0,10.8,24.0,2902,74,,,,,,,0,1,7,top
2019-08-14,565799,7,554340,R,571974,R,54,Strikeout,4,2,190328_222402,2c8c6083-78a1-495f-90b1-365a6ea6b306,1,0,2,S,Swinging Strike,SL,2,2.0,3.32,1.52,85.2,77.8,,-2.84,50.0,4.94,0.03,2.95,0.5,0.86,6.84,-123.76,1.47,0.77,25.44,-30.85,3.6,8.4,24.0,2740,131,,,,,,,0,1,7,top
