Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-09,565800,6,661255,R,592626,L,45,Walk,4,1,190330_041426,c61a7bab-3e3b-4260-af99-bb3c275ae9cb,0,0,0,B,Ball,FF,11,2.0,3.53,1.68,95.6,87.1,,-1.43,50.0,6.09,-1.56,4.36,-4.12,8.97,1.11,-139.29,-2.09,-8.06,32.4,-14.62,27.6,3.6,24.0,2260,204,,,,592626,,,0,0,-3,bottom
2019-09-09,565800,6,661255,R,592626,L,45,Walk,4,2,190330_041448,25d0aba7-e955-4485-b3da-2998f5041fd0,1,0,0,B,Ball,FF,11,2.0,3.41,1.61,96.2,87.6,,-1.52,50.0,5.89,-0.65,3.67,-2.39,9.42,3.24,-140.12,-3.66,-4.73,33.1,-13.53,15.6,3.6,24.0,2193,192,,,,592626,,,0,0,-3,bottom
2019-09-09,565800,6,661255,R,592626,L,45,Walk,4,3,190330_041511,55e5e48d-573b-4b0c-b05e-e4f479c20dff,2,0,0,B,Ball,FF,11,2.0,3.46,1.74,95.0,86.7,,-1.5,50.0,5.95,-0.98,3.92,-1.88,8.77,2.07,-138.45,-2.78,-3.65,31.61,-15.2,10.8,3.6,24.0,2170,190,,,,592626,,,0,0,-3,bottom
2019-09-09,565800,6,661255,R,592626,L,45,Walk,4,4,190330_041539,9cc06c81-c8f7-4484-a972-0d0b571f0499,3,0,0,B,Ball,FF,11,2.0,3.55,1.74,95.5,86.8,,-1.46,50.0,5.96,-0.72,4.15,-3.74,8.87,3.36,-139.08,-2.25,-7.28,32.98,-14.9,22.8,3.6,24.0,2288,200,,,,592626,,,0,0,-3,bottom
2019-09-09,565800,6,661255,R,641355,L,46,Lineout,5,1,190330_041623,39caa78f-5ed8-4163-8744-389bb6fd773a,0,0,0,B,Ball,FF,11,2.0,3.92,1.86,95.7,87.4,,-1.47,50.0,5.83,-1.51,3.42,-2.8,8.8,0.9,-139.46,-3.93,-5.51,32.07,-14.88,18.0,3.6,24.0,2177,197,592626,,,,,,0,1,-3,bottom
2019-09-09,565800,6,661255,R,641355,L,46,Lineout,5,2,190330_041648,3e8ded89-6f75-40a3-80e0-9259dcccb232,1,0,0,B,Ball In Dirt,CH,13,2.0,3.88,1.75,90.0,82.3,,-1.35,50.0,5.74,-0.89,1.44,-4.08,9.61,2.56,-130.95,-8.1,-7.07,28.43,-15.54,20.4,4.8,24.0,1780,203,592626,,,,,,0,1,-3,bottom
2019-09-09,565800,6,661255,R,641355,L,46,Lineout,5,3,190330_041759,e3144d84-b7c6-40f8-bc70-a5220e03cbf7,2,0,0,S,Foul,FF,11,2.0,3.95,1.63,94.7,87.0,,-1.39,50.0,5.87,-0.77,3.08,-3.68,9.56,3.02,-137.96,-5.12,-7.13,29.41,-13.67,24.0,3.6,24.0,2150,200,592626,,,,,,0,1,-3,bottom
2019-09-09,565800,6,661255,R,641355,L,46,Lineout,5,4,190330_041828,583930f0-98d5-4175-91b9-087fb9dc7d9f,2,1,0,B,Ball,CH,11,2.0,3.93,1.75,88.9,82.2,,-1.27,50.0,5.92,-1.64,3.34,-6.86,7.03,1.35,-129.61,-2.72,-11.78,24.55,-20.09,28.8,6.0,24.0,1584,224,592626,,,,,,0,1,-3,bottom
2019-09-09,565800,6,661255,R,641355,L,46,Lineout,5,5,190330_041904,9052c75f-384f-40fb-a0b8-9c5c3e243970,3,1,0,X,In play- out(s),FF,4,2.0,3.87,1.91,95.0,87.6,,-1.46,50.0,5.82,-0.57,2.69,-3.9,9.04,3.83,-138.41,-5.93,-7.62,28.68,-14.5,24.0,3.6,24.0,2281,202,592626,,,,,,0,1,-3,bottom
2019-09-09,565800,6,661255,R,431145,R,47,Forceout,6,1,190330_041941,7e04043b-321c-46e1-beeb-69a9005beb88,0,0,1,B,Ball,FF,14,2.0,3.3,1.68,96.2,88.5,,-1.06,50.0,5.74,1.21,1.83,-2.98,10.41,7.38,-139.91,-8.77,-5.94,30.11,-11.44,18.0,2.4,24.0,2257,192,,,,,,,0,1,-3,bottom
