Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-13,566373,1,579328,L,643217,L,0,Strikeout,5,1,190330_021117,e17ca81b-9211-492b-bc9c-415eac13e276,0,0,0,S,Called Strike,FF,7,2.0,3.32,1.69,93.0,85.4,,1.94,50.0,5.81,-0.35,1.93,3.24,10.64,-7.24,-135.03,-8.04,6.01,28.24,-12.45,18.0,3.6,24.0,2155,166,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,643217,L,0,Strikeout,5,2,190330_021133,bd9c0fd2-b056-4ae7-ba1f-0ea47ecedb46,0,1,0,B,Ball,SL,13,2.0,3.36,1.59,86.7,80.8,,2.31,50.0,5.57,-1.01,0.75,-0.64,0.73,-8.1,-126.03,-5.85,-1.04,23.01,-30.98,3.6,8.4,24.0,2364,261,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,643217,L,0,Strikeout,5,3,190330_021149,0720cc1e-bd94-403b-8c3d-f5519a4a6a80,1,1,0,S,Foul,FF,12,2.0,3.35,1.6,92.1,84.2,,2.21,50.0,5.88,1.01,2.74,3.58,10.9,-4.4,-133.93,-5.95,6.51,28.93,-12.38,22.8,3.6,24.0,2093,163,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,643217,L,0,Strikeout,5,4,190330_021209,f97cc27e-dc29-4123-9b85-293d6ac01df4,1,2,0,B,Ball,FF,14,2.0,3.33,1.65,93.7,86.1,,2.1,50.0,5.66,0.02,1.03,4.32,10.92,-7.1,-136.03,-10.32,8.13,28.58,-11.62,26.4,3.6,24.0,2145,160,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,643217,L,0,Strikeout,5,5,190330_021229,2284a4ad-4518-4bc6-9caf-d117f3f47741,2,2,0,S,Swinging Strike,SL,13,2.0,3.32,1.63,87.2,80.7,,2.46,50.0,5.6,-0.68,0.89,-0.55,2.7,-7.69,-126.63,-6.26,-0.9,24.73,-27.76,4.8,7.2,24.0,2333,214,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,605141,R,1,Flyout,4,1,190330_021305,03cf4571-cd75-484d-84df-a06fab8ea856,0,0,1,B,Ball,CU,13,2.0,3.28,1.55,77.0,71.2,,2.0,50.0,6.0,-0.46,0.71,-3.76,-8.31,-4.33,-111.79,-1.94,-4.72,21.42,-42.62,7.2,14.4,24.0,2585,332,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,605141,R,1,Flyout,4,2,190330_021321,b8edadce-d23a-4f15-8138-2d37d0d49e17,1,0,1,S,Called Strike,CU,5,2.0,3.24,1.52,75.9,69.6,,2.03,50.0,6.21,0.22,2.52,-3.66,-10.4,-2.88,-110.42,2.35,-4.46,22.01,-44.85,6.0,14.4,24.0,2681,337,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,605141,R,1,Flyout,4,3,190330_021335,228a3288-2a41-482b-a5a0-86b84e7dd553,1,1,1,B,Ball,FF,14,2.0,3.28,1.65,94.3,86.3,,2.34,50.0,5.64,1.56,1.88,4.49,11.25,-3.72,-137.15,-8.21,8.57,30.05,-10.73,32.4,3.6,24.0,2144,158,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,605141,R,1,Flyout,4,4,190330_021401,ee7a225e-5774-42a5-a478-f11bd2bb0cef,2,1,1,X,In play- out(s),FF,5,2.0,3.28,1.62,93.8,85.8,,2.1,50.0,5.76,0.17,2.77,2.58,10.46,-6.11,-136.35,-5.75,4.86,29.6,-12.45,14.4,3.6,24.0,2249,169,,,,,,,0,1,0,top
2019-09-13,566373,1,579328,L,502110,R,2,Flyout,2,1,190330_021434,69ce0cf4-2757-439c-af14-77b619ad8f9a,0,0,2,S,Called Strike,FF,12,2.0,3.8,1.82,94.3,86.7,,2.4,50.0,5.63,0.8,2.95,4.21,8.44,-5.84,-137.32,-4.36,8.08,28.81,-15.96,22.8,3.6,24.0,2162,156,,,,,,,0,1,0,top
