Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,1,170406_051511,3ec3e7ac-efcf-41dc-a5c1-b5cc243a6042,0,0,0,B,Ball,FF,14,2.0,3.15,1.5,88.4,80.9,75.38,-0.97,50.0,5.3,1.14,1.96,-5.6,12.47,7.21,-128.67,-6.26,-9.39,26.79,-11.28,32.4,3.6,24.0,2264,201,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,2,170406_051531,98ae2e4b-b6f0-4f91-a8c2-f739f93eb218,1,0,0,S,Swinging Strike,FF,1,2.0,3.83,1.62,88.7,81.2,38.34,-0.97,50.0,5.38,-0.32,3.05,-4.85,10.84,3.26,-129.33,-3.23,-8.21,27.09,-13.83,27.6,3.6,24.0,2195,202,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,3,170406_051555,59421c15-2157-43e4-b4cf-2d3f9caaa6f7,1,1,0,B,Ball,CU,12,2.0,3.42,1.62,75.4,69.4,17.97,-0.76,50.0,5.76,1.6,3.13,7.7,2.67,2.94,-109.8,0.98,9.4,19.44,-28.91,19.2,9.6,24.0,2161,110,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,4,170406_051616,9030bb5b-2a34-4e50-812a-ae5b33c46bbd,2,2,0,F,Foul,FC,3,2.0,3.83,1.62,85.3,77.5,38.73,-0.98,50.0,5.63,0.49,2.93,-0.95,13.87,3.89,-124.13,-4.39,-1.47,26.63,-10.7,3.6,3.6,24.0,2247,181,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,5,170406_051647,eb09374c-f1ac-46da-b3fc-ce5932d5ba15,2,2,0,F,Foul,FF,6,2.0,3.83,1.62,89.7,82.3,44.76,-0.76,50.0,5.36,0.67,2.31,-4.06,11.41,5.06,-130.64,-5.47,-7.04,26.69,-12.39,24.0,3.6,24.0,2221,197,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,6,170406_051718,7153ea31-cd12-4042-b3f1-87623260d426,2,2,0,B,Ball,CU,14,2.0,3.33,1.62,77.2,72.0,11.88,-0.79,50.0,5.42,2.27,0.96,5.99,2.12,5.08,-112.44,-3.32,7.72,19.03,-29.44,15.6,9.6,24.0,2179,105,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,501981,R,70,Flyout,7,7,170406_051742,5694f6c3-ea20-45ca-bdfc-430bda18481f,3,2,0,X,In play- out(s),FF,6,2.0,3.83,1.62,89.8,82.2,25.78,-0.96,50.0,5.35,0.25,2.54,-3.06,12.76,4.16,-130.91,-5.32,-5.31,27.66,-10.03,21.6,2.4,24.0,2275,191,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,519390,L,71,Groundout,4,1,170406_051824,efc886c1-d5ce-4f0f-95a3-b294816c454a,0,0,1,B,Ball,FF,11,2.0,3.33,1.55,87.9,80.6,83.95,-1.26,50.0,5.33,-0.86,3.45,-2.4,11.12,1.82,-128.2,-2.07,-4.01,25.74,-13.61,14.4,3.6,24.0,2187,191,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,519390,L,71,Groundout,4,2,170406_051841,8a203445-ec4f-4fa8-9164-740200e4ae19,1,0,1,B,Ball,CH,11,2.0,3.22,1.57,81.5,75.1,54.78,-1.26,50.0,5.48,-1.05,2.93,-6.25,9.42,2.42,-118.88,-2.05,-8.99,21.57,-18.61,24.0,6.0,24.0,1918,212,,,,,,,0,1,5,bottom
2017-04-05,490126,9,433589,R,519390,L,71,Groundout,4,3,170406_051903,30b24a3b-fae1-4b4a-bfb8-3c8ed39158eb,2,1,1,C,Called Strike,FF,8,2.0,3.31,1.51,88.6,81.4,32.67,-1.16,50.0,5.28,-0.06,1.95,-3.24,11.96,3.88,-129.0,-6.15,-5.49,25.77,-11.93,20.4,3.6,24.0,2198,193,,,,,,,0,1,5,bottom
