Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,1,190803_023359,47871154-e00b-4418-a25b-c0829726e846,0,0,0,S,Swinging Strike,FT,1,,3.5,1.75,89.8,82.9,,-1.95,50.0,5.0,-0.25,3.29,-7.34,4.92,6.9,-130.87,0.09,-12.85,25.07,-23.56,26.4,6.0,24.0,1731,232,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,2,190803_023413,4ab37406-9b55-4eaf-a982-c18f8ad2a3ab,0,1,0,B,Ball,CU,11,,3.58,1.75,80.8,74.1,,-2.47,50.0,4.84,-3.19,2.85,-4.0,-2.48,-0.47,-117.67,3.05,-5.6,22.51,-35.64,9.6,10.8,24.0,785,294,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,3,190803_023432,a3b1ce26-5742-4519-9180-9652b57176df,1,1,0,S,Foul,SL,6,,3.5,1.75,88.4,81.9,,-2.1,50.0,4.92,0.25,2.58,-1.23,2.59,6.4,-128.82,-0.55,-2.1,24.06,-27.77,2.4,7.2,24.0,2186,191,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,4,190803_023450,e2ddbaaf-aba3-4363-8337-c28356003334,1,2,0,B,Ball,CU,13,,3.53,1.75,81.1,73.5,,-2.45,50.0,4.69,-1.9,2.52,-3.49,-1.21,2.33,-118.02,2.27,-4.85,25.44,-33.86,7.2,9.6,24.0,3631,282,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,5,190803_023505,cc33c637-f640-4f78-a8cf-c50311d35c6d,2,1,0,S,Foul,CU,4,,3.5,1.75,81.6,74.1,,-2.37,50.0,4.7,-0.67,2.41,-4.82,-1.23,5.42,-118.6,1.93,-6.8,24.77,-33.9,9.6,9.6,24.0,,280,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,6,190803_023528,d4047714-b4c0-4c20-b10a-45129cd8ce82,2,2,0,B,Ball,FT,14,,3.5,1.75,92.5,84.6,,-1.8,50.0,4.93,1.04,1.24,-8.38,6.76,10.42,-134.33,-6.04,-15.3,29.44,-19.84,32.4,6.0,24.0,2019,229,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,670541,L,62,Groundout,7,7,190803_023546,319f8a61-6493-4b51-a3a4-4bf28c7b05b9,3,2,0,X,In play- out(s),FT,9,,3.5,1.75,92.9,85.1,,-1.84,50.0,4.94,0.42,2.18,-7.64,6.12,8.68,-135.08,-3.48,-14.14,28.85,-20.85,30.0,6.0,24.0,2011,228,,,,,,,0,1,-7,bottom
2019-09-14,565659,7,665093,R,621043,R,63,Walk,5,1,190803_023623,566ed997-85dc-46a9-90f9-54b7c578654e,0,0,1,B,Ball,SL,14,,3.73,1.78,89.3,82.4,,-1.86,50.0,5.07,1.41,1.87,-2.01,4.11,9.09,-129.85,-3.36,-3.46,25.5,-25.11,3.6,6.0,24.0,2361,194,,,,621043,,,0,0,-7,bottom
2019-09-14,565659,7,665093,R,621043,R,63,Walk,5,2,190803_023638,53733298-3fc8-4808-8cfe-0088f315fbcb,1,0,1,S,Foul,FT,11,,3.51,1.68,91.6,83.8,,-2.11,50.0,4.86,-0.81,2.68,-10.32,1.9,6.95,-133.26,-0.28,-18.54,28.73,-28.77,31.2,7.2,24.0,1795,258,,,,621043,,,0,0,-7,bottom
2019-09-14,565659,7,665093,R,621043,R,63,Walk,5,3,190803_023704,91be1b16-b2eb-4b24-bf05-3e9566fb4b5c,1,1,1,B,Ball,FT,14,,3.72,1.74,91.2,84.0,,-1.83,50.0,4.62,0.87,0.96,-10.34,2.68,10.61,-132.56,-4.38,-18.48,27.07,-27.38,30.0,7.2,24.0,1807,255,,,,621043,,,0,0,-7,bottom
2019-09-14,565659,7,665093,R,621043,R,63,Walk,5,4,190803_023726,e9cda373-9895-4f8b-971e-45912b20ede0,2,1,1,B,Ball,FT,14,,3.66,1.68,92.9,85.1,,-1.9,50.0,4.94,1.13,2.24,-6.78,5.62,10.41,-134.97,-3.12,-12.55,28.75,-21.78,25.2,6.0,24.0,2003,226,,,,621043,,,0,0,-7,bottom
2019-09-14,565659,7,665093,R,621043,R,63,Walk,5,5,190803_023743,6dabdc1f-332c-45d3-89cc-ebb3ed8ca449,3,1,1,B,Ball,SL,14,,3.56,1.68,88.1,81.1,,-1.88,50.0,4.96,1.56,1.74,-0.57,2.62,8.9,-128.1,-2.67,-0.96,25.96,-27.81,1.2,7.2,24.0,2188,168,,,,621043,,,0,0,-7,bottom
2019-09-14,565659,7,665093,R,649557,R,64,Grounded Into DP,4,1,190803_023818,d060dd24-3649-47a5-8744-b3f698013203,0,0,1,B,Ball,SL,13,,3.46,1.62,88.2,81.1,,-2.05,50.0,4.79,-0.02,0.79,-1.89,3.5,5.79,-128.32,-4.92,-3.16,26.52,-26.33,4.8,7.2,24.0,2219,201,621043,,,,,,0,2,-7,bottom
2019-09-14,565659,7,665093,R,649557,R,64,Grounded Into DP,4,2,190803_023836,41cfc6fe-caf2-4e26-99a5-518e86665864,1,0,1,B,Ball,FT,14,,3.42,1.62,92.2,84.2,,-1.74,50.0,4.92,0.53,1.1,-7.48,6.0,8.56,-133.94,-6.06,-13.54,29.82,-21.31,27.6,6.0,24.0,2053,230,621043,,,,,,0,2,-7,bottom
2019-09-14,565659,7,665093,R,649557,R,64,Grounded Into DP,4,3,190803_023933,af33f756-2897-49bc-a34b-f05719407f6f,2,0,1,S,Called Strike,FT,4,,3.33,1.62,91.3,83.4,,-2.01,50.0,4.76,-0.63,2.35,-10.96,2.8,7.34,-132.9,-1.14,-19.55,29.18,-27.18,33.6,7.2,24.0,1930,254,621043,,,,,,0,2,-7,bottom
2019-09-14,565659,7,665093,R,649557,R,64,Grounded Into DP,4,4,190803_023954,d86ffa81-cc53-43db-9ccd-a7f2d001cccb,2,1,1,X,In play- out(s),SL,14,,3.39,1.62,88.2,80.9,,-2.17,50.0,4.82,0.08,1.26,-0.57,3.41,5.9,-128.42,-3.78,-0.94,27.29,-26.49,0.0,7.2,24.0,2270,176,621043,,,,,,0,2,-7,bottom
2019-09-14,565659,8,665093,R,455117,R,69,Walk,4,1,190803_025140,4ae55f0f-439e-4c82-a9b1-e837bd1f6d07,0,0,0,B,Ball,FT,11,,3.46,1.68,91.9,84.0,,-1.9,50.0,5.07,-0.97,2.62,-7.63,7.62,5.08,-133.78,-3.01,-13.83,29.05,-18.37,33.6,4.8,24.0,2020,223,,,,455117,,,0,0,-7,bottom
2019-09-14,565659,8,665093,R,455117,R,69,Walk,4,2,190803_025155,a201d562-efc7-4b58-8689-5ac651d33437,1,0,0,B,Ball,SL,14,,3.43,1.62,88.3,81.1,,-2.06,50.0,4.94,1.33,1.59,-2.18,3.91,9.31,-128.38,-3.44,-3.63,26.37,-25.65,3.6,6.0,24.0,2218,195,,,,455117,,,0,0,-7,bottom
2019-09-14,565659,8,665093,R,455117,R,69,Walk,4,3,190803_025209,7aafa9dd-bf52-4aa5-a682-35fada764c5d,2,0,0,B,Ball,FF,11,,3.42,1.59,91.9,84.0,,-2.1,50.0,4.96,-1.55,2.55,-6.18,8.02,3.58,-133.89,-3.03,-11.22,29.08,-17.62,30.0,4.8,24.0,2061,216,,,,455117,,,0,0,-7,bottom
2019-09-14,565659,8,665093,R,455117,R,69,Walk,4,4,190803_025226,3eb2065f-7c3c-4808-b895-2eb04a240c5e,3,0,0,B,Ball,FF,13,,3.21,1.35,91.8,84.0,,-1.93,50.0,4.96,-1.35,2.15,-6.27,7.66,3.68,-133.67,-3.95,-11.35,28.74,-18.32,28.8,4.8,24.0,2019,218,,,,455117,,,0,0,-7,bottom
2019-09-14,565659,8,665093,R,545350,R,70,Groundout,6,1,190803_025303,e0f30227-54cf-47ce-ac6d-637aa22f28a2,0,0,0,S,Called Strike,CH,1,,3.49,1.66,87.9,80.7,,-2.08,50.0,5.04,-0.43,2.95,-1.47,4.04,4.64,-128.1,-0.25,-2.45,26.11,-25.45,3.6,6.0,24.0,2224,192,455117,,,,455117,,0,1,-7,bottom
2019-09-14,565659,8,665093,R,545350,R,70,Groundout,6,2,190803_025320,a34322e8-9620-4e72-b902-7e2c882a8515,0,1,0,B,Ball,SL,14,,3.54,1.71,89.1,81.9,,-2.14,50.0,4.8,0.93,1.01,-2.76,3.65,8.78,-129.5,-4.62,-4.7,26.77,-25.97,6.0,6.0,24.0,2236,207,455117,,,,455117,,0,1,-7,bottom
2019-09-14,565659,8,665093,R,545350,R,70,Groundout,6,3,190803_025339,d73dfda4-8e3f-47a9-8574-b98047dc3290,1,1,0,B,Ball In Dirt,CU,14,,3.49,1.62,82.8,75.7,,-2.06,50.0,4.61,0.35,0.43,-5.47,-1.94,7.37,-120.23,-2.48,-7.95,25.12,-35.0,10.8,9.6,24.0,868,295,455117,,,,455117,,0,1,-7,bottom
2019-09-14,565659,8,665093,R,545350,R,70,Groundout,6,4,190803_025402,f264b296-90ec-4e4f-b5a1-812efe7a00a5,2,1,0,S,Swinging Strike,FT,11,,3.43,1.62,90.5,83.1,,-2.26,50.0,4.74,-1.48,2.69,-9.26,0.36,5.16,-131.82,0.72,-16.33,27.46,-31.54,26.4,8.4,24.0,1725,266,455117,,,,455117,,0,1,-7,bottom
2019-09-14,565659,8,665093,R,545350,R,70,Groundout,6,5,190803_025422,13182b42-fc19-438e-a184-c485c6706f54,2,2,0,B,Ball,CU,14,,3.41,1.62,82.0,75.5,,-2.2,50.0,4.64,0.28,0.93,-3.99,-3.27,7.05,-119.3,-0.91,-5.73,23.39,-36.87,7.2,10.8,24.0,1613,316,455117,,,,455117,,0,1,-7,bottom
2019-09-14,565659,8,665093,R,545350,R,70,Groundout,6,6,190803_025441,8bb80c08-c5c0-42b4-86ba-da7ef53514a1,3,2,0,X,In play- out(s),FT,8,,3.43,1.62,91.6,84.0,,-2.08,50.0,4.66,0.17,1.82,-10.07,2.58,9.39,-133.2,-2.24,-18.13,28.08,-27.53,30.0,7.2,24.0,1806,254,455117,,,,455117,,0,1,-7,bottom
2019-09-14,565659,8,665093,R,543807,R,71,Single,4,1,190803_025552,1f068ce1-8ee0-44dc-8eba-7e18eee9996e,0,0,1,S,Foul,CH,5,,3.45,1.63,87.0,80.3,,-2.11,50.0,4.87,-0.2,2.55,-2.57,2.48,5.64,-126.8,-0.23,-4.21,24.18,-28.1,6.0,7.2,24.0,2062,216,,455117,,543807,,455117,0,0,-7,bottom
2019-09-14,565659,8,665093,R,543807,R,71,Single,4,2,190803_025625,5a01d3b5-3b74-49ae-8858-72381d699325,0,1,1,S,Called Strike,CU,14,,3.49,1.63,79.9,72.7,,-2.26,50.0,4.69,0.38,1.55,-3.97,-3.79,7.19,-116.14,1.02,-5.36,24.31,-37.28,6.0,10.8,24.0,716,320,,455117,,543807,,455117,0,0,-7,bottom
