Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-04,490114,1,605200,R,453568,L,0,Strikeout,6,1,170404_234048,db580179-ba3d-48fd-9c47-d28b1ea69a35,0,1,0,L,Foul Bunt,FT,7,2.0,3.92,1.57,90.6,82.8,49.1,-1.88,50.0,5.54,-0.32,1.99,-10.14,9.2,7.48,-131.53,-6.12,-17.77,27.88,-16.05,43.2,6.0,24.0,2040,227,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,453568,L,0,Strikeout,6,2,170404_234146,da11a565-e6d5-4cf3-a588-2e07de305137,0,2,0,F,Foul,FT,8,2.0,3.92,1.57,90.0,82.4,42.48,-1.89,50.0,5.38,0.21,2.11,-7.27,10.48,7.86,-130.72,-5.74,-12.6,27.05,-14.0,36.0,4.8,24.0,2175,212,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,453568,L,0,Strikeout,6,3,170404_234208,0218c66a-0353-4f8b-929a-d263c953e59d,0,2,0,F,Foul,FT,6,2.0,3.92,1.57,90.1,81.8,48.28,-1.95,50.0,5.4,0.54,2.41,-7.84,10.02,9.02,-130.66,-4.8,-13.49,28.71,-14.93,36.0,4.8,24.0,2158,214,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,453568,L,0,Strikeout,6,4,170404_234255,7a88c589-8253-46c9-b958-f5efca5f1890,0,2,0,B,Ball,FT,13,2.0,3.72,1.73,91.7,83.9,44.19,-1.95,50.0,5.27,-0.49,0.81,-10.85,8.15,7.55,-133.05,-8.39,-19.45,28.54,-17.56,43.2,6.0,24.0,2138,233,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,453568,L,0,Strikeout,6,5,170404_234311,1d728acc-ea4c-498c-be67-ec2577b9f385,1,2,0,B,Ball,FT,12,2.0,3.67,1.74,90.7,82.8,29.27,-1.73,50.0,5.45,1.3,2.64,-7.22,10.03,10.31,-131.55,-4.49,-12.67,27.78,-14.6,33.6,4.8,24.0,2174,211,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,453568,L,0,Strikeout,6,6,170404_234325,2aa4a8fb-e1d0-4aa0-a1ce-2f079bf56166,2,2,0,S,Swinging Strike,CH,14,2.0,3.92,1.57,78.6,72.0,60.66,-1.85,50.0,5.57,0.71,1.41,-7.69,7.79,8.0,-114.19,-4.5,-10.11,21.7,-21.92,20.4,7.2,24.0,1726,221,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,518934,R,1,Groundout,4,1,170404_234401,be83139c-1994-4d22-81c9-c414596bc167,0,0,1,B,Ball,FT,13,2.0,3.98,1.83,91.5,83.7,76.09,-1.92,50.0,5.37,-1.12,1.41,-10.17,9.68,5.58,-132.91,-7.57,-18.19,28.55,-14.87,45.6,4.8,24.0,2132,226,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,518934,R,1,Groundout,4,2,170404_234415,e91f2daa-9b75-4b73-b9b4-68af841c75bf,1,0,1,B,Ball,FC,14,2.0,3.98,1.86,86.9,80.5,64.46,-1.98,50.0,5.47,1.06,1.48,0.88,6.84,7.32,-126.36,-5.78,1.43,23.67,-21.02,7.2,6.0,24.0,2265,164,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,518934,R,1,Groundout,4,3,170404_234431,e515ee29-6b87-4aa7-92c1-5b7ebc272994,2,1,1,C,Called Strike,FT,14,2.0,3.56,1.12,90.6,83.0,63.94,-1.81,50.0,5.33,0.53,1.28,-8.76,9.79,9.04,-131.4,-7.63,-15.37,27.1,-15.01,39.6,4.8,24.0,2106,220,,,,,,,0,1,0,top
2017-04-04,490114,1,605200,R,518934,R,1,Groundout,4,4,170404_234448,c65aa184-ca90-4a3a-b994-4767eefcb51c,2,1,1,X,In play- out(s),FT,13,2.0,3.98,1.58,91.7,83.8,62.97,-1.93,50.0,5.41,-1.12,2.26,-9.88,9.77,5.51,-133.31,-5.51,-17.79,28.66,-14.59,46.8,4.8,24.0,2154,224,,,,,,,0,1,0,top
