Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-02,529467,1,605200,R,451594,L,0,Flyout,4,1,180402_181047,dc155dfe-8336-4177-a3d7-89ef1e885dde,0,0,0,S,Called Strike,FT,4,2.0,3.57,1.71,89.5,81.4,45.12,-1.85,50.0,5.5,-0.61,2.56,-9.93,8.02,6.47,-130.14,-3.92,-16.92,28.97,-18.5,38.4,6.0,24.0,2313,229,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,451594,L,0,Flyout,4,2,180402_181100,73f4578d-f71b-4bb8-9c96-fb594fc4345d,0,1,0,S,Called Strike,FT,7,2.0,3.55,1.69,90.9,82.7,53.29,-1.92,50.0,5.34,-0.46,1.75,-9.86,8.06,7.12,-131.97,-5.85,-17.29,29.68,-18.05,39.6,6.0,24.0,2385,230,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,451594,L,0,Flyout,4,3,180402_181116,c8a49b2f-74ab-4376-a790-203f8ce49fe2,0,1,0,S,Foul,FC,12,2.0,3.38,1.48,89.6,81.8,41.53,-1.94,50.0,5.33,0.73,2.78,-5.01,8.48,8.52,-130.11,-3.11,-8.59,27.5,-17.64,20.4,4.8,24.0,2379,205,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,451594,L,0,Flyout,4,4,180402_181142,315d1308-51cd-4512-88d9-88fba6de7d48,0,2,0,X,In play- out(s),FT,3,2.0,3.38,1.48,91.0,82.5,41.59,-1.73,50.0,5.34,0.41,2.77,-10.17,9.04,8.99,-132.08,-3.55,-17.84,29.83,-16.31,43.2,6.0,24.0,2285,225,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,502054,R,1,Flyout,4,1,180402_181211,523490d2-8ae5-4587-acd8-8195883c4359,0,0,1,S,Called Strike,FT,2,2.0,3.31,1.53,90.9,82.7,33.97,-1.81,50.0,5.44,0.02,2.99,-11.21,5.24,8.55,-132.05,-1.96,-19.69,29.42,-22.97,37.2,7.2,24.0,2238,243,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,502054,R,1,Flyout,4,2,180402_181224,5da34021-d19a-4207-ba35-c97224fe8787,0,1,1,B,Ball,CU,14,2.0,3.29,1.51,76.7,70.4,3.36,-1.75,50.0,5.61,1.6,0.13,4.64,-8.91,5.99,-111.4,-2.06,5.72,23.59,-43.16,8.4,14.4,24.0,2835,32,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,502054,R,1,Flyout,4,3,180402_181243,33781994-dca4-4824-b4c0-d617238baaf2,1,1,1,B,Ball,FT,14,2.0,3.3,1.51,91.3,82.5,61.69,-1.72,50.0,5.2,1.28,1.22,-11.09,6.66,11.52,-132.15,-6.39,-19.39,31.16,-20.53,37.2,6.0,24.0,2327,237,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,502054,R,1,Flyout,4,4,180402_181307,68511d0a-5509-4b8e-96b7-61e4bea0ec4f,2,1,1,X,In play- out(s),FC,5,2.0,3.1,1.28,87.8,79.7,18.09,-2.1,50.0,5.37,0.1,2.42,0.34,7.98,5.42,-127.53,-3.59,0.56,28.49,-19.15,4.8,4.8,24.0,2356,171,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,572761,L,2,Strikeout,6,1,180402_181339,31888e80-bd5d-494b-a52e-5a545f5c3db9,0,0,2,B,Ball,FT,14,2.0,3.6,1.73,90.7,81.7,71.26,-1.64,50.0,5.3,1.03,1.58,-10.94,5.22,10.52,-131.42,-5.07,-18.81,32.23,-23.2,33.6,7.2,24.0,2409,243,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,572761,L,2,Strikeout,6,2,180402_181357,ea570447-5c32-4eae-9971-11511c497ee2,1,0,2,B,Ball,FT,14,2.0,3.52,1.72,90.6,81.1,32.19,-1.62,50.0,5.27,1.73,2.07,-9.32,9.05,11.69,-131.09,-4.94,-15.88,33.08,-16.75,36.0,4.8,24.0,2303,221,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,572761,L,2,Strikeout,6,3,180402_181414,362eafbe-6791-4663-a6e4-55119abb3047,2,0,2,B,Ball,FT,14,2.0,3.58,1.72,90.5,81.6,25.62,-1.86,50.0,5.24,0.11,0.89,-11.11,5.5,8.77,-131.15,-6.74,-19.01,32.29,-22.76,34.8,7.2,24.0,2316,244,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,572761,L,2,Strikeout,6,4,180402_181429,e253d61b-5220-4be0-a947-5a5d8dacc9b8,3,0,2,S,Called Strike,FT,14,2.0,3.63,1.74,89.3,80.5,52.94,-1.78,50.0,5.3,0.32,1.57,-11.13,4.08,8.99,-129.48,-4.47,-18.58,31.17,-25.37,32.4,7.2,24.0,2225,249,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,572761,L,2,Strikeout,6,5,180402_181448,ab5cf2d4-b918-4e10-9921-b343616547db,3,1,2,S,Called Strike,FC,2,2.0,3.46,1.72,88.2,79.5,20.62,-1.99,50.0,5.35,-0.09,2.98,-1.04,8.74,5.11,-128.16,-2.4,-1.71,30.24,-17.86,1.2,4.8,24.0,2329,182,,,,,,,0,1,0,top
2018-04-02,529467,1,605200,R,572761,L,2,Strikeout,6,6,180402_181504,e0d9311a-5baf-43f2-b12a-71b5f5d7f34b,3,2,2,S,Swinging Strike,FC,14,2.0,3.4,1.54,88.8,80.4,11.55,-1.88,50.0,5.34,1.39,2.42,-0.22,7.7,8.35,-128.89,-3.57,-0.36,29.73,-19.38,3.6,4.8,24.0,2384,172,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,542303,R,6,Lineout,2,1,180402_182453,a51341d9-9744-4a87-a606-df461b310b7e,0,0,0,B,Ball,FT,14,2.0,3.52,1.59,89.8,82.1,27.11,-1.65,50.0,5.34,1.52,0.37,-10.54,7.62,11.62,-129.92,-9.01,-18.0,27.51,-19.17,37.2,6.0,24.0,2240,233,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,542303,R,6,Lineout,2,2,180402_182514,1bd54fba-dc65-44a5-b763-31c96c908a83,1,0,0,X,In play- out(s),FT,5,2.0,3.43,1.4,89.9,81.7,31.42,-1.75,50.0,5.46,-0.21,2.55,-11.33,5.91,7.75,-130.6,-3.21,-19.46,29.07,-22.02,38.4,7.2,24.0,2220,241,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,500874,R,7,Groundout,4,1,180402_182625,ec3c57bf-36ac-45da-95d7-5fae7d0defac,0,1,1,S,Called Strike,FT,8,2.0,3.89,1.85,90.4,82.2,36.37,-1.76,50.0,5.34,-0.06,2.13,-11.4,5.39,8.2,-131.22,-3.86,-19.75,29.42,-22.84,37.2,7.2,24.0,2293,243,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,500874,R,7,Groundout,4,2,180402_182643,8f7f7405-cca4-42af-b9d7-9c2b93141ed0,0,2,1,B,Ball,FT,12,2.0,3.75,1.85,88.9,80.2,29.77,-1.66,50.0,5.64,0.23,4.46,-8.77,6.73,7.68,-128.99,1.14,-14.62,29.48,-20.95,32.4,6.0,24.0,2219,227,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,500874,R,7,Groundout,4,3,180402_182700,f84c2209-0c1a-42e3-a572-ebecb2e56f90,1,2,1,X,In play- out(s),CU,14,2.0,3.89,1.66,75.2,68.6,51.84,-1.7,50.0,5.8,1.03,1.5,4.77,-8.57,4.51,-109.14,0.7,5.64,22.75,-42.31,8.4,14.4,24.0,2688,34,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,425877,R,8,Strikeout,5,1,180402_182757,dc623454-ba0b-4f90-8001-c0e613d9261e,0,0,2,S,Called Strike,FT,14,2.0,3.52,1.62,90.7,82.7,57.14,-1.58,50.0,5.43,0.81,2.2,-9.98,7.7,9.57,-131.61,-4.79,-17.47,28.35,-18.69,38.4,6.0,24.0,2227,230,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,425877,R,8,Strikeout,5,2,180402_182812,818725c8-3335-47ad-8fe2-b1485f2a1972,0,1,2,B,Ball,FT,14,2.0,3.52,1.63,90.9,82.8,26.33,-1.5,50.0,5.5,2.01,2.33,-9.48,8.02,12.32,-131.77,-4.77,-16.62,28.68,-18.11,36.0,6.0,24.0,2205,226,,,,,,,0,1,0,top
2018-04-02,529467,2,605200,R,425877,R,8,Strikeout,5,3,180402_182826,3230f835-1080-4651-8332-45953cf9cd5e,1,1,2,B,Ball,FT,14,2.0,3.52,1.6,91.0,83.1,31.81,-1.61,50.0,5.14,0.29,0.48,-9.56,8.47,8.17,-132.1,-8.8,-16.84,29.15,-17.27,38.4,6.0,24.0,2274,228,,,,,,,0,1,0,top
