Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-03,529478,8,594943,R,571918,R,62,Groundout,3,1,180404_041905,03f3cba5-d94c-4247-8bd0-9783fcbe06d6,0,1,0,C,Called Strike,FC,7,2.0,3.19,1.38,86.3,79.8,50.01,-1.96,50.0,5.16,-0.38,1.75,-1.39,4.34,4.38,-125.6,-3.43,-2.24,23.42,-25.19,3.6,6.0,24.0,2219,192,,,,,,,0,1,-4,bottom
2018-04-03,529478,8,594943,R,571918,R,62,Groundout,3,2,180404_041529,463e905c-a2c0-4966-b98f-cb6acb19de07,0,2,0,F,Foul,FT,11,2.0,3.24,1.36,90.2,82.1,50.0,-1.99,50.0,5.27,-1.29,2.35,-9.82,4.34,5.09,-131.21,-2.79,-17.01,29.45,-24.65,32.4,7.2,24.0,2103,245,,,,,,,0,1,-4,bottom
2018-04-03,529478,8,594943,R,571918,R,62,Groundout,3,3,180404_041553,d59f030b-5566-4e00-9b54-f722fddabf95,0,2,0,X,In play- out(s),FC,12,2.0,3.24,1.36,86.8,79.7,55.85,-1.89,50.0,5.43,1.09,3.23,0.58,3.06,7.25,-126.23,-0.01,0.94,25.2,-27.23,4.8,7.2,24.0,2335,155,,,,,,,0,1,-4,bottom
2018-04-03,529478,8,594943,R,571974,R,63,Home Run,2,1,180404_041633,58833fd7-0f33-474e-900c-f3e30152ac82,0,0,1,B,Ball,CU,14,2.0,2.97,1.25,75.3,69.8,58.52,-1.61,50.0,5.57,1.41,1.7,0.79,-2.39,6.32,-109.5,-0.26,0.96,18.73,-35.09,3.6,12.0,24.0,2299,36,,,,,,,1,0,-4,bottom
2018-04-03,529478,8,594943,R,571974,R,63,Home Run,2,2,180404_041659,c1acaf6a-fbdf-47d7-adb4-0632175b6775,1,0,1,E,In play- run(s),FC,2,2.0,3.07,1.2,87.1,80.1,27.22,-2.07,50.0,5.23,0.16,2.79,-1.07,5.75,5.93,-126.77,-1.58,-1.75,24.78,-22.78,1.2,6.0,24.0,2394,183,,,,,,,1,0,-4,bottom
2018-04-03,529478,8,594943,R,488671,L,64,Single,6,1,180404_041750,10a2ebc5-eb0e-4c6f-b62c-75a77676393c,0,0,1,B,Ball,FT,13,2.0,3.4,1.47,90.3,82.9,47.58,-1.98,50.0,5.16,-0.22,1.44,-9.6,3.05,7.81,-131.24,-4.46,-16.76,27.48,-26.85,28.8,7.2,24.0,2224,252,,,,488671,,,0,0,-5,bottom
2018-04-03,529478,8,594943,R,488671,L,64,Single,6,2,180404_041812,193cac61-0b1e-47ec-86bc-d681d72c96b6,1,0,1,B,Ball,FT,13,2.0,3.34,1.47,90.3,82.6,53.99,-1.98,50.0,5.21,-0.36,1.27,-10.65,0.56,7.76,-131.22,-4.17,-18.48,28.98,-31.2,27.6,8.4,24.0,2229,268,,,,488671,,,0,0,-5,bottom
2018-04-03,529478,8,594943,R,488671,L,64,Single,6,3,180404_041836,ad521b1f-7a4a-4e2d-b646-ecbb61da4335,2,1,1,F,Foul,FT,4,2.0,3.22,1.36,89.9,82.0,39.28,-1.93,50.0,5.24,-0.41,2.11,-9.87,2.03,7.22,-130.76,-2.5,-17.0,28.99,-28.68,27.6,8.4,24.0,2138,258,,,,488671,,,0,0,-5,bottom
2018-04-03,529478,8,594943,R,488671,L,64,Single,6,4,180404_041913,2509fa6c-4498-4ce4-8f70-5305a20d2a1a,2,1,1,B,Ball,FT,11,2.0,3.34,1.58,90.2,82.8,69.32,-1.95,50.0,5.36,-1.16,3.46,-8.16,2.43,4.83,-131.23,0.46,-14.3,26.5,-27.92,25.2,7.2,24.0,2176,250,,,,488671,,,0,0,-5,bottom
2018-04-03,529478,8,594943,R,488671,L,64,Single,6,5,180404_041939,61a71bbe-9dcc-484d-8ba6-07c3d5cafc7b,3,2,1,F,Foul,FT,4,2.0,3.22,1.36,89.8,82.4,47.54,-2.02,50.0,5.25,-0.66,2.12,-8.61,1.75,6.39,-130.57,-2.41,-14.88,27.17,-29.14,25.2,7.2,24.0,2126,258,,,,488671,,,0,0,-5,bottom
2018-04-03,529478,8,594943,R,488671,L,64,Single,6,6,180404_042013,96afc179-2564-4aae-a1ed-846b371efa1f,3,2,1,D,In play- no out,FT,5,2.0,3.22,1.36,91.2,83.7,30.31,-1.77,50.0,5.19,-0.23,2.26,-9.01,1.07,7.11,-132.61,-1.89,-16.07,27.89,-30.27,25.2,7.2,24.0,2205,263,,,,488671,,,0,0,-5,bottom
