Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-09,567456,8,502154,L,621006,R,59,Flyout,3,1,190328_194501,9524e89e-c1f8-4f5a-8c4c-dc3968d5146c,0,0,0,B,Ball,SI,13,2.0,3.38,1.65,94.9,86.8,,0.57,50.0,6.09,-0.43,1.32,10.39,4.03,-6.36,-137.64,-8.44,19.88,31.18,-24.47,34.8,7.2,24.0,1980,108,,,,,,,0,1,4,top
2019-09-09,567456,8,502154,L,621006,R,59,Flyout,3,2,190328_194516,7e8768ef-71c5-4474-af53-9af5c19a4525,1,0,0,B,Ball,SI,12,2.0,3.33,1.62,94.9,87.9,,0.81,50.0,6.2,1.47,2.59,8.92,4.73,-1.39,-138.24,-5.71,17.44,27.96,-22.94,36.0,6.0,24.0,1974,115,,,,,,,0,1,4,top
2019-09-09,567456,8,502154,L,621006,R,59,Flyout,3,3,190328_194538,5751496c-08a7-4c0d-813d-5b388762aab4,2,0,0,X,In play- out(s),SI,14,2.0,3.26,1.48,94.4,87.5,,0.56,50.0,6.12,0.07,1.46,10.19,5.91,-4.94,-137.08,-8.85,19.63,26.7,-20.78,39.6,6.0,24.0,1979,117,,,,,,,0,1,4,top
2019-09-09,567456,8,502154,L,656775,R,60,Walk,6,1,190328_194618,8a61db05-b473-47e3-bb42-8099b4769b8b,0,0,1,S,Called Strike,SI,8,2.0,3.32,1.5,94.6,88.0,,0.6,50.0,6.18,0.04,2.07,9.58,2.77,-4.94,-137.57,-6.34,18.65,25.9,-26.77,32.4,7.2,24.0,2147,104,,,,656775,,,0,0,4,top
2019-09-09,567456,8,502154,L,656775,R,60,Walk,6,2,190328_194633,2bc6ce82-3220-41a4-9c1b-649a6a289403,0,1,1,B,Ball,SI,14,2.0,3.29,1.47,94.7,87.1,,0.48,50.0,5.99,0.25,0.18,11.36,5.61,-4.61,-137.42,-11.8,21.72,30.4,-21.45,40.8,7.2,24.0,1996,111,,,,656775,,,0,0,4,top
2019-09-09,567456,8,502154,L,656775,R,60,Walk,6,3,190328_194655,04486add-0d95-4e64-a0b7-d36a850b0526,1,1,1,B,Ball,SI,12,2.0,3.27,1.51,95.3,88.2,,0.63,50.0,6.36,1.11,3.72,8.33,6.33,-1.67,-138.78,-3.69,16.46,27.27,-19.67,38.4,4.8,24.0,2124,126,,,,656775,,,0,0,4,top
2019-09-09,567456,8,502154,L,656775,R,60,Walk,6,4,190328_194714,2655558b-b000-4c21-9df2-86912fa31cc0,2,1,1,S,Foul,SI,6,2.0,3.26,1.48,94.9,87.8,,0.72,50.0,6.17,0.48,2.58,8.48,5.88,-3.7,-138.02,-6.05,16.55,27.42,-20.71,36.0,6.0,24.0,2034,123,,,,656775,,,0,0,4,top
2019-09-09,567456,8,502154,L,656775,R,60,Walk,6,5,190328_194737,1e1b81c7-6eca-48a7-9be9-612f896fa9f6,2,2,1,B,Ball,SI,13,2.0,3.21,1.42,94.7,88.3,,0.4,50.0,6.14,-1.3,1.32,7.41,3.91,-7.3,-137.59,-8.7,14.46,25.46,-24.54,26.4,6.0,24.0,2118,115,,,,656775,,,0,0,4,top
2019-09-09,567456,8,502154,L,656775,R,60,Walk,6,6,190328_194756,d563b918-f7d0-4b8f-b6cf-d59b62e47b7c,3,2,1,B,Ball,SI,13,2.0,3.21,1.42,93.9,87.2,,0.51,50.0,5.94,-0.06,0.58,9.13,7.46,-4.77,-136.25,-11.19,17.38,26.18,-17.97,39.6,6.0,24.0,2098,126,,,,656775,,,0,0,4,top
2019-09-09,567456,8,502154,L,623515,R,61,Forceout,3,1,190328_194845,9b87e79e-1495-4226-b122-7677e38277b0,0,0,1,B,Ball,SI,13,2.0,3.46,1.8,95.5,87.2,,0.25,50.0,6.12,-1.3,1.19,10.36,5.34,-7.89,-138.47,-9.45,20.03,32.16,-21.85,37.2,6.0,24.0,2047,114,656775,,,,,,0,1,4,top
2019-09-09,567456,8,502154,L,623515,R,61,Forceout,3,2,190328_194907,576ad2d2-19a6-4966-81c9-a6761a583a53,1,0,1,B,Ball,SI,12,2.0,3.45,1.79,95.3,87.2,,0.65,50.0,6.22,1.27,2.75,10.44,5.82,-2.01,-138.65,-5.67,20.28,31.66,-20.87,42.0,6.0,24.0,2066,117,656775,,,,,,0,1,4,top
