Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2019-03-30,565801,1,643327,R,592626,L,4,Home Run,3,1,190331_011948,0dd28bf2-c779-4fe2-a6d4-92d62fe6ea75,0,1,0,C,Called Strike,SI,11,2.0,3.37,1.58,88.6,81.5,,-1.67,50.0,5.86,-0.89,2.74,-8.77,3.32,4.89,-128.85,-2.75,-14.81,25.59,-26.57,27.6,7.2,24.0,2088,248,,,,,,,1,0,1,bottom
2019-03-30,565801,1,643327,R,592626,L,4,Home Run,3,2,190331_012010,4f10c031-30f2-4e0e-813e-5e05d5d7de8a,0,1,0,B,Ball,SI,14,2.0,3.56,1.62,89.3,81.4,,-1.4,50.0,5.76,1.05,1.57,-9.04,4.28,9.24,-129.42,-5.79,-15.26,28.3,-24.96,27.6,7.2,24.0,2135,244,,,,,,,1,0,1,bottom
2019-03-30,565801,1,643327,R,592626,L,4,Home Run,3,3,190331_012036,f7e060a5-e860-4f33-8656-8a8f702d3544,1,1,0,E,In play- run(s),SI,7,2.0,3.55,1.63,88.7,81.1,,-1.74,50.0,5.76,-0.66,2.13,-10.29,2.06,6.13,-128.86,-3.57,-17.24,27.72,-28.73,28.8,8.4,24.0,2045,259,,,,,,,1,0,1,bottom
2019-03-30,565801,1,643327,R,608369,L,5,Flyout,3,1,190331_012124,a9b8de8a-6bf3-43c7-845a-1afe4d8b74d7,0,1,0,F,Foul,KC,5,2.0,3.55,1.63,82.9,77.1,,-1.56,50.0,6.0,-0.23,2.55,1.12,-3.55,2.83,-120.57,-0.42,1.67,20.82,-37.46,3.6,9.6,24.0,2212,23,,,,,,,0,1,0,bottom
2019-03-30,565801,1,643327,R,608369,L,5,Flyout,3,2,190331_012141,16c5de18-38f9-486d-ac84-ace4caa85651,0,2,0,F,Foul,SI,8,2.0,3.55,1.63,90.5,83.9,,-1.47,50.0,5.75,0.2,1.71,-9.58,1.38,7.62,-131.42,-4.84,-16.96,24.83,-29.74,27.6,8.4,24.0,2155,263,,,,,,,0,1,0,bottom
2019-03-30,565801,1,643327,R,608369,L,5,Flyout,3,3,190331_012220,83834501-b045-4490-a1c6-45158b946481,0,2,0,X,In play- out(s),KC,8,2.0,3.32,1.51,82.2,76.1,,-1.53,50.0,5.86,-0.06,1.59,1.42,-3.54,3.03,-119.52,-2.22,2.06,22.21,-37.32,3.6,10.8,24.0,2286,26,,,,,,,0,1,0,bottom
2019-03-30,565801,1,643327,R,457759,R,6,Strikeout,4,1,190331_012254,99fa4f85-3532-4a2b-af0b-978d87fec396,0,1,1,C,Called Strike,SI,3,2.0,3.35,1.49,90.4,83.1,,-1.31,50.0,5.98,0.32,3.26,-9.14,2.97,7.35,-131.38,-1.9,-16.08,26.26,-26.95,28.8,7.2,24.0,2239,250,,,,,,,0,1,0,bottom
2019-03-30,565801,1,643327,R,457759,R,6,Strikeout,4,2,190331_012313,988aa4a5-a343-4cb4-8046-fbd96b4e6111,0,1,1,B,Ball,FC,14,2.0,3.25,1.43,90.5,84.1,,-1.29,50.0,5.62,1.74,0.79,-5.2,5.59,9.67,-131.24,-8.3,-9.2,23.81,-22.28,18.0,6.0,24.0,2253,220,,,,,,,0,1,0,bottom
2019-03-30,565801,1,643327,R,457759,R,6,Strikeout,4,3,190331_012334,9f63711d-7549-4144-b34f-20ca07f2f01a,1,2,1,F,Foul,FC,1,2.0,3.32,1.51,88.3,81.4,,-1.62,50.0,5.83,-0.62,2.86,-2.01,4.4,3.22,-128.45,-2.67,-3.38,24.91,-24.78,6.0,6.0,24.0,2156,201,,,,,,,0,1,0,bottom
2019-03-30,565801,1,643327,R,457759,R,6,Strikeout,4,4,190331_012417,50ff4ec6-41d8-4edf-859e-3d5645de1b39,1,3,1,T,Foul Tip,FC,2,2.0,3.55,1.63,90.1,83.6,,-1.5,50.0,5.92,0.05,3.43,-1.64,3.66,4.59,-131.26,-1.57,-2.9,23.93,-25.7,4.8,6.0,24.0,2172,197,,,,,,,0,1,0,bottom
