Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-06-05,529600,1,641793,R,660162,L,0,Strikeout,5,1,180605_233520,58f9a3b6-cc40-461e-a3f7-1fa224521973,0,0,0,S,Called Strike,FF,8,2.0,3.51,1.53,92.7,85.5,39.55,-2.46,50.0,5.67,0.09,2.15,-6.17,10.11,8.94,-134.71,-6.88,-11.43,26.77,-13.42,33.6,3.6,24.0,2017,208,,,,,,,0,1,0,top
2018-06-05,529600,1,641793,R,660162,L,0,Strikeout,5,2,180605_233531,85c065a6-bde4-44ae-bea9-1dd0ff9a6c9d,0,1,0,B,Ball,FF,14,2.0,3.47,1.48,93.1,86.0,44.42,-2.18,50.0,5.72,1.24,2.32,-6.28,9.35,11.37,-135.23,-6.38,-11.77,26.38,-14.66,31.2,3.6,24.0,2064,210,,,,,,,0,1,0,top
2018-06-05,529600,1,641793,R,660162,L,0,Strikeout,5,3,180605_233541,9360f702-2727-4a0e-984f-3b974a3ec828,1,1,0,B,Ball,CU,14,2.0,3.41,1.53,77.6,71.7,17.12,-2.25,50.0,5.76,0.41,0.5,1.92,-9.76,5.35,-112.76,-1.6,2.45,22.45,-44.61,3.6,14.4,24.0,1957,15,,,,,,,0,1,0,top
2018-06-05,529600,1,641793,R,660162,L,0,Strikeout,5,4,180605_233557,d4a5e405-5458-43bc-8381-fc0f19552599,2,1,0,S,Foul,FF,3,2.0,3.47,1.38,93.1,85.9,29.23,-2.28,50.0,5.74,0.34,2.85,-6.96,9.57,9.48,-135.31,-5.11,-13.04,26.46,-14.23,36.0,3.6,24.0,2071,213,,,,,,,0,1,0,top
2018-06-05,529600,1,641793,R,660162,L,0,Strikeout,5,5,180605_233615,105de513-c628-45a4-a515-9396f5154f61,2,2,0,S,Called Strike,FF,9,2.0,3.5,1.53,95.4,87.5,43.78,-2.33,50.0,5.66,0.56,1.9,-6.2,11.98,10.13,-138.43,-8.71,-12.09,29.34,-8.8,43.2,3.6,24.0,2270,204,,,,,,,0,1,0,top
2018-06-05,529600,1,641793,R,570560,L,1,Double,4,1,180605_233651,b282db1c-3543-4d21-9ff5-5d125ddce6eb,0,0,1,B,Ball,FF,13,2.0,3.54,1.64,93.2,85.3,68.85,-2.39,50.0,5.58,-0.56,1.49,-5.09,10.54,6.66,-135.4,-8.58,-9.45,29.68,-12.62,28.8,3.6,24.0,2044,204,,,,,570560,,0,0,0,top
2018-06-05,529600,1,641793,R,570560,L,1,Double,4,2,180605_233703,1c949566-de94-4135-99f3-0a19291afe2a,1,0,1,S,Called Strike,FT,4,2.0,3.52,1.58,92.7,85.8,35.01,-2.45,50.0,5.64,-0.37,2.7,-7.92,6.63,8.33,-134.78,-4.16,-14.77,25.54,-19.81,32.4,4.8,24.0,1868,228,,,,,570560,,0,0,0,top
2018-06-05,529600,1,641793,R,570560,L,1,Double,4,3,180605_233714,ca16003a-e3b7-49de-9980-ffaf97c41780,1,1,1,B,Ball,FF,12,2.0,3.54,1.64,93.6,85.5,33.55,-2.25,50.0,5.78,0.52,4.16,-3.9,9.72,8.8,-136.16,-1.79,-7.32,29.71,-13.92,20.4,3.6,24.0,2102,196,,,,,570560,,0,0,0,top
2018-06-05,529600,1,641793,R,570560,L,1,Double,4,4,180605_233733,be7e1696-5fa2-4cb9-8c74-808caf9e5aef,2,1,1,X,In play- no out,FF,11,2.0,3.06,1.32,92.2,84.5,36.23,-2.27,50.0,5.8,-0.14,3.11,-3.29,10.07,6.8,-134.12,-4.53,-6.0,28.38,-13.78,16.8,3.6,24.0,2037,194,,,,,570560,,0,0,0,top
2018-06-05,529600,1,641793,R,547989,R,2,Home Run,1,1,180605_233827,efee8e7b-5c6d-48a2-8a92-5a2243bac8c3,0,0,1,X,In play- run(s),FC,5,2.0,3.35,1.37,89.7,82.8,38.54,-2.36,50.0,5.75,0.2,2.62,0.25,6.53,6.53,-130.53,-4.06,0.43,25.37,-20.81,4.8,4.8,24.0,2086,171,,570560,,,,,2,0,0,top
2018-06-05,529600,1,641793,R,571602,R,3,Groundout,5,1,180605_233907,02fd6f97-6509-4919-99e5-3befc3dcd76d,0,0,1,B,Ball,FF,14,2.0,3.5,1.54,93.0,85.4,78.13,-2.24,50.0,5.58,0.85,1.43,-5.66,10.31,10.22,-134.99,-8.63,-10.49,28.21,-13.07,30.0,3.6,24.0,2120,205,,,,,,,0,1,-2,top
2018-06-05,529600,1,641793,R,571602,R,3,Groundout,5,2,180605_233918,b240cd16-f3cb-443f-9119-b7aebe5ebc05,1,0,1,S,Swinging Strike,FF,3,2.0,3.66,1.39,93.3,86.3,36.71,-2.25,50.0,5.78,0.48,2.94,-3.0,8.55,8.41,-135.74,-4.68,-5.66,26.31,-16.02,13.2,3.6,24.0,2052,194,,,,,,,0,1,-2,top
2018-06-05,529600,1,641793,R,571602,R,3,Groundout,5,3,180605_233933,1e40ed1e-d57e-468a-8f35-de8790da004d,1,1,1,S,Swinging Strike,FF,12,2.0,3.66,1.39,93.4,86.7,41.81,-2.24,50.0,5.81,0.23,3.84,-2.21,7.29,7.48,-136.0,-1.94,-4.21,25.11,-18.28,8.4,3.6,24.0,2007,191,,,,,,,0,1,-2,top
